conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_plusminus,z_penalty_stats_minutes,composite_score,global_rank,rating
lec,Little East Conference (LEC),2025-26,whky,Keene State,"Adamic, Madelyn",,0,32,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,"0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8124152972734717,-0.6806606912543698,-0.8185451531622039,-0.08347036548279954,0.0,-0.0,1,99
mac,Middle Atlantic Conferences (MAC),2025-26,whky,King's,"Wallin, Brighton",,0,11,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.8124152972734717,-0.6806606912543698,-0.8185451531622039,-0.08347036548279954,0.0,-0.0,2,97
ccc,The Commonwealth Coast Conference (CCC),2025-26,whky,Endicott College,Lilly Tewksbury,,0,4,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.8124152972734717,-0.6806606912543698,-0.8185451531622039,-0.08347036548279954,0.0,-0.18008724644195528,3,97
lec,Little East Conference (LEC),2025-26,whky,UMass Boston,Jamie Case,,0,16,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.8124152972734717,-0.6806606912543698,-0.8185451531622039,-0.08347036548279954,0.0,-0.18008724644195528,4,96
lec,Little East Conference (LEC),2025-26,whky,VTSU Castleton,"Ward, Megan",,0,9,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3.0,8.0,11.0,0.273,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.8124152972734717,-0.6806606912543698,-0.8185451531622039,-0.08347036548279954,0.0,-0.18008724644195528,5,96
lec,Little East Conference (LEC),2025-26,whky,VTSU Castleton,Chevy Irizarry,,0,5,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.8124152972734717,-0.6806606912543698,-0.8185451531622039,-0.08347036548279954,0.0,-0.18008724644195528,6,95
lec,Little East Conference (LEC),2025-26,whky,VTSU Castleton,Eryn O'Connor,,0,30,1,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59:50,3.0,18.0,"6,5,7",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.857,1.0,0.0,0.0,3.01,-0.8124152972734717,-0.6806606912543698,-0.8185451531622039,-0.08347036548279954,0.0,-0.18008724644195528,7,95
ccc,The Commonwealth Coast Conference (CCC),2025-26,whky,Curry College,"Kader, Aria",,0,2,24,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,16:00,0,0,0,0,0,0,8,0.0,1.0,1.0,0.0,0.0,9.0,16.0,-7.0,21.0,0.0,31.0,6.0,5.0,1.0,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,-0.0349001715302388,-0.4126230812030794,0.27873021435640555,-0.7589927186274417,,,8,95
ccc,The Commonwealth Coast Conference (CCC),2025-26,whky,Curry College,"Hansen, Kayley",,0,3,26,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4,08:00,0,0,0,0,0,0,4,212.0,133.0,345.0,0.614,0.63,7.0,12.0,-5.0,7.0,0.0,32.0,9.0,7.0,2.0,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,0.35385739134137767,-0.14458547115178896,0.7176403613638493,-0.5659863320146868,,,9,94
ccc,The Commonwealth Coast Conference (CCC),2025-26,whky,Curry College,"Faery, Rian",,0,4,26,21,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,06:00,0,0,0,0,0,0,3,5.0,6.0,11.0,0.455,1.2,17.0,12.0,5.0,33.0,0.0,32.0,7.0,5.0,2.0,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,0.09468568276030001,-0.14458547115178896,0.27873021435640555,0.3990456010490877,,,10,94
