conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Natalie Stott,,g,1,24,24,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,24,1467:02,17,515,04760,3,1,1,1,3,0,0,.968,24,0,0,0.70,0,0,2,2,0,0.00,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Cara Mancini,,lw,2,20,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,6,4,2,5,,,,,,,,,,,,,,,,,,0,38,3,2,1,0.03,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Gretchen Dann,,d,3,25,21,0,,0,0,1,2,1,0,3,5,0,5,10:00,0,0,0,0,0,0,5,0,1,1,.000,0,29,4,25,22,,,,,,,,,,,,,,,,,,0,141,22,9,13,0.09,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Ayla Abban,,0,4,25,4,0,,0,0,1,0,0,0,1,1,0,7,14:00,0,0,0,0,0,0,7,1,2,3,.333,2.00,6,3,3,9,,,,,,,,,,,,,,,,,,0,94,7,6,1,0.01,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Marie-Eve Marleau,,rw,5,25,16,0,,1,0,0,4,0,0,3,3,0,7,25:00,0,0,1,0,0,1,5,6,5,11,.545,0.83,22,4,18,6,,,,,,,,,,,,,,,,,,0,63,20,12,8,0.13,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Alejandra Ubarri,,0,6,25,2,0,,0,0,0,0,0,0,1,0,0,7,14:00,0,0,0,0,0,0,7,0,0,0,NaN,0,9,6,3,28,,,,,,,,,,,,,,,,,,0,45,5,4,1,0.02,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Natalie Fu,,0,7,25,7,0,,0,1,0,0,0,0,1,1,0,3,06:00,0,0,0,0,0,0,3,0,2,2,.000,0,10,4,6,20,,,,,,,,,,,,,,,,,,0,52,10,6,4,0.08,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Maeve Reynolds,,c,9,25,16,0,,2,3,0,0,1,1,1,0,0,2,04:00,0,0,0,0,0,0,2,316,201,517,.611,0.64,23,4,19,18,,,,,,,,,,,,,,,,,,0,99,27,17,10,0.10,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Calleigh Brown,,0,10,21,4,0,,0,0,0,0,0,0,2,2,0,2,04:00,0,0,0,0,0,0,2,103,83,186,.554,0.81,10,4,6,4,,,,,,,,,,,,,,,,,,0,54,8,3,5,0.09,0,0
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Sami Lester,,0,11,25,6,0,,0,0,0,0,0,0,0,1,0,11,22:00,0,0,0,0,0,0,11,33,23,56,.589,0.70,13,4,9,10,,,,,,,,,,,,,,,,,,0,29,8,5,3,0.10,0,0
