season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Connors, Kaitlyn",Kaitlyn,Connors,,764,"Connors, Kaitlyn","CONNORS,KAITLYN",Wesleyan,WES,1130-7049,0,0,26,0,26,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Tirabassi, Lola",Lola,Tirabassi,,764,"Tirabassi, Lola","TIRABASSI,LOLA",Wesleyan,WES,1130-7050,1,0,27,0,27,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,07:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Hunter, Grace",Grace,Hunter,,764,"Hunter, Grace","HUNTER,GRACE",Wesleyan,WES,1130-7350,1,0,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,20:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Cohn, Harper",Harper,Cohn,,764,"Cohn, Harper","COHN,HARPER",Wesleyan,WES,1130-7346,2,1,31,0,31,0,0,1,2,3,1,1,0,0,1.00,.50,1.50,.500,.500,0,0,0,0,1,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,108:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Collins, Taylor",Taylor,Collins,,764,"Collins, Taylor","COLLINS,TAYLOR",Wesleyan,WES,1130-7347,1,0,32,0,32,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,07:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Sul, Cayla",Cayla,Sul,,764,"Sul, Cayla","SUL,CAYLA",Wesleyan,WES,1130-7353,1,0,33,0,33,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,12:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Kafer, Maia",Maia,Kafer,,163,"Kafer, Maia","KAFER,MAIA",Conn. College,CONN,1125-2785,1,1,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,13,0,0,1,0,.571,3.00,4,3,90:00,1,1,3.00,0.571,.000,4.00,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Redfearn, Saylor",Saylor,Redfearn,,163,"Redfearn, Saylor","REDFEARN,SAYLOR",Conn. College,CONN,1125-2794,0,0,07,0,07,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Graham, Jasmine",Jasmine,Graham,,163,"Graham, Jasmine","GRAHAM,JASMINE",Conn. College,CONN,1125-3149,0,0,88,0,88,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Parker, Lucy",Lucy,Parker,,163,"Parker, Lucy","PARKER,LUCY",Conn. College,CONN,1125-2791,1,1,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Zicha, Danica",Danica,Zicha,,163,"Zicha, Danica","ZICHA,DANICA",Conn. College,CONN,1125-3156,1,1,3,0,3,0,0,2,3,3,1,1,0,0,3.00,2.00,3.00,1.000,1.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,66:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Koubel, Chloe",Chloe,Koubel,,163,"Koubel, Chloe","KOUBEL,CHLOE",Conn. College,CONN,1125-2786,1,1,4,0,4,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,64:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Tucker, Lilla Kate",Lilla Kate,Tucker,,163,"Tucker, Lilla Kate","TUCKER,LILLA KATE",Conn. College,CONN,1125-2579,0,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Cervino, Lila",Lila,Cervino,,163,"Cervino, Lila","CERVINO,LILA",Conn. College,CONN,1125-3146,0,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Griffin, Maya",Maya,Griffin,,163,"Griffin, Maya","GRIFFIN,MAYA",Conn. College,CONN,1125-2569,0,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Berrien, Myla",Myla,Berrien,,163,"Berrien, Myla","BERRIEN,MYLA",Conn. College,CONN,1125-3145,0,0,9,0,9,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Kieh, Blessing",Blessing,Kieh,,163,"Kieh, Blessing","KIEH,BLESSING",Conn. College,CONN,1125-2787,1,0,10,0,10,0,0,1,3,2,0,1,0,0,3.00,1.00,2.00,1.000,.000,0,0,0,0,0,1,1,1.000,0,0,0,0,.00,.00,.00,.00,0,,45:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Goertz, Rian",Rian,Goertz,,163,"Goertz, Rian","GOERTZ,RIAN",Conn. College,CONN,1125-2792,1,0,11,0,11,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,24:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Hurlbut, Lucy",Lucy,Hurlbut,,163,"Hurlbut, Lucy","HURLBUT,LUCY",Conn. College,CONN,1125-2983,1,0,12,0,12,0,0,0,2,0,0,0,0,0,2.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,43:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Rothman, Piper",Piper,Rothman,,163,"Rothman, Piper","ROTHMAN,PIPER",Conn. College,CONN,1125-3154,0,0,13,0,13,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Alcaro, Zola",Zola,Alcaro,,163,"Alcaro, Zola","ALCARO,ZOLA",Conn. College,CONN,1125-2568,1,0,14,0,14,0,0,1,2,0,0,0,0,0,2.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,41:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Metz-Topodas, Talia",Talia,Metz-Topodas,,163,"Metz-Topodas, Talia","METZ-TOPODAS,TALIA",Conn. College,CONN,1125-2985,0,0,15,0,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Kalapatapu, Anna",Anna,Kalapatapu,,163,"Kalapatapu, Anna","KALAPATAPU,ANNA",Conn. College,CONN,1125-2571,0,0,16,0,16,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Chace, Claire",Claire,Chace,,163,"Chace, Claire","CHACE,CLAIRE",Conn. College,CONN,1125-2980,1,1,17,0,17,0,0,1,3,0,0,0,0,0,3.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,74:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Mastrullo, Mae",Mae,Mastrullo,,163,"Mastrullo, Mae","MASTRULLO,MAE",Conn. College,CONN,1125-2788,1,1,18,0,18,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,61:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Millard, Evan",Evan,Millard,,163,"Millard, Evan","MILLARD,EVAN",Conn. College,CONN,1125-3153,0,0,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Maffei, Paige",Paige,Maffei,,163,"Maffei, Paige","MAFFEI,PAIGE",Conn. College,CONN,1125-2572,1,1,20,0,20,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,73:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Stern, Hailey",Hailey,Stern,,163,"Stern, Hailey","STERN,HAILEY",Conn. College,CONN,1125-3155,1,0,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,05:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
