season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Fletcher, Timothy",Timothy,Fletcher,,30085,"Fletcher, Timothy","FLETCHER, TIMOTHY",Lancaster Bible College,LBC,1391-2403,95,43,15,0,15,0,,,,,,,0.58,9.78,1.60,0.58,0.17,1.08,.260,131,21,55,929,39,2195,0,16,51,339,0,0,1,0,152,55,6,46,9,103,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Galloway, Devin",Devin,Galloway,,30085,"Galloway, Devin","GALLOWAY, DEVIN",Lancaster Bible College,LBC,1391-2402,80,23,2,0,2,0,,,,,,,0.75,0.01,0.19,0.45,0.01,1.03,.222,144,28,60,1,1,26,0,1,3,36,0,0,7,1,15,36,3,30,6,82,3
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Degan, Matt",Matt,Degan,,30085,"Degan, Matt","DEGAN, MATT",Lancaster Bible College,LBC,1391-2534,37,0,3,0,3,0,,,,,,,0.03,0.00,0.32,0.00,0.14,0.16,.500,2,0,1,0,0,2,0,5,16,102,0,0,2,0,12,0,0,0,0,6,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Escover, Braden",Braden,Escover,,30085,"Escover, Braden","ESCOVER, BRADEN",Lancaster Bible College,LBC,1391-2537,97,43,4,0,4,0,,,,,,,2.73,0.10,1.52,0.27,0.32,3.20,.238,646,111,265,10,5,88,0,31,74,341,0,0,598,24,147,26,1,23,3,310.5,1
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Thompson, Roman",Roman,Thompson,,30085,"Thompson, Roman","THOMPSON, ROMAN",Lancaster Bible College,LBC,1391-2539,7,0,9,0,9,0,,,,,,,0.57,0.29,0.57,0.00,0.00,0.57,.250,12,1,4,2,0,3,0,0,1,8,0,0,2,0,4,0,0,0,0,4,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Allen, Tyler",Tyler,Allen,,30085,"Allen, Tyler","ALLEN, TYLER",Lancaster Bible College,LBC,1391-2532,16,0,11,0,11,0,,,,,,,0.25,5.25,0.63,0.00,0.13,0.38,.000,11,4,4,84,2,184,0,2,4,43,0,0,0,0,10,0,1,0,0,6,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Valentine, Zion",Zion,Valentine,,30085,"Valentine, Zion","VALENTINE, ZION",Lancaster Bible College,LBC,1391-2540,10,2,14,0,14,0,,,,,,,0.90,0.00,0.30,0.30,0.00,1.05,.500,14,2,9,0,0,4,0,0,1,2,0,0,1,0,3,3,0,3,0,10.5,2
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Deller, Isaac",Isaac,Deller,,30085,"Deller, Isaac","DELLER, ISAAC",Lancaster Bible College,LBC,1391-2535,8,0,23,0,23,0,,,,,,,0.38,0.00,0.63,0.00,0.25,0.63,.071,14,2,3,0,0,1,0,2,4,8,0,0,0,0,5,0,0,0,0,5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Murlatt, Taylor",Taylor,Murlatt,,30085,"Murlatt, Taylor","MURLATT, TAYLOR",Lancaster Bible College,LBC,1391-2538,42,1,24,0,24,0,,,,,,,0.00,0.10,0.57,0.02,0.00,0.01,-.143,7,1,0,4,1,23,0,0,7,46,0,0,58,3,24,1,0,1,0,0.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Dressler, Gabe",Gabe,Dressler,,30085,"Dressler, Gabe","DRESSLER, GABE",Lancaster Bible College,LBC,1391-2536,39,4,25,0,25,0,,,,,,,0.03,0.15,0.36,0.00,0.15,0.18,.250,4,0,1,6,2,13,0,6,17,142,0,0,12,1,14,0,0,0,0,7,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Natale, Vincent",Vincent,Natale,,12973,"Natale, Vincent","NATALE, VINCENT",Wilson College,Wilson,1246-650,34,6,6,0,6,0,,,,,,,0.00,3.00,1.03,0.03,0.32,0.34,-.154,13,2,0,102,1,214,0,11,7,119,0,0,3,0,35,1,1,1,0,11.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"McCoy, Jacob",Jacob,McCoy,,12973,"McCoy, Jacob","MCCOY, JACOB",Wilson College,Wilson,1246-728,87,41,9,0,9,0,,,,,,,2.23,0.07,0.28,0.59,0.00,2.58,.435,377,30,194,6,1,41,0,0,3,22,0,0,4,2,24,51,4,41,10,224.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Simmons, Demetrius",Demetrius,Simmons,,12973,"Simmons, Demetrius","SIMMONS, DEMETRIUS",Wilson College,Wilson,1246-729,91,41,11,0,11,0,,,,,,,1.37,0.08,0.44,0.73,0.57,2.36,.301,272,43,125,7,2,43,0,52,91,319,0,0,16,3,40,66,8,56,10,215,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Sterner, Camden",Camden,Sterner,,12973,"Sterner, Camden","STERNER, CAMDEN",Wilson College,Wilson,1246-857,76,0,2,0,2,0,,,,,,,0.01,0.39,2.75,0.00,0.00,0.01,.000,8,1,1,30,1,136,0,0,0,0,0,0,358,15,209,0,0,0,0,1,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Kozicki, Robert",Robert,Kozicki,,12973,"Kozicki, Robert","KOZICKI, ROBERT",Wilson College,Wilson,1246-681,12,0,4,0,4,0,,,,,,,0.25,0.00,0.58,0.08,0.00,0.29,.000,11,3,3,0,0,3,0,0,3,10,0,0,15,2,7,1,0,1,0,3.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Koontz, Ryan",Ryan,Koontz,,12973,"Koontz, Ryan","KOONTZ, RYAN",Wilson College,Wilson,1246-856,85,41,8,0,8,0,,,,,,,2.72,0.13,1.72,0.26,0.55,3.43,.226,634,88,231,11,8,79,0,47,54,335,0,0,442,15,146,22,6,17,5,291.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Rodriguez-Sapien, Adan",Adan,Rodriguez-Sapien,,12973,"Rodriguez-Sapien, Adan","RODRIGUEZ-SAPIEN, ADAN",Wilson College,Wilson,1246-1072,84,19,12,0,12,0,,,,,,,0.05,0.33,1.35,0.00,0.19,0.24,.143,14,2,4,28,1,83,0,16,33,166,0,0,290,15,113,0,0,0,0,20,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Sharma, Satvik",Satvik,Sharma,,12973,"Sharma, Satvik","SHARMA, SATVIK",Wilson College,Wilson,1246-966,77,35,7,0,7,0,,,,,,,0.42,8.51,1.25,0.19,0.35,0.88,.157,108,15,32,655,21,1675,0,27,30,357,0,0,3,0,96,15,0,13,2,67.5,0
