conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Smyczynski Jenna,,,,25,24,94,17,28,12,3,1,0,5,0,0,7,2,10,1,2,0,0,1,0,0,0,1,0,0.333,33,102,11,.909,.298,.351,31,0,5,0,0,0,0,2,0,36,.861,0,.000,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,3,8,28,28,"9,25",0.36,9,25,"17,49",0.35,17,49,"14,34",0.41,14,34,"0,3",0,0,3,0,0,0,0,"13,37","5,10","24,51",205,0,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Rattigan Kylie,,,,36,34,113,34,35,21,10,0,0,18,0,4,10,6,1,1,4,3,0,1,0,0,0,0,0,0.413,45,143,2,.500,.310,.398,73,41,5,0,0,0,0,5,0,119,.958,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,30,37,"8,31",0.26,8,31,"16,52",0.31,16,52,"14,41",0.34,14,41,"1,3",0.33,1,3,0,0,0,0,"14,25","5,13","38,66",146,0,0,0,0,0,0,0,14,26,0,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Neeser Aliyah,,,,34,33,111,30,38,37,7,0,3,6,0,10,6,0,3,0,2,1,0,0,0,0,0,0,0,0.422,54,130,3,1.000,.342,.486,52,1,4,0,0,2,0,0,0,57,.930,2,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,29,32,"13,43",0.30,13,43,"29,83",0.35,29,83,"23,59",0.39,23,59,"0,4",0,0,4,0,0,0,0,"5,12","12,19","53,87",337,0,0,0,0,0,0,0,15,35,0,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Wendelken Mackenzie,,,,35,34,99,28,40,33,13,0,0,22,0,5,7,2,-1,0,1,0,0,0,0,0,0,0,0,0.532,53,127,-1,1.000,.404,.535,93,6,0,4,0,44,9,0,0,99,1.000,53,.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,15,30,"13,30",0.43,13,30,"27,56",0.48,27,56,"21,36",0.58,21,36,"0,3",0,0,3,0,0,0,0,"9,20","9,16","47,69",29,0,0,0,5,0,0,0,4,18,0,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Wendelken Gabriella,,,,33,31,92,34,34,21,13,1,1,20,0,3,17,6,0,0,0,1,0,0,0,0,0,1,0,0.491,52,116,0,.000,.370,.565,120,21,1,0,0,31,2,5,0,142,.993,33,.939,157,1,14,8,5,0,12,1,0,0,98.1,98,65,45,80,31,1,5,4.63,452,516,11,3,0,10,6,0,0,15,.347,4,3,4,33,"13,32",0.41,13,32,"27,67",0.40,27,67,"21,46",0.46,21,46,"2,2",1.00,2,2,0,0,0,0,"10,16","7,10","47,81",87,0,0,0,0,0,0,0,2,27,0,146,56,0,"2,4","2,8","0,2",0,"2,8"
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Digiacco Kailee,,,,36,33,91,27,32,23,6,3,0,14,0,1,18,4,1,0,1,2,0,0,0,0,0,0,0,0.435,44,109,1,1.000,.352,.484,56,55,11,0,0,0,0,1,0,122,.910,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,13,24,"10,30",0.33,10,30,"20,57",0.35,20,57,"13,33",0.39,13,33,"0,4",0,0,4,0,0,0,0,"6,19","10,13","39,65",443,0,0,0,0,0,0,0,6,22,0,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Prievo Avery,,,,37,36,118,26,39,30,11,2,1,7,0,1,13,2,0,1,1,1,0,0,0,0,0,0,0,0.370,57,128,1,.000,.331,.483,69,4,7,0,0,0,0,1,0,80,.913,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,19,40,"17,39",0.44,17,39,"23,66",0.35,23,66,"22,54",0.41,22,54,"1,4",0.25,1,4,0,0,0,0,"10,28","9,20","40,71",251,0,0,0,0,0,0,0,12,37,0,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Dean Hannah,,,,33,30,92,15,30,27,3,0,1,13,0,1,19,6,0,1,0,1,0,0,0,0,0,3,0,0.411,36,107,1,.000,.326,.391,71,13,7,0,0,0,0,4,0,91,.923,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,12,24,"9,34",0.26,9,34,"18,54",0.33,18,54,"15,38",0.39,15,38,"1,4",0.25,1,4,0,0,0,0,"8,17","8,11","32,59",126,0,0,0,5,0,0,0,6,22,0,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Orosz Madelynn,,,,37,32,43,8,12,6,0,1,0,3,0,0,7,1,1,0,1,0,0,0,0,0,0,2,0,0.326,14,47,1,1.000,.279,.326,24,41,13,0,0,16,6,2,0,78,.833,22,.727,124,1,14,11,4,0,9,2,0,0,89.2,58,39,15,35,22,3,1,3.04,390,414,7,1,0,2,4,0,0,12,.318,1,3,18,5,"4,14",0.29,4,14,"7,26",0.27,7,26,"5,15",0.33,5,15,"1,2",0.50,1,2,0,0,0,0,"0,3","3,4","13,27",5,0,0,0,7,0,0,0,7,14,0,115,107,0,"0,2","4,9","0,4",0,"4,9"
nac,North Atlantic Conference (NAC),2025-26,softball,SUNY Cobleskill,Irizarry Brook,,,,24,12,40,13,9,8,3,0,0,7,0,1,9,3,0,0,1,1,0,0,0,0,0,0,0,0.347,12,50,0,.000,.225,.300,2,1,0,0,0,0,0,0,0,3,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,14,8,"4,17",0.24,4,17,"5,24",0.21,5,24,"5,22",0.23,5,22,"0,1",0,0,1,0,0,0,0,"4,8","3,8","14,27",13,0,0,0,5,0,0,0,8,14,0,,,,,,,,
