season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Gianna Hayes,Gianna,Hayes,,656,Gianna Hayes,"HAYES,GIANNA",HAYESGIANNAMASS.-DA,9,5,,,UMass Dartmouth,MASS.-DA,1072-4441,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,300:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Katie Hague,Katie,Hague,,656,Katie Hague,"HAGUE,KATIE",HAGUEKATIEMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-4171,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,1,34,5,1017:00,32,0,1.000,,11,15,1,7,0,7,.733,0.41,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Cat Whitehouse,Cat,Whitehouse,,656,Cat Whitehouse,"WHITEHOUSE,CAT",WHITEHOUSECATMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-4442,0,5,0,0,0,0,6,0,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,23,27,66,13,1017:00,32,0,1.000,,27,38,12,26,14,12,.711,1.53,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Maddy Allen,Maddy,Allen,,656,Maddy Allen,"ALLEN,MADDY",ALLENMADDYMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-3985,0,8,0,0,0,4,37,2,6,3,0,0,0,18,7,0,0,0,0,0,0,0,0,54,71,41,29,1017:00,32,0,1.000,,110,142,21,66,13,53,.775,3.88,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Abby Pitts,Abby,Pitts,,656,Abby Pitts,"PITTS,ABBY",PITTSABBYMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-4176,0,1,0,0,0,1,9,0,3,0,0,0,0,8,4,0,0,0,0,0,0,0,0,10,3,53,4,1017:00,32,0,1.000,,34,44,11,28,10,18,.773,1.65,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Hanna Guay,Hanna,Guay,,656,Hanna Guay,"GUAY,HANNA",GUAYHANNAMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-4443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,17,0,1017:00,32,0,1.000,,0,1,0,3,3,0,.000,0.18,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Rya Saint Germain,Rya Saint,Germain,,656,Rya Saint Germain,"GERMAIN,RYA SAINT",GERMAINRYASAINTMASS.-DA,0,0,,,UMass Dartmouth,MASS.-DA,1072-4448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,M. Watkins-Rodriguez,M.,Watkins-Rodriguez,,656,M. Watkins-Rodriguez,"WATKINS-RODRIGUEZ,M",WATKINS-RODRIGUEZMMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-4444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,6,22,27,1017:00,32,0,1.000,,1,1,1,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Keira Bushey,Keira,Bushey,,656,Keira Bushey,"BUSHEY,KEIRA",BUSHEYKEIRAMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,12,3,1017:00,32,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,17,912:51,221,186,0,4,13,0,0,0,0,535,14.53,.457
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Carleigh Swenson,Carleigh,Swenson,,656,Carleigh Swenson,"SWENSON,CARLEIGH",SWENSONCARLEIGHMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-4445,0,5,0,0,0,0,13,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,19,16,36,9,1017:00,32,0,1.000,,40,53,15,32,6,26,.755,1.88,,,,,,,,,,,,,,,,,,
