season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,hitting_stats,fielding_stats,hitting_summary_stats
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Jackson Summers,Jackson,Summers,,585,Jackson Summers,0,0ROSE-HUL,22,22,,,91,28,35,15,7,2,2,13,0,3,9,3,5,2,1,1,0,0,0,0,2,0,0,0.472,52,109,7,.714,.385,.571,54,1,4,0,0,0,0,0,0,59,.932,0,.000,0,1,0,0,0,1,0,0,0,0,2.0,0,0,5,3,0,0,0,0.00,6,11,0,0,0,0,0,0,0,2,.000,3,4,22,23,"11,24",0.46,11,24,"14,38",0.37,14,38,"9,24",0.38,9,24,"7,10",0.70,7,10,0,0,0,0,"19,42","4,8","25,44",56,0,0,0,0,0,0,0,4,12,0,2,1,0,"0,2","0,3","0,1",0,"0,2",Rose-Hulman,ROSE-HUL,1038-4895,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Jackson Harms,Jackson,Harms,,585,Jackson Harms,0,0ROSE-HUL,22,22,,,78,18,26,25,8,1,5,13,0,5,17,6,0,0,0,2,0,0,0,2,0,2,0,0.449,51,98,0,.000,.333,.654,16,0,2,0,0,0,0,0,0,18,.889,0,.000,3,1,0,0,0,1,0,0,0,0,1.1,6,6,1,0,0,0,1,40.50,6,9,0,2,0,0,0,0,0,0,.500,1,2,17,19,"10,25",0.40,10,25,"19,48",0.40,19,48,"13,33",0.39,13,33,"2,7",0.29,2,7,0,0,0,0,"7,24","6,12","35,60",67,0,0,0,0,0,0,0,6,16,0,2,1,0,"0,1","2,4",0,0,"2,2",Rose-Hulman,ROSE-HUL,1038-5135,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Connor O'connell,Connor,O'connell,,585,Connor O'connell,0,0ROSE-HUL,22,22,,,84,19,28,18,7,1,0,12,2,2,8,1,1,0,0,5,0,0,0,3,0,4,0,0.408,37,103,1,1.000,.333,.440,37,33,8,0,0,0,0,6,0,78,.897,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,21,30,"7,30",0.23,7,30,"20,49",0.41,20,49,"14,35",0.40,14,35,"4,8",0.50,4,8,0,0,0,0,"6,16","10,14","34,58",72,0,0,0,0,0,0,0,6,28,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-4712,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Mason Rasmussen,Mason,Rasmussen,,585,Mason Rasmussen,0,0ROSE-HUL,19,19,,,63,14,17,13,3,0,2,12,0,5,12,6,0,0,0,1,0,0,0,2,0,2,0,0.420,26,81,0,.000,.270,.413,132,7,6,2,0,33,5,0,0,145,.959,38,.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,11,22,"7,20",0.35,7,20,"8,35",0.23,8,35,"5,20",0.25,5,20,"3,9",0.33,3,9,0,0,0,0,"8,13","5,11","25,45",71,0,0,0,0,0,0,0,7,9,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-4713,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Tj Pipkins,Tj,Pipkins,,585,Tj Pipkins,0,0ROSE-HUL,21,20,,,75,19,28,21,5,2,2,12,1,3,10,4,2,1,0,4,0,0,0,1,0,1,0,0.457,43,94,3,.667,.373,.573,54,4,2,0,0,0,0,0,0,60,.967,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,18,23,"8,27",0.30,8,27,"15,37",0.41,15,37,"12,26",0.46,12,26,"0,6",0,0,6,0,0,0,0,"5,14","10,15","27,47",56,0,0,0,0,0,0,0,9,15,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-5140,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Joe Nevle,Joe,Nevle,,585,Joe Nevle,0,0ROSE-HUL,13,10,,,37,6,8,4,1,0,0,8,0,0,10,3,3,0,2,0,0,0,0,0,0,1,0,0.356,9,47,3,1.000,.216,.243,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,10,11,"3,12",0.25,3,12,"4,15",0.27,4,15,"4,12",0.33,4,12,"1,6",0.17,1,6,0,0,0,0,"5,17","1,2","11,20",66,0,0,0,0,0,0,0,4,11,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-5130,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Sam Erickson,Sam,Erickson,,585,Sam Erickson,0,0ROSE-HUL,19,15,,,58,15,17,12,2,0,1,9,0,0,14,5,1,0,0,1,0,0,0,0,0,0,0,0.382,22,68,1,1.000,.293,.379,110,2,1,0,0,0,0,6,0,113,.991,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,16,"4,25",0.16,4,25,"11,39",0.28,11,39,"7,27",0.26,7,27,"1,4",0.25,1,4,0,0,0,0,"6,11","7,7","24,46",11,0,0,0,3,0,0,0,7,26,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-5128,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Michael Hines,Michael,Hines,,585,Michael Hines,0,0ROSE-HUL,20,20,,,78,20,25,12,4,2,1,7,0,3,11,4,5,0,1,0,0,0,0,2,1,2,0,0.398,36,89,5,1.000,.321,.462,31,44,6,0,0,0,0,10,0,81,.926,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,21,19,"8,17",0.47,8,17,"15,44",0.34,15,44,"8,30",0.27,8,30,"2,10",0.20,2,10,0,0,0,0,"4,10","3,11","28,52",41,0,0,0,0,0,0,0,3,14,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-5300,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Noah Rasmussen,Noah,Rasmussen,,585,Noah Rasmussen,0,0ROSE-HUL,19,17,,,61,11,13,8,2,0,0,7,0,2,10,3,2,0,3,2,0,0,0,4,1,4,0,0.306,15,75,2,1.000,.213,.246,31,33,2,0,0,0,0,6,0,66,.970,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,17,21,"4,22",0.18,4,22,"7,35",0.20,7,35,"6,24",0.25,6,24,"1,6",0.17,1,6,0,0,0,0,"5,8","5,8","23,44",40,0,0,0,11,0,0,0,10,22,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-5304,False,,,,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Brad Nardi,Brad,Nardi,,585,Brad Nardi,0,0ROSE-HUL,5,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,6,2,0,0,7,1,0,0,8,.750,8,.875,29,1,4,1,2,0,0,0,0,0,21.1,25,19,9,18,7,3,2,8.02,88,105,1,4,2,2,2,0,0,4,.330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,1,"2,2","3,8","0,1",0,"1,2",Rose-Hulman,ROSE-HUL,1038-4894,False,,,,,
