rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Occidental,"McCleery Brown,Alex",0,G,22,32.63636363636363,19.23,10.09,1.95,2.18,0.27,1.8636363636363635,7.605221201143598,2.3052752065904234,3.292020463965775,0.26484862175015744,2.359025681285781,-0.14116080783998033,0.7550875109516284
2,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Claremont-Mudd-Scripps,Reid Jones,0,g,25,31.36,15.24,5.0,1.96,3.84,0.72,1.32,6.659778299563057,1.4515267074544573,0.7312936085301849,0.27434298668159285,5.276590493382792,0.8761433380459119,0.029484559635567814
3,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Whittier,Tochi Onyeador,0,0,24,30.291666666666668,9.21,11.17,1.13,1.54,3.0,1.3333333333333333,6.242226307482258,0.1612752162790501,3.8353573998931694,-0.5136893026275454,1.2341814163809088,6.030484343867767,0.04728084160764493
4,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Claremont-Mudd-Scripps,Will Householter,0,g,25,33.72,18.92,3.04,3.52,1.88,0.2,1.84,5.715720622868078,2.2389438695648223,-0.25476231222693824,1.7554639159855154,1.8317549321116218,-0.2994081194222303,0.7235395565465825
5,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Redlands,"Gordon,Lucas",0,F,27,23.37037037037037,14.48,8.7,1.33,1.3,1.07,1.6666666666666667,5.012184525086969,1.2889079457142734,2.5927257038369986,-0.32380200399883724,0.8123648170415817,1.6673798959571617,0.4921878909095776
6,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Claremont-Mudd-Scripps,Joey Kennedy,0,f,25,24.72,11.56,7.84,3.76,1.2,1.12,1.8,4.900987349401145,0.6641095453440927,2.160068514117037,1.9833286743399647,0.6366079006501953,1.7804136899444833,0.6701507106303506
7,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Caltech,"Glogovac,Dorian",0,G,24,35.416666666666664,23.63,7.42,2.17,1.29,0.33,4.958333333333333,4.675369756386508,3.2467522482441202,1.9487708168119389,0.4737246502417362,0.7947891254024431,-0.0055202550551946795,4.88564500276616
8,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Occidental,"Luna,Nasir",0,G,24,32.083333333333336,18.0,4.63,3.21,0.58,0.17,1.7083333333333333,4.6401837534984605,2.042089579037231,0.5451503989995035,1.4611386031110178,-0.4530849809763995,-0.3672283958146231,0.547801272072319
9,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Chapman,"Heberle,Jake",0,G,27,31.555555555555557,18.22,6.04,2.3,0.67,0.63,2.259259259259259,4.636870077505844,2.0891634311199154,1.254506954238046,0.5971513943503963,-0.2949037562241517,0.6726825088687336,1.283133756335235
10,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Occidental,"Clotfelter,Nicky",0,F,24,28.458333333333332,14.96,6.75,3.08,0.71,1.08,2.4166666666666665,4.385927672971345,1.391614532076495,1.6117006806347591,1.3377118590023578,-0.22460098966759737,1.689986654754626,1.4932287518389253
11,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Redlands,"Boston,Jhace",0,G,25,23.04,12.0,5.28,3.08,1.44,1.64,2.28,4.021965252768384,0.7582572495094623,0.8721587400669168,1.3377118590023578,1.0584244999895223,2.955965147412625,1.310816861625133
12,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Claremont-Mudd-Scripps,Cahal Connolly,0,c,25,28.56,13.48,7.0,1.76,1.04,0.76,1.4,3.977195749533214,1.0749358907929787,1.7374731195068411,0.0844556880528849,0.35539683442397746,0.9665703732357691,0.1362622514680314
13,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Pomona-Pitzer,"Hutchinson,Charlie",0,*,24,32.833333333333336,13.46,7.5,2.63,0.75,0.83,2.0416666666666665,3.8620443771803314,1.0706564496945528,1.9890179972510051,0.9104654370877646,-0.1542982231110428,1.124817684818019,0.9927083213742514
14,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Whittier,Jonathan Duley,0,0,23,31.60869565217391,18.26,1.7,2.22,1.09,0.17,1.565217391304348,3.662648680143373,2.0977223133167677,-0.9289025845812979,0.5211964748989135,0.44327529261967064,-0.3672283958146231,0.35678139764377204
15,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,La Verne,"Katoa,Higgy",0,*,21,28.61904761904762,12.29,2.33,3.67,1.95,0.24,1.6666666666666667,3.0199161687555987,0.8203091454366376,-0.6119560386236512,1.8978793899570463,1.9547847735855923,-0.20898108423237322,0.4921878909095776
16,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Chapman,"Billings,Cruz",0,G,27,29.11111111111111,14.7,2.78,5.26,0.78,0.11,2.888888888888889,2.7862749922983605,1.335981797796958,-0.3855656486539037,3.407483414055275,-0.10157114819362686,-0.5028689485994088,2.1235137383499967
17,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Redlands,"Hlywiak,Jake",0,G,27,24.59259259259259,13.15,2.67,2.04,1.0,0.15,0.925925925925926,2.2787465243276537,1.0043251126689514,-0.4409055217576197,0.35029790613307615,0.28509406786742286,-0.41244191340955166,-0.4964944408724945
18,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Redlands,"Ferguson,Omari",0,G,27,21.37037037037037,11.7,2.96,2.7,2.52,0.15,2.407407407407407,1.952855278975565,0.6940656330330737,-0.2950094926660045,0.9769259916078127,2.956599197016494,-0.41244191340955166,1.480870222691649
19,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Redlands,"Sangster,Derek",0,F,27,20.185185185185187,11.04,4.78,0.93,1.11,0.52,0.925925925925926,1.8960272080118707,0.5528440767850191,0.6206138623227528,-0.7035766012562533,0.4784266758979479,0.42400816209662656,-0.4964944408724945
20,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Pomona-Pitzer,"Diekman,Matthew",0,*,24,27.75,11.42,4.0,2.54,1.08,0.04,1.2916666666666667,1.8945186213764285,0.6341534576551113,0.22820385304185675,0.8250161527048462,0.425699600980532,-0.6611162601816587,-0.00833253955509643
21,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Whittier,Chinecherem Nwanevu,0,0,17,25.88235294117647,7.12,5.65,2.18,2.47,0.53,1.588235294117647,1.8548766447367748,-0.2859263785064561,1.0583019495975983,0.48321901517317184,2.868720738820801,0.4466149208940908,0.38750387930912267
22,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Pomona-Pitzer,"Jasper,Kyle",0,*,24,27.875,12.33,2.67,2.5,1.08,0.0,1.5833333333333333,1.4323385250592513,0.8288680276334895,-0.4409055217576197,0.7870386929791046,0.425699600980532,-0.7515432953715158,0.38096112858409426
23,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Whittier,Brandon Andrews,0,0,24,22.458333333333332,13.04,3.17,2.25,0.88,0.04,1.7916666666666667,1.3931119477208604,0.9807881866276086,-0.18936064401345565,0.5496795696932195,0.07418576819775936,-0.6611162601816587,0.6590280343978022
24,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Whittier,Jaden Mathis,0,0,24,27.666666666666668,11.33,2.92,1.33,0.92,0.0,0.5416666666666666,1.286508724684282,0.6148959727121948,-0.31513308288553765,-0.32380200399883724,0.14448853475431392,-0.7515432953715158,-1.0093734004844446
25,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Caltech,"Williamson,Chase",0,G,23,30.043478260869566,10.87,4.74,2.39,0.87,0.3,2.217391304347826,0.9409347238415858,0.5164688274483991,0.6004902721032197,0.6826006787333152,0.05661007655862072,-0.07334053144758756,1.2272517114953791
26,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,California Lutheran,"Young,Jaden",0,*,23,24.39130434782609,12.61,2.0,2.09,0.74,0.04,1.4782608695652173,0.9023462182516218,0.888780203011452,-0.7779756579347995,0.39776973079025296,-0.17187391475018143,-0.6611162601816587,0.24071868913022423
27,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,La Verne,"Bedolla,Carlos",0,*,13,21.23076923076923,10.08,4.15,1.0,0.46,1.23,1.6153846153846154,0.8050025528522995,0.34743090406057636,0.30366731636510613,-0.6371160467362055,-0.6639932806460629,2.02908803671659,0.4237406525554341
28,sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,Redlands,"Brown,Cam",0,G,26,18.5,7.88,3.92,3.23,1.15,0.19,1.5769230769230769,0.7364766734566734,-0.12330761676627214,0.18795667260279045,1.4801273329738887,0.5487294424545021,-0.32201487821969454,0.3724052237898264
