season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,fumble_stats_number,fumble_stats_number_lost,defense_stats,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,composite_score,global_rank,rating
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Southern Virginia,"Heal,Dallin",Dallin,Heal,,30164,"Heal,Dallin","HEAL,DALLIN",Southern Virginia,SVU,857-4655,1,0,24,24,0,0,DB,0,,,,,,,,5,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.687876587028738,11,96
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Huntingdon,Kiwan Anderson,Kiwan,Anderson,,1130,Kiwan Anderson,"ANDERSON,KIWAN",Huntingdon,HUNTING,0,1,0,T5,T5,0,0,0,0,,,,,,,,45,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,1,45,1,45,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.687876587028738,12,96
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,"Ingram,Aaron",Aaron,Ingram,,263,"Ingram,Aaron","INGRAM,AARON",Greensboro,GSO,1177-4306,1,1,91,91,0,0,DL,0,,,,,,,,0,2,0,2,2,1.0,.0,.0,1,0,6,1,1,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.650980037999635,13,95
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Methodist,"Butler,Theo",Theo,Butler,,412,"Butler,Theo","BUTLER,THEO",Methodist,MU,1180-6847,1,1,8,8,0,0,LB,0,,,,,,,,0,11,1,12,12,1.5,.0,.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.579454911740798,14,95
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Southern Virginia,"Pese,Scott",Scott,Pese,,30164,"Pese,Scott","PESE,SCOTT",Southern Virginia,SVU,857-4323,1,1,10,10,0,0,CB,0,,,,,,,,0,7,0,7,7,1.0,.0,.0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.570561626475279,15,95
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Southern Virginia,"Freeman,Brady",Brady,Freeman,,30164,"Freeman,Brady","FREEMAN,BRADY",Southern Virginia,SVU,857-4650,1,1,48,48,0,0,DL,0,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.301719107525,16,95
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Methodist,"Nelson,Kaleb",Kaleb,Nelson,,412,"Nelson,Kaleb","NELSON,KALEB",Methodist,MU,1180-6901,1,1,57,57,0,0,DT,0,,,,,,,,0,4,1,5,5,1.5,.0,.0,1,1,3,0.5,0,1,2,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.243755213480597,17,95
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,LaGrange,"Smith,Ched",Ched,Smith,,1162,"Smith,Ched","SMITH,CHED",LaGrange,LGC,1026-2509,1,0,34,34,0,0,LB,0,,,,,,,,0,2,3,5,5,1.0,.0,.0,0,2,4,0.5,0,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5896360143612926,18,94
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,LaGrange,"Hudson,Zymarion",Zymarion,Hudson,,1162,"Hudson,Zymarion","HUDSON,ZYMARION",LaGrange,LGC,1026-2740,1,0,47,47,0,0,DL,0,,,,,,,,0,2,1,3,3,1.5,.0,.0,1,1,5,0.5,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5452333525313264,19,94
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,N.C. Wesleyan,"Seagraves,Nahjir",Nahjir,Seagraves,,491,"Seagraves,Nahjir","SEAGRAVES,NAHJIR",N.C. Wesleyan,NCW,1181-3314,1,1,32,32,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2,16,0,11,8.0,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,21,138,139,1,1,68,6.6,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2314108735799207,20,94
