conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),R Wani,R,Wani,22,33.3,23.3,6.7,3.1,1.1,0.5,2.2
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,T Daniels,T,Daniels,24,29.3,21.3,3.3,3.3,2.1,0.0,2.0
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,E Madesko,E,Madesko,25,34.8,20.1,6.0,5.7,2.5,0.3,2.4
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,I Shaw-Glen,I,Shaw-Glen,25,35.0,18.8,7.9,1.3,0.9,1.0,2.4
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,R Baguidy,R,Baguidy,25,39.4,18.5,4.7,6.3,2.5,0.1,2.8
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,T Butler,T,Butler,24,30.6,18.3,1.4,2.3,1.7,0.2,2.3
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,C Yeates,C,Yeates,26,31.8,17.0,6.5,2.5,2.3,0.2,2.3
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,A Mansaray,A,Mansaray,25,32.2,16.3,8.4,2.6,1.2,1.6,2.9
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,"R Ford, Jr.","R Ford,",Jr.,27,34.1,16.2,4.8,4.2,1.9,0.2,1.9
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,M Ndayishimiye,M,Ndayishimiye,26,32.7,16.0,6.7,2.4,1.2,0.0,2.4
gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),L Altenor,L,Altenor,28,34.3,15.7,3.5,2.7,1.5,0.1,1.4
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),W Donato,W,Donato,28,29.6,15.5,7.5,3.8,1.8,1.5,2.8
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,M Guerrier,M,Guerrier,27,31.0,15.5,8.1,2.4,1.0,0.4,1.6
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,J Kirkland,J,Kirkland,24,27.7,15.5,3.8,0.7,0.8,0.3,1.5
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),J Frazier,J,Frazier,24,32.3,15.3,4.4,2.3,1.0,0.7,1.2
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,J DuBrul,J,DuBrul,24,31.3,15.2,6.0,1.5,0.8,0.0,2.8
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,N Motley,N,Motley,25,30.8,15.1,5.3,1.8,1.3,0.6,1.8
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,N Beaudet,N,Beaudet,27,28.9,14.9,3.6,1.1,1.3,0.0,1.7
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,J Harvey,J,Harvey,26,25.7,14.1,6.1,1.5,0.8,0.7,2.3
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),D Mann,D,Mann,27,27.0,13.9,5.2,1.7,0.6,0.2,1.8
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,I Earl,I,Earl,27,30.9,13.8,6.7,1.8,1.6,1.7,2.2
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,C Hanks,C,Hanks,26,31.0,13.8,2.0,2.0,1.1,0.1,2.0
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,R Mayfield,R,Mayfield,25,29.3,13.0,5.3,0.8,1.6,1.0,1.9
gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),F Feldrappe,F,Feldrappe,28,29.6,12.8,6.3,2.6,0.7,0.5,1.9
gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),R Figueroa,R,Figueroa,28,28.4,12.6,2.6,1.2,0.9,0.3,2.0
gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,J Robie,J,Robie,24,25.8,12.5,2.5,1.0,0.8,0.0,1.2
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,A Madesko,A,Madesko,26,33.3,12.4,7.8,4.8,2.0,0.6,2.2
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,T Bellows,T,Bellows,25,31.1,12.3,3.7,2.0,0.6,0.4,3.1
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,D Adams,D,Adams,27,25.1,11.7,3.5,2.0,1.3,0.5,2.5
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,A Sullivan,A,Sullivan,23,29.1,11.5,4.1,4.3,1.2,0.0,2.6
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,E Thomas,E,Thomas,20,28.8,11.3,5.3,1.3,0.6,0.7,2.1
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,C Snowden,C,Snowden,22,25.9,11.0,3.7,1.2,0.6,0.3,1.0
gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,M Strazzeri,M,Strazzeri,25,26.7,11.0,3.4,2.4,0.7,0.1,2.8
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,I Porter,I,Porter,17,24.0,10.9,3.4,2.1,1.9,0.2,2.6
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,E Adarkwa,E,Adarkwa,20,25.6,10.8,2.4,1.9,0.8,0.2,3.1
gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),D Tanksley Jr.,D Tanksley,Jr.,27,27.4,10.4,7.4,1.6,1.3,0.2,1.4
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,D Watkins,D,Watkins,25,26.8,10.4,4.4,1.2,0.5,0.1,1.0
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,J Ricketts,J,Ricketts,26,27.4,10.3,3.7,1.9,1.2,0.1,1.3
