season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Sjøstedt, Caroline",Caroline,Sjøstedt,,496,"Sjøstedt, Caroline","SJØSTEDT,CAROLINE",North Park,NPU,686-3744,3,2,4,0,4,0,0,3,5,0,0,0,0,0,1.67,1.00,.00,.000,.000,3,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,181:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Applequist, Maja",Maja,Applequist,,496,"Applequist, Maja","APPLEQUIST,MAJA",North Park,NPU,686-3743,3,3,5,0,5,0,0,1,3,1,1,0,0,0,1.00,.33,.33,.000,.333,1,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,270:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Stroemgren, Moa",Moa,Stroemgren,,496,"Stroemgren, Moa","STROEMGREN,MOA",North Park,NPU,686-4497,1,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,13:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Masad, Yasmeen",Yasmeen,Masad,,496,"Masad, Yasmeen","MASAD,YASMEEN",North Park,NPU,686-4251,0,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Clemens, Inez",Inez,Clemens,,496,"Clemens, Inez","CLEMENS,INEZ",North Park,NPU,686-4476,1,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,34:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Rydberg, Selma",Selma,Rydberg,,496,"Rydberg, Selma","RYDBERG,SELMA",North Park,NPU,686-3983,3,1,9,0,9,0,0,0,0,1,1,0,0,0,.00,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,85:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Palmblad, Astrid",Astrid,Palmblad,,496,"Palmblad, Astrid","PALMBLAD,ASTRID",North Park,NPU,686-4477,3,0,10,0,10,0,0,3,4,3,1,1,0,0,1.33,1.00,1.00,.333,.333,2,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,78:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Karlsson, Tilda",Tilda,Karlsson,,496,"Karlsson, Tilda","KARLSSON,TILDA",North Park,NPU,686-4252,2,0,11,0,11,0,0,0,0,1,1,0,0,0,.00,.00,.50,.000,.500,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,26:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Lampen, Greta",Greta,Lampen,,496,"Lampen, Greta","LAMPEN,GRETA",North Park,NPU,686-3750,1,0,12,0,12,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,16:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Csajaghy, Morgan",Morgan,Csajaghy,,496,"Csajaghy, Morgan","CSAJAGHY,MORGAN",North Park,NPU,686-4258,3,3,13,0,13,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,270:00,0,.00,.00,,,,,,,,,,,,,,,,,
