conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Eilers,Reagan",0,F,14,20,0,16,34,0,4,11,6,38,2,4,3,113,10,17,27,18,0,9,0,0,0.47,0.00,0.55,1.90,1.35,0.15,0.20,0.10
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Ayala,Hannah",0,F,22,24,18,69,164,12,43,68,51,201,11,30,37,652,75,171,246,43,0,51,1,0,0.42,0.28,0.75,8.38,10.25,1.54,1.25,0.46
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Smith,Tristan",0,F,23,25,25,47,111,10,36,72,61,165,10,34,42,675,64,89,153,53,0,48,0,0,0.42,0.28,0.85,6.60,6.12,1.68,1.36,0.40
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Barnett,Dana",0,G,30,17,0,5,11,4,9,4,3,17,0,2,8,90,0,7,7,17,0,12,1,0,0.45,0.44,0.75,1.00,0.41,0.47,0.12,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Beamesderfer,Anna",0,G,32,25,1,69,168,10,45,89,66,214,4,26,35,529,38,55,93,59,0,67,2,0,0.41,0.22,0.74,8.56,3.72,1.40,1.04,0.16
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Bickford,Tiffany",0,G,33,25,9,80,237,25,107,59,52,237,4,38,42,744,22,82,104,31,0,46,0,0,0.34,0.23,0.88,9.48,4.16,1.68,1.52,0.16
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"McClendon,Sarai",0,G,01,1,0,0,1,0,0,2,1,1,0,0,1,2,0,3,3,0,0,0,0,0,0.00,0.00,0.50,1.00,3.00,1.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Reed,Ansley",0,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Strong,Kat",0,G,12,2,0,1,2,0,1,0,0,2,0,0,0,3,1,0,1,1,0,1,0,0,0.50,0.00,0.00,1.00,0.50,0.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,East Texas Baptist,"Pletcher,Noelle",0,G,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
