season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code,composite_score,global_rank,rating
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Tobin,Olivia",Olivia,Tobin,G,452,"Tobin,Olivia","TOBIN,OLIVIA",Mount Union,MTU,1279-5811,20,0,00,0,9,31,3,16,4,2,23,0,8,24,136,0,12,12,6,0,12,0,0,20,0.29,0.19,0.50,1.15,0.60,1.20,0.40,0.00,00,206.0,1,99
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Lane,Rose",Rose,Lane,G,452,"Lane,Rose","LANE,ROSE",Mount Union,MTU,1279-5802,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01,205.0,2,99
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Corthell,Paityn",Paityn,Corthell,G,452,"Corthell,Paityn","CORTHELL,PAITYN",Mount Union,MTU,1279-5377,2,0,02,0,0,1,0,0,0,0,0,2,0,0,10,0,1,1,2,0,1,0,0,2,0.00,0.00,0.00,0.00,0.50,0.00,0.00,1.00,02,204.0,3,99
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Triplett,Reese",Reese,Triplett,G,452,"Triplett,Reese","TRIPLETT,REESE",Mount Union,MTU,1279-4890,25,25,03,0,70,175,19,79,41,21,180,14,23,42,550,45,52,97,35,0,26,0,0,25,0.40,0.24,0.51,7.20,3.88,1.68,0.92,0.56,03,203.0,4,98
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Knowlton,Grace",Grace,Knowlton,G,452,"Knowlton,Grace","KNOWLTON,GRACE",Mount Union,MTU,1279-5372,17,0,04,0,8,23,5,16,7,6,27,3,4,4,67,3,8,11,8,0,4,0,0,17,0.35,0.31,0.86,1.59,0.65,0.24,0.24,0.18,04,202.0,5,98
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Griffin,Kelley",Kelley,Griffin,G,452,"Griffin,Kelley","GRIFFIN,KELLEY",Mount Union,MTU,1279-4882,27,1,05,0,18,51,8,32,15,10,54,1,17,53,345,6,23,29,23,0,27,0,0,27,0.35,0.25,0.67,2.00,1.07,1.96,0.63,0.04,05,201.0,6,98
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Hardwick,Kendra",Kendra,Hardwick,G,452,"Hardwick,Kendra","HARDWICK,KENDRA",Mount Union,MTU,1279-5801,6,0,07,0,1,6,0,2,0,0,2,0,0,2,28,0,1,1,0,0,5,0,0,6,0.17,0.00,0.00,0.33,0.17,0.33,0.00,0.00,07,200.0,7,97
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Seiwerth,Mackenzie",Mackenzie,Seiwerth,G,452,"Seiwerth,Mackenzie","SEIWERTH,MACKENZIE",Mount Union,MTU,1279-5809,3,0,09,0,1,3,1,3,0,0,3,0,0,1,6,0,0,0,0,0,0,0,0,3,0.33,0.33,0.00,1.00,0.00,0.33,0.00,0.00,09,199.0,8,97
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Hutton,Rylee",Rylee,Hutton,G,452,"Hutton,Rylee","HUTTON,RYLEE",Mount Union,MTU,1279-5373,13,0,10,0,7,21,3,8,7,5,22,0,1,10,76,8,16,24,12,0,5,0,0,13,0.33,0.38,0.71,1.69,1.85,0.77,0.08,0.00,10,198.0,9,97
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Evanich,Chelsea",Chelsea,Evanich,F,452,"Evanich,Chelsea","EVANICH,CHELSEA",Mount Union,MTU,1279-5371,27,26,11,0,85,180,15,46,42,37,222,7,29,30,525,42,61,103,33,0,39,0,0,27,0.47,0.33,0.88,8.22,3.81,1.11,1.07,0.26,11,197.0,10,96
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Dunkle,Mckayla",Mckayla,Dunkle,F,452,"Dunkle,Mckayla","DUNKLE,MCKAYLA",Mount Union,MTU,1279-4626,27,27,12,0,95,191,1,4,64,41,232,15,20,40,498,52,86,138,47,0,55,0,0,27,0.50,0.25,0.64,8.59,5.11,1.48,0.74,0.56,12,196.0,11,96
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Schlosser,Sierra",Sierra,Schlosser,F,452,"Schlosser,Sierra","SCHLOSSER,SIERRA",Mount Union,MTU,1279-4633,13,1,13,0,4,9,1,4,4,1,10,4,2,4,62,2,7,9,5,0,4,0,0,13,0.44,0.25,0.25,0.77,0.69,0.31,0.15,0.31,13,195.0,12,96
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Scott,Lily",Lily,Scott,G,452,"Scott,Lily","SCOTT,LILY",Mount Union,MTU,1279-5374,26,26,14,0,42,121,20,59,52,36,140,2,26,63,574,5,44,49,54,0,37,1,0,26,0.35,0.34,0.69,5.38,1.88,2.42,1.00,0.08,14,194.0,13,95
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Callock,Jayla",Jayla,Callock,G,452,"Callock,Jayla","CALLOCK,JAYLA",Mount Union,MTU,1279-5375,20,0,15,0,14,34,1,6,2,1,30,1,6,10,105,13,13,26,10,0,12,0,0,20,0.41,0.17,0.50,1.50,1.30,0.50,0.30,0.05,15,193.0,14,95
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Opfer,Sydney",Sydney,Opfer,F,452,"Opfer,Sydney","OPFER,SYDNEY",Mount Union,MTU,1279-5807,10,0,20,0,3,12,0,0,4,2,8,1,0,1,35,7,11,18,1,0,3,0,0,10,0.25,0.00,0.50,0.80,1.80,0.10,0.00,0.10,20,192.0,15,95
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Livesay,Audrey",Audrey,Livesay,F,452,"Livesay,Audrey","LIVESAY,AUDREY",Mount Union,MTU,1279-4630,20,1,21,0,5,21,1,9,6,4,15,4,2,6,75,6,17,23,12,0,6,0,0,20,0.24,0.11,0.67,0.75,1.15,0.30,0.10,0.20,21,191.0,16,94
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Melcher,Emily",Emily,Melcher,G,452,"Melcher,Emily","MELCHER,EMILY",Mount Union,MTU,1279-5805,5,0,22,0,1,4,0,2,0,0,2,0,2,1,19,1,1,2,2,0,1,0,0,5,0.25,0.00,0.00,0.40,0.40,0.20,0.40,0.00,22,190.0,17,94
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Ferancy,Kayla",Kayla,Ferancy,G,452,"Ferancy,Kayla","FERANCY,KAYLA",Mount Union,MTU,1279-5378,27,2,23,0,47,135,10,44,26,21,125,3,32,32,468,14,58,72,44,0,32,1,0,27,0.35,0.23,0.81,4.63,2.67,1.19,1.19,0.11,23,189.0,18,94
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Lime,Brooke",Brooke,Lime,G,452,"Lime,Brooke","LIME,BROOKE",Mount Union,MTU,1279-5379,11,0,24,0,3,9,2,7,4,4,12,0,1,2,36,1,4,5,0,0,3,0,0,11,0.33,0.29,1.00,1.09,0.45,0.18,0.09,0.00,24,188.0,19,94
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Ferritto,Alex",Alex,Ferritto,G,452,"Ferritto,Alex","FERRITTO,ALEX",Mount Union,MTU,1279-5800,4,0,25,0,2,4,0,1,0,0,4,0,0,0,8,0,1,1,0,0,0,0,0,4,0.50,0.00,0.00,1.00,0.25,0.00,0.00,0.00,25,187.0,20,93
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Muckleroy,Abby",Abby,Muckleroy,G,452,"Muckleroy,Abby","MUCKLEROY,ABBY",Mount Union,MTU,1279-4887,27,0,30,0,30,98,16,62,13,9,85,6,16,16,301,16,44,60,33,0,22,0,0,27,0.31,0.26,0.69,3.15,2.22,0.59,0.59,0.22,30,186.0,21,93
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Roth,Noelle",Noelle,Roth,F,452,"Roth,Noelle","ROTH,NOELLE",Mount Union,MTU,1279-5808,8,0,31,0,0,6,0,4,0,0,0,0,2,0,29,3,5,8,3,0,2,0,0,8,0.00,0.00,0.00,0.00,1.00,0.00,0.25,0.00,31,185.0,22,93
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"May,Maddie",Maddie,May,G,452,"May,Maddie","MAY,MADDIE",Mount Union,MTU,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32,184.0,23,93
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Mason,Elizabeth",Elizabeth,Mason,F,452,"Mason,Elizabeth","MASON,ELIZABETH",Mount Union,MTU,1279-4884,27,26,33,0,122,240,10,40,91,72,326,17,29,59,669,47,133,180,41,0,52,0,0,27,0.51,0.25,0.79,12.07,6.67,2.19,1.07,0.63,33,183.0,24,92
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Molnar,Bella",Bella,Molnar,C,452,"Molnar,Bella","MOLNAR,BELLA",Mount Union,MTU,1279-5806,5,0,35,0,9,20,1,5,2,1,20,1,1,0,24,5,7,12,7,0,1,0,0,5,0.45,0.20,0.50,4.00,2.40,0.00,0.20,0.20,35,182.0,25,92
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Felix,Alesha",Alesha,Felix,F,452,"Felix,Alesha","FELIX,ALESHA",Mount Union,MTU,1279-5799,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42,181.0,26,92
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"Conroy,Tess",Tess,Conroy,G,452,"Conroy,Tess","CONROY,TESS",Mount Union,MTU,1279-4881,27,0,44,0,57,126,30,74,29,21,165,2,18,31,394,19,54,73,29,0,31,0,0,27,0.45,0.41,0.72,6.11,2.70,1.15,0.67,0.07,44,180.0,27,92
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Mount Union,"McCabe,Bree",Bree,McCabe,F,452,"McCabe,Bree","MCCABE,BREE",Mount Union,MTU,1279-5804,27,0,54,0,78,159,0,0,68,46,202,12,10,15,385,51,58,109,59,0,44,0,0,27,0.49,0.00,0.68,7.48,4.04,0.56,0.37,0.44,54,179.0,28,92
2025-26,wbball,Ohio Athletic Conference (OAC),oac,Marietta,"Harlan,Kelsey",Kelsey,Harlan,G,385,"Harlan,Kelsey","HARLAN,KELSEY",Marietta,MAR,1278-3889,26,26,00,0,136,306,22,74,124,85,379,7,58,87,692,12,53,65,46,0,88,0,0,26,0.44,0.30,0.69,14.58,2.50,3.35,2.23,0.27,00,178.0,29,91
