season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,fumble_stats_number,fumble_stats_number_lost,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Shenandoah,"Keasey,Devin",Devin,Keasey,,637,"Keasey,Devin","KEASEY,DEVIN",Shenandoah,SUH,1184-3399,1,1,98,98,0,0,DE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,1.0,.0,.0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03840856870777,25,94
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Shenandoah,"McFarland,Jackson",Jackson,McFarland,,637,"McFarland,Jackson","MCFARLAND,JACKSON",Shenandoah,SUH,1184-3588,1,1,18,1E,0,WR,0,0,,,7,61,1,19,8.7,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.942408211335695,26,93
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Roanoke,"Tolson,Davon",Davon,Tolson,,578,"Tolson,Davon","TOLSON,DAVON",Roanoke,RC,1296-4206,1,0,38,38,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,7,1,1,0,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80347904346877,27,93
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Hampden-Sydney,"Gallavan,Gavin",Gavin,Gallavan,,269,"Gallavan,Gavin","GALLAVAN,GAVIN",Hampden-Sydney,HSC,1291-2498,1,1,6,6D,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,9,9,.5,.0,.0,0,1,2,0.5,0,1,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.629920154920997,28,93
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Guilford,"Iannone,Nick",Nick,Iannone,,1112,"Iannone,Nick","IANNONE,NICK",Guilford,GUL,1290-3585,1,1,9,9,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,6,9,9,.5,.0,.0,0,1,2,0.5,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.629920154920997,29,93
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Canton,Marcus",Marcus,Canton,,752,"Canton,Marcus","CANTON,MARCUS",Washington and Lee,WLU,1299-9172,1,1,29,29,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,7,12,12,1.0,.0,.0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5253954578466313,30,93
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Averett,"Stover,Zymarcus",Zymarcus,Stover,,44,"Stover,Zymarcus","STOVER,ZYMARCUS",Averett,AUC,1169-4752,1,1,10,1H,0,WR,0,0,,,8,70,0,17,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2847256532434015,31,93
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Guilford,"Shapiro,Shane",Shane,Shapiro,,1112,"Shapiro,Shane","SHAPIRO,SHANE",Guilford,GUL,1290-3798,1,1,1,1,0,WR,0,0,,,10,69,0,21,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.238026878274513,32,93
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Averett,"Saunders,Brandon",Brandon,Saunders,,44,"Saunders,Brandon","SAUNDERS,BRANDON",Averett,AUC,1169-4435,1,1,4,4,0,QB,0,0,,,,,,,,,,,,,,,,,,,,5,16,18,2,0,6,3.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,26,2,162,1,33,18,109.7,4.91,9.00,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1778115696615394,33,93
2026-27,football,Old Dominion Athletic Conference (ODAC),odac,Roanoke,"Hill,Polo",Polo,Hill,,578,"Hill,Polo","HILL,POLO",Roanoke,RC,1296-3596,1,0,27,27,0,RB,0,0,,,1,9,0,9,9.0,,,,,,,,,,,,,16,132,132,0,0,33,8.3,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8494464335217053,34,93
