season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Bice,Reghan",Reghan,Bice,G,712,"Bice,Reghan","BICE,REGHAN",TCNJ,TCNJ,1163-5838,13,0,01,0,11,21,7,16,4,2,31,0,1,3,77,3,5,8,12,0,7,0,0,13,0.52,0.44,0.50,2.38,0.62,0.23,0.08,0.00,01
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Weatherstone,Meaghan",Meaghan,Weatherstone,F,712,"Weatherstone,Meaghan","WEATHERSTONE,MEAGHAN",TCNJ,TCNJ,1163-5835,3,0,02,0,1,3,0,1,0,0,2,0,0,1,13,0,4,4,0,0,2,0,0,3,0.33,0.00,0.00,0.67,1.33,0.33,0.00,0.00,02
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Fricker,Katie",Katie,Fricker,G,712,"Fricker,Katie","FRICKER,KATIE",TCNJ,TCNJ,1163-5230,28,28,03,0,108,292,38,144,102,83,337,2,44,65,886,68,124,192,31,0,52,0,0,28,0.37,0.26,0.81,12.04,6.86,2.32,1.57,0.07,03
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Brown,Cassidy",Cassidy,Brown,G,712,"Brown,Cassidy","BROWN,CASSIDY",TCNJ,TCNJ,1163-5667,19,3,05,0,28,95,21,62,15,6,83,0,9,22,313,11,19,30,40,0,21,0,0,19,0.29,0.34,0.40,4.37,1.58,1.16,0.47,0.00,05
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Augustine,Izzy",Izzy,Augustine,G,712,"Augustine,Izzy","AUGUSTINE,IZZY",TCNJ,TCNJ,1163-5836,25,1,10,0,38,93,15,49,30,18,109,2,7,29,296,10,18,28,26,0,15,0,0,25,0.41,0.31,0.60,4.36,1.12,1.16,0.28,0.08,10
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Baylock,Amanda",Amanda,Baylock,G,712,"Baylock,Amanda","BAYLOCK,AMANDA",TCNJ,TCNJ,1163-5665,28,28,11,0,141,383,70,210,48,38,390,1,30,80,830,20,65,85,45,0,54,1,0,28,0.37,0.33,0.79,13.93,3.04,2.86,1.07,0.04,11
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Kowalski,Grace",Grace,Kowalski,G,712,"Kowalski,Grace","KOWALSKI,GRACE",TCNJ,TCNJ,1163-5408,27,21,14,0,89,236,35,105,32,15,228,7,41,94,715,19,75,94,43,0,47,0,0,27,0.38,0.33,0.47,8.44,3.48,3.48,1.52,0.26,14
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Magee,Olivia",Olivia,Magee,F,712,"Magee,Olivia","MAGEE,OLIVIA",TCNJ,TCNJ,1163-5137,22,1,20,0,14,30,0,0,10,5,33,1,6,9,177,11,21,32,22,1,13,0,0,22,0.47,0.00,0.50,1.50,1.45,0.41,0.27,0.05,20
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Bernhardt,Maddie",Maddie,Bernhardt,G,712,"Bernhardt,Maddie","BERNHARDT,MADDIE",TCNJ,TCNJ,1163-5666,28,7,23,0,82,196,50,133,22,13,227,3,26,22,480,19,28,47,60,0,30,1,0,28,0.42,0.38,0.59,8.11,1.68,0.79,0.93,0.11,23
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Hourigan-Hutton,Myah",Myah,Hourigan-Hutton,G,712,"Hourigan-Hutton,Myah","HOURIGAN-HUTTON,MYAH",TCNJ,TCNJ,1163-5231,28,28,24,0,38,97,0,3,66,39,115,3,13,40,750,51,81,132,48,0,24,0,0,28,0.39,0.00,0.59,4.11,4.71,1.43,0.46,0.11,24
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"McFadden,Brooke",Brooke,McFadden,G,712,"McFadden,Brooke","MCFADDEN,BROOKE",TCNJ,TCNJ,1163-5668,28,23,33,0,95,226,30,80,58,38,258,33,25,43,691,77,159,236,60,0,34,0,0,28,0.42,0.38,0.66,9.21,8.43,1.54,0.89,1.18,33
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Voshell,Olivia",Olivia,Voshell,F,712,"Voshell,Olivia","VOSHELL,OLIVIA",TCNJ,TCNJ,1163-5833,7,0,12,0,10,18,0,0,11,8,28,1,3,1,72,12,3,15,3,0,3,0,0,7,0.56,0.00,0.73,4.00,2.14,0.14,0.43,0.14,12
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Ahrens,Riley",Riley,Ahrens,F,712,"Ahrens,Riley","AHRENS,RILEY",TCNJ,TCNJ,1163-5834,18,0,22,0,53,110,15,38,34,32,153,9,13,9,300,14,39,53,34,0,13,0,0,18,0.48,0.39,0.94,8.50,2.94,0.50,0.72,0.50,22
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Aber,Karleigh",Karleigh,Aber,C,712,"Aber,Karleigh","ABER,KARLEIGH",TCNJ,TCNJ,1163-5837,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,TCNJ,Meghan Weatherstone,Meghan,Weatherstone,0,712,Meghan Weatherstone,"WEATHERSTONE,MEGHAN",TCNJ,TCNJ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,William Paterson,"Smith,Aaliyah",Aaliyah,Smith,0,787,"Smith,Aaliyah","SMITH,AALIYAH",William Paterson,WPU,1164-3167,12,0,01,0,4,16,0,0,10,7,15,0,5,2,44,5,2,7,8,0,12,0,0,12,0.25,0.00,0.70,1.25,0.58,0.17,0.42,0.00,01
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,William Paterson,"Chiera,Mattison",Mattison,Chiera,*,787,"Chiera,Mattison","CHIERA,MATTISON",William Paterson,WPU,1164-2841,25,25,02,0,92,245,16,71,32,22,222,6,44,70,718,31,56,87,25,0,38,0,0,25,0.38,0.23,0.69,8.88,3.48,2.80,1.76,0.24,02
2025-26,wbball,New Jersey Athletic Conference (NJAC),njac,William Paterson,"Jacobs,Jada",Jada,Jacobs,*,787,"Jacobs,Jada","JACOBS,JADA",William Paterson,WPU,1164-3029,28,28,04,0,95,243,17,52,92,60,267,10,96,104,811,70,115,185,57,0,81,1,0,28,0.39,0.33,0.65,9.54,6.61,3.71,3.43,0.36,04
