conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Anderson, Jack",,,,45,45,183,57,67,41,9,4,4,35,0,8,35,11,18,1,0,3,0,0,0,4,1,6,0,0.480,96,229,19,.947,.366,.525,315,44,5,11,0,40,18,1,0,364,.986,58,.690,12,1,0,2,0,4,0,0,0,0,10.1,8,4,6,12,1,0,0,3.48,40,54,2,3,0,2,3,0,0,5,.300,4,1,43,38,"16,52",0.31,16,52,"30,72",0.42,30,72,"23,56",0.41,23,56,"9,30",0.30,9,30,0,0,0,0,"42,86","12,19","49,83",80,0,0,0,0,0,0,0,13,32,0,10,9,1,"1,1","0,1","0,1",0,"0,1"
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Harms, Nick",,,,45,45,182,60,73,58,14,6,14,27,3,11,37,9,17,0,0,3,0,0,0,0,1,1,0,0.498,141,223,17,1.000,.401,.775,91,4,1,0,0,0,0,0,0,96,.990,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,34,41,"20,56",0.36,20,56,"49,110",0.45,49,110,"25,60",0.42,25,60,"14,35",0.40,14,35,0,0,0,0,"14,35","12,23","76,126",33,0,0,0,0,0,0,0,18,39,0,,,,,,,,
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Stillson, Tyler",,,,45,45,195,42,68,48,15,2,8,11,0,4,26,7,7,1,0,5,0,0,0,8,0,9,0,0.386,111,215,8,.875,.349,.569,122,18,0,0,0,5,2,8,0,140,1.000,7,.714,52,1,9,2,1,0,0,0,0,0,43.1,34,29,12,40,15,2,5,6.02,181,203,3,6,1,1,2,1,0,8,.287,3,7,47,55,"23,65",0.35,23,65,"44,129",0.34,44,129,"25,74",0.34,25,74,"9,33",0.27,9,33,0,0,0,0,"10,28","17,28","70,141",27,0,0,0,"1,1",1.00,1,1,22,48,0,33,54,0,"3,5","6,14","2,5",0,"4,8"
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Alonso, Franco",,,,44,43,167,45,59,24,11,1,2,25,0,10,30,8,20,0,1,5,0,0,0,4,0,4,0,0.454,78,208,20,1.000,.353,.467,74,84,8,0,0,0,0,13,0,166,.952,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,50,31,"13,52",0.25,13,52,"30,92",0.33,30,92,"15,58",0.26,15,58,"10,22",0.45,10,22,0,0,0,0,"26,47","13,20","56,108",2,0,0,0,0,0,0,0,19,43,0,,,,,,,,
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Camphausen, Dane",,,,39,39,159,47,61,59,11,0,19,22,0,3,36,7,2,0,0,3,0,0,0,6,0,6,0,0.460,129,187,2,1.000,.384,.811,225,9,5,0,0,0,0,12,0,239,.979,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,36,27,"13,40",0.33,13,40,"28,86",0.33,28,86,"19,62",0.31,19,62,"10,27",0.37,10,27,0,0,0,0,"20,36","15,26","52,96",29,0,0,0,0,0,0,0,15,28,0,,,,,,,,
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Smith, Jay",,,,33,21,96,15,30,18,5,2,0,3,0,2,9,3,4,1,1,3,0,0,0,0,0,2,0,0.337,39,105,5,.800,.313,.406,38,2,1,0,0,0,0,0,0,41,.976,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,30,27,"8,28",0.29,8,28,"19,54",0.35,19,54,"11,40",0.28,11,40,"2,9",0.22,2,9,0,0,0,0,"7,20","12,16","33,60",28,0,0,0,31,0,0,0,14,22,0,,,,,,,,
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Harris, Jasiah",,,,19,7,32,11,5,4,1,0,0,2,0,0,12,6,5,0,0,1,0,0,0,0,0,0,0,0.200,6,35,5,1.000,.156,.188,10,22,1,0,0,0,0,3,0,33,.970,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,10,5,"0,8",0,0,8,"3,15",0.20,3,15,"2,12",0.17,2,12,"2,2",1.00,2,2,0,0,0,0,"3,8","4,5","9,16","0,1",0,0,1,2,0,0,0,2,4,0,,,,,,,,
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Trout, Matt",,,,27,15,63,15,17,16,5,0,2,14,0,3,12,5,6,0,0,1,0,0,0,0,0,0,0,0.420,28,81,6,1.000,.270,.444,31,0,0,0,0,0,0,0,0,31,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,11,22,"7,21",0.33,7,21,"11,32",0.34,11,32,"7,20",0.35,7,20,"5,15",0.33,5,15,0,0,0,0,"5,9","8,10","17,36",35,0,0,0,3,0,0,0,3,12,0,,,,,,,,
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Andreyko, Logan",,,,44,42,154,40,43,26,7,5,1,27,0,3,38,6,8,2,3,0,0,0,0,5,0,6,0,0.397,63,187,10,.800,.279,.409,52,1,6,0,0,0,0,0,0,59,.898,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,39,31,"15,55",0.27,15,55,"22,87",0.25,22,87,"14,56",0.25,14,56,"4,23",0.17,4,23,0,0,0,0,"11,30","10,17","46,99",26,0,0,0,1,0,0,0,16,39,0,,,,,,,,
uaa,University Athletic Association (UAA),2025-26,baseball,Case Western Reserve,"Carinci, Zack",,,,40,36,140,38,48,27,9,0,1,16,0,3,22,5,16,1,2,3,0,0,0,3,0,3,0,0.414,60,164,17,.941,.343,.429,20,81,2,0,0,1,0,3,0,103,.981,1,1.000,8,1,0,0,0,1,0,0,0,0,5.0,6,4,2,6,2,0,0,7.20,23,27,0,2,0,0,0,0,0,1,.348,3,8,37,35,"13,41",0.32,13,41,"27,73",0.37,27,73,"18,49",0.37,18,49,"8,20",0.40,8,20,0,0,0,0,"13,34","13,17","48,84",57,0,0,0,"0,1",0,0,1,12,27,0,3,5,0,"3,4","6,20","4,9",0,"1,7"
