conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Alyssa Young,,,,11,11,0.0,11.0,0.0,0.0,0.0,0.0,39.0,2.0,14.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,19.0,10.0,664:00,19.0,0.0,1.0,,,,,,,,,,,,,,,62.0,68.0,14.0,59.0,11.0,48.0,0.912,3.6593547693092763,3.764123384409023,2.340810508427575,1.3933153635982576,0.562437870031975,0.2561692349936575,0.0,8.793479108827405,1,99
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Sarah Weist,,,,16,16,0.0,11.0,0.0,0.0,0.0,5.0,33.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,46.0,18.0,945:00,0.0,0.0,1.0,,,,,,,,,,,,,,,62.0,87.0,17.0,54.0,10.0,44.0,0.713,3.2989277059876043,3.403936448053928,2.0796253359082875,1.7231678003183364,1.7698994239234047,2.2112528364652513,0.0,7.64123363225297,2,93
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Lauren Brown,,,,16,16,0.0,4.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,102.0,59.0,25.0,945:00,0.0,0.0,1.0,,,,,,,,,,,,,,,29.0,40.0,12.0,35.0,24.0,11.0,0.725,1.9293048653652511,0.4323942231243946,5.736217751178311,3.1250406563786712,2.8264282835784056,3.152589385321945,0.0,6.814977597547929,3,91
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,Charlotte Green,,,,13,11,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,78.0,33.0,17.0,653:00,39.0,0.0,1.0,,,,,,,,,,,,,,,54.0,68.0,1.0,47.0,8.0,39.0,0.794,2.7943298173372635,2.9537027776100597,1.557254990869713,1.0634629268781786,1.6189667296869759,1.2699162876085581,0.0,6.544132914960233,4,89
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,TaNya Barbee,,,,11,11,0.0,1.0,0.0,0.0,0.0,2.0,24.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,15.0,4.0,660:00,0.0,0.0,1.0,,,,,,,,,,,,,,,40.0,58.0,1.0,42.0,14.0,28.0,0.69,2.4339027540155915,1.9631887026335482,3.124366025985437,0.0739056167179422,-0.3431582953865974,-0.033472780039171215,0.0,6.1241232427273085,5,88
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Spalding,Taylor Young,,,,16,16,0.0,11.0,0.0,0.0,0.0,1.0,27.0,1.0,2.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,35.0,21.0,952:00,56.0,0.0,1.0,,,,,,,,,,,,,,,58.0,72.0,20.0,38.0,7.0,31.0,0.806,2.1455611033582542,2.2333289048998695,1.2960698183504256,1.5582415819582969,2.222697506632691,1.4147372951249724,0.0,5.407859908650755,6,86
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Abby Cole,,,,13,13,0.0,10.0,0.0,0.0,0.0,1.0,28.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,45.0,35.0,21.0,784:00,19.0,0.0,1.0,,,,,,,,,,,,,,,60.0,76.0,25.0,40.0,6.0,34.0,0.789,2.289731928686923,2.5034691071661905,1.0348846458311385,0.8160735993381195,2.222697506632691,1.4147372951249724,0.0,5.362662880242927,7,85
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,Avery Kirkhope,,,,13,12,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,19.0,9.0,713:00,39.0,0.0,1.0,,,,,,,,,,,,,,,29.0,39.0,3.0,34.0,15.0,19.0,0.744,1.8572194527009167,1.1527680958345845,3.385551198504724,0.2388318350779816,0.41150517579554624,0.2561692349936575,0.0,5.241953177586487,8,84
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,Sophie Garrett,,,,12,12,0.0,4.0,0.0,0.0,0.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0,16.0,5.0,713:00,39.0,0.0,1.0,,,,,,,,,,,,,,,45.0,66.0,10.0,38.0,9.0,29.0,0.682,2.1455611033582542,2.053235436722322,1.8184401633890004,0.1563687258979619,-0.19222560115016868,0.03893772371903597,0.0,5.034725415045135,9,83
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Spalding,Emma Beach,,,,14,14,0.0,5.0,0.0,0.0,0.0,0.0,33.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,49.0,36.0,15.0,840:00,0.0,0.0,1.0,,,,,,,,,,,,,,,69.0,94.0,19.0,37.0,2.0,35.0,0.734,2.07347569069392,2.5935158412549644,-0.00985604424601084,1.0634629268781786,1.3171013412141186,1.4871477988831796,0.0,4.260699293600102,10,82
