season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code,composite_score,global_rank,rating
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Williamson,Eden",Eden,Williamson,G,479,"Williamson,Eden","WILLIAMSON,EDEN",New York,NYU,1186-5155,30,30,00,0,32,69,1,14,43,26,91,3,55,54,645,37,67,104,43,0,19,0,0,30,0.46,0.07,0.60,3.03,3.47,1.80,1.83,0.10,00,127.0,1,99
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"McNair,Serenity",Serenity,McNair,G,479,"McNair,Serenity","MCNAIR,SERENITY",New York,NYU,1186-5342,10,0,02,0,6,15,0,1,8,4,16,0,11,8,63,2,8,10,1,0,7,0,0,10,0.40,0.00,0.50,1.60,1.00,0.80,1.10,0.00,02,126.0,2,99
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Batch,Olive",Olive,Batch,F,479,"Batch,Olive","BATCH,OLIVE",New York,NYU,1186-5146,12,0,03,0,10,23,5,12,6,5,30,5,4,10,58,3,19,22,4,0,4,0,0,12,0.43,0.42,0.83,2.50,1.83,0.83,0.33,0.42,03,125.0,3,99
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Munson,Josie",Josie,Munson,F,479,"Munson,Josie","MUNSON,JOSIE",New York,NYU,1186-5154,14,0,05,0,20,33,2,4,6,3,45,1,6,7,96,9,18,27,11,0,6,0,0,14,0.61,0.50,0.50,3.21,1.93,0.50,0.43,0.07,05,124.0,4,98
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Albanese,Aizlyn",Aizlyn,Albanese,G,479,"Albanese,Aizlyn","ALBANESE,AIZLYN",New York,NYU,1186-5508,17,0,07,0,15,32,9,21,4,3,42,4,7,2,82,6,16,22,6,0,3,0,0,17,0.47,0.43,0.75,2.47,1.29,0.12,0.41,0.24,07,123.0,5,98
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Alexander,Zahra",Zahra,Alexander,G,479,"Alexander,Zahra","ALEXANDER,ZAHRA",New York,NYU,1186-5332,30,1,10,0,145,275,21,45,74,50,361,9,37,47,668,42,33,75,29,0,33,0,0,30,0.53,0.47,0.68,12.03,2.50,1.57,1.23,0.30,10,122.0,6,98
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Peper,Caroline",Caroline,Peper,G,479,"Peper,Caroline","PEPER,CAROLINE",New York,NYU,1186-4966,29,29,11,0,191,461,112,305,54,44,538,14,78,100,875,17,69,86,47,0,48,1,0,29,0.41,0.37,0.81,18.55,2.97,3.45,2.69,0.48,11,121.0,7,97
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Ding,Jolyn",Jolyn,Ding,G,479,"Ding,Jolyn","DING,JOLYN",New York,NYU,1186-5510,16,0,12,0,11,24,3,8,3,1,26,0,12,10,96,9,5,14,11,0,9,0,0,16,0.46,0.38,0.33,1.63,0.88,0.63,0.75,0.00,12,120.0,8,97
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Van Der Maas,Paika",Paika,Van Der Maas,F,479,"Van Der Maas,Paika","VAN DER MAAS,PAIKA",New York,NYU,1186-5343,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13,119.0,9,97
2025-26,wbball,University Athletic Association (UAA),uaa,New York,"Lagao,Olivia",Olivia,Lagao,G,479,"Lagao,Olivia","LAGAO,OLIVIA",New York,NYU,1186-5512,29,1,14,0,77,224,55,157,52,46,255,1,38,48,445,7,16,23,33,0,38,0,0,29,0.34,0.35,0.88,8.79,0.79,1.66,1.31,0.03,14,118.0,10,96
