conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_plusminus,z_penalty_stats_minutes,composite_score,rank,rating
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Schneider, Conner",,0,12,25,7,0,,1,1,0,1,0,1,2,0,0,3,09:00,0,0,0,0,0,1,2,207,188,395,0.524,0.91,18,30,-12,8,0,47,24,17,7,0.15,0,0,,,,,,,,,,,,,,,,,,2.281227110041684,1.2515842078268853,2.722900008735049,-1.6603936342970722,,,11,87
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Nenow, Nolan",,0,13,23,12,0,,0,0,0,0,2,1,3,0,1,11,22:00,0,0,0,0,0,0,11,113,160,273,0.414,1.42,21,13,8,14,0,50,16,5,11,0.22,0,0,,,,,,,,,,,,,,,,,,1.2062713634089226,2.4068927073593946,0.13867375718542782,1.1378439619648306,,,12,87
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Kiffin, Duke",,0,15,24,10,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,,0.0,19,13,6,22,0,30,4,2,2,0.07,0,0,,,,,,,,,,,,,,,,,,-0.4061622565402195,-0.1925514165887515,-0.5073828057019774,0.8580202023386403,,,13,86
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Comishock, Ryan",,0,16,23,3,0,,0,0,0,0,0,0,4,0,0,7,14:00,0,0,0,0,0,0,7,4,3,7,0.571,0.75,11,15,-4,6,0,56,13,7,6,0.11,0,0,,,,,,,,,,,,,,,,,,0.8031629584216371,0.9627570829437577,0.569378132443698,-0.5410985957923111,,,14,86
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Schram, Carter",,0,17,7,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,2,-2,3,0,9,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,-0.9436401298566002,-0.7702056663550061,-0.9380871809602476,-0.26127483616612085,,,15,85
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Cotter, Jack",,0,18,21,2,0,,0,0,0,0,0,0,0,0,0,12,38:00,0,0,0,0,0,2,9,79,92,171,0.462,1.16,2,4,-2,10,0,24,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,-0.9436401298566002,-0.7702056663550061,-0.9380871809602476,-0.26127483616612085,,,16,85
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Catalano, Nick",,0,19,24,10,0,,0,0,0,3,1,0,1,1,0,4,08:00,0,0,0,0,0,0,4,116,130,246,0.472,1.12,19,15,4,7,0,50,14,7,7,0.14,0,0,,,,,,,,,,,,,,,,,,0.9375324267507323,1.2515842078268853,0.569378132443698,0.5781964427124501,,,17,84
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Hanson, Peyton",,0,20,25,8,0,,0,2,0,3,1,3,4,3,1,13,26:00,0,0,0,0,0,0,13,27,36,63,0.429,1.33,30,19,11,12,0,55,30,16,14,0.25,0,0,,,,,,,,,,,,,,,,,,3.087443920016255,3.273374082008776,2.5075478211059137,1.557579601404116,,,18,84
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Gravink, Logan",,0,22,22,6,0,,0,0,0,0,0,0,0,0,0,6,15:00,0,0,0,0,0,1,5,3,11,14,0.214,3.67,2,6,-4,6,0,22,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,-0.9436401298566002,-0.7702056663550061,-0.9380871809602476,-0.5410985957923111,,,19,84
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Hale, Jake",,0,23,21,3,0,,0,0,0,1,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,14,18,32,0.438,1.29,4,8,-4,10,0,21,3,2,1,0.05,0,0,,,,,,,,,,,,,,,,,,-0.5405317248693147,-0.4813785414718788,-0.5073828057019774,-0.5410985957923111,,,20,83
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Canevari, Franco",,0,24,12,3,0,,0,0,0,0,0,0,0,0,0,3,09:00,0,0,0,0,0,1,2,0,0,0,,0.0,4,5,-1,4,0,10,2,1,1,0.1,0,0,,,,,,,,,,,,,,,,,,-0.6749011931984098,-0.4813785414718788,-0.7227349933311125,-0.12136295635302571,,,21,83
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Reim, Zachary",,0,25,25,11,0,,0,0,0,0,0,0,1,0,0,5,10:00,0,0,0,0,0,0,5,0,0,0,,0.0,18,22,-4,26,0,43,20,19,1,0.02,0,0,,,,,,,,,,,,,,,,,,1.7437492367253034,-0.4813785414718788,3.153604383993319,-0.5410985957923111,,,22,82
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Stibbe, Cade",,0,27,23,5,0,,0,0,0,1,1,0,0,0,0,8,16:00,0,0,0,0,0,0,8,4,14,18,0.222,3.5,9,13,-4,9,0,39,6,3,3,0.08,0,0,,,,,,,,,,,,,,,,,,-0.13742331988202913,0.09627570829437582,-0.2920306180728423,-0.5410985957923111,,,23,82
