conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Mairi Smith,0,*,30,14,2,15,33,0,3,5,4,34,6,3,8,130,6,34,40,12,0,4,0,0,0.45,0.0,0.8,2.43,2.86,0.57,0.21,0.43,0.2857142857142857,-0.5310505649632131,0.10969491746709767,-0.42290985966106753,-1.1390313501862863,0.7063964052142742,-0.8137841662310998,0.4256264325595941,-0.6463867232997825,84,57
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Evelyn Walcott,0,0,14,25,0,27,58,0,0,36,20,74,15,8,10,286,17,50,67,35,0,21,2,0,0.47,0.0,0.56,2.96,2.68,0.4,0.32,0.6,0.84,-0.4001141105861019,0.02248925243600274,-0.6204830154721921,-0.3645025665823826,0.8534866592563207,-0.5826824316934393,0.8504815232696782,-0.7027062097410621,85,56
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Hill,Althea",0,G,12,25,14,33,78,12,39,14,9,87,3,6,29,525,8,26,34,21,0,18,0,0,0.42,0.31,0.64,3.48,1.36,1.16,0.24,0.12,0.72,-0.2716481553481814,-0.6170189577920279,0.2627852105069531,-0.5321840558162174,0.48576102415120365,-0.7507564204481014,-0.34910932108820636,-0.7412136643842557,86,56
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Bates,Gabby Bellacqua,0,0,24,25,0,33,92,12,39,16,14,92,2,14,17,250,15,28,43,34,0,16,0,0,0.36,0.31,0.88,3.68,1.72,0.68,0.56,0.08,0.64,-0.22223817256436573,-0.44260762772983775,-0.295068405900928,-0.6439717153054406,0.044490262025063114,-0.07846046542945256,-0.4490752247846967,-0.7735636232630443,87,56
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Nugent,Macie",0,0,34,3,0,4,10,0,0,0,0,8,0,1,1,25,0,1,1,3,0,4,0,0,0.4,0.0,0.0,2.67,0.33,0.33,0.33,0.0,1.3333333333333333,-0.4717585856226345,-1.1160291521366275,-0.701836667865008,0.3248546669344939,0.3386707701091571,-0.5616731830991064,-0.6490070321776775,-0.8298400975519363,88,56
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Caroline Hartley,0,0,24,23,1,33,86,0,4,32,19,85,2,17,8,263,15,40,55,33,0,24,0,0,0.38,0.0,0.59,3.7,2.39,0.35,0.74,0.09,1.0434782608695652,-0.2172971742859842,-0.11800876344742824,-0.6785927671813464,-0.08017308483805395,0.1915805160671101,0.2997060092685372,-0.42408374886057415,-0.8902344554717361,89,55
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Middlebury,"Newman,Margot",0,G,12,23,0,22,72,6,33,17,13,63,5,18,29,341,10,57,67,32,0,28,0,0,0.31,0.18,0.76,2.74,2.91,1.26,0.78,0.22,1.2173913043478262,-0.45446509164829896,0.13391871330906865,0.3790047139252618,0.16284356622547494,-0.3232353730800539,0.3837430036458684,-0.09919456184698039,-0.9648292169102456,90,55
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Nelson,Hazel",0,F,24,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1313818557865725,-1.2759062046936351,-1.0853610291454263,-1.5382729912192263,-2.60313431073178,-1.2549783867120878,-0.6490070321776775,-1.0705806308534471,91,55
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Ryan,Annie",0,G,22,24,0,24,72,13,41,15,12,73,5,20,12,324,10,23,33,37,0,12,1,0,0.33,0.32,0.8,3.04,1.38,0.5,0.83,0.21,0.5,-0.38035011747257563,-0.6073294394552395,-0.5042635120538835,-0.8396001194115813,-0.17614511903800695,0.4887892466175321,-0.124186037771103,-1.1228467695311308,92,55
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Gracie Augustine,0,0,10,21,1,26,75,10,35,2,1,63,1,5,21,253,14,23,37,18,0,11,0,0,0.35,0.29,0.5,3.0,1.76,1.0,0.24,0.05,0.5238095238095238,-0.3902321140293388,-0.42322859105626104,0.07683400503765944,-0.8063299826588363,-0.029054864995960376,-0.7507564204481014,-0.5240496525570646,-1.1502464989889138,93,54
