season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,fumblereturn_stats,fumble_stats,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,interception_return_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,defense_stats,scoring_stats,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Empire 8 (E8),e8,Brockport,"Gollnitz,Austyn",Austyn,Gollnitz,,78,"Gollnitz,Austyn","GOLLNITZ,AUSTYN",Brockport,BPT,652-7971,1,1,1,1A,0,0,LB,0,,,,,,,,0,1,3,4,4,2.0,.0,.0,1,2,7,1,1,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.301679943383365,11,96
2026-27,football,Empire 8 (E8),e8,St. John Fisher,Colin Faust,Colin,Faust,,601,Colin Faust,"FAUST,COLIN",St. John Fisher,ST. JOHN,1009-5860,1,1,11,11,0,0,LB,0,,,,,,,,0,3,1,4,4,1.0,.0,.0,1,0,9,1,1,0,9,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.233267124559366,12,96
2026-27,football,Empire 8 (E8),e8,Hartwick,"Vurchio,Michael",Michael,Vurchio,,273,"Vurchio,Michael","VURCHIO,MICHAEL",Hartwick,HC,1005-3104,1,1,13,13,0,0,DB,0,,,,,,,,0,0,2,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.154044917820047,13,95
2026-27,football,Empire 8 (E8),e8,St. John Fisher,Mykel White,Mykel,White,,601,Mykel White,"WHITE,MYKEL",St. John Fisher,ST. JOHN,1009-5900,1,1,88,88,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,3,74,2,45,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.144873913795542,14,95
2026-27,football,Empire 8 (E8),e8,Cortland,Nazair Jean-Lubin,Nazair,Jean-Lubin,,168,Nazair Jean-Lubin,"JEAN-LUBIN,NAZ",Cortland,COR,1168-6019,1,1,7,7,0,0,CB,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.856822368915254,15,95
2026-27,football,Empire 8 (E8),e8,Morrisville,"Burke,Brad",Brad,Burke,,30067,"Burke,Brad","BURKE,BRAD",Morrisville,MOR,1388-2302,1,0,10,10,0,0,DL,0,,,,,,,,0,3,1,4,4,1.5,.0,.0,1,1,8,1,1,0,8,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7850660802158815,16,95
2026-27,football,Empire 8 (E8),e8,St. John Fisher,Eric Sparkman,Eric,Sparkman,,601,Eric Sparkman,"SPARKMAN,ERIC",St. John Fisher,ST. JOHN,1009-6895,1,1,0,0,0,0,SAF,0,,,,,,,,0,8,0,8,8,.0,.0,.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7578604631423094,17,95
2026-27,football,Empire 8 (E8),e8,Cortland,Mike Rescigno,Mike,Rescigno,,168,Mike Rescigno,"RESCIGNO,MIKE",Cortland,COR,1168-6307,1,1,1,1,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,12,12,12,16,83,91,8,2,18,5.2,83.0,0,0,57,1,180,0,20,12,152.1,9.00,15.00,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6915115784809034,18,94
2026-27,football,Empire 8 (E8),e8,Brockport,"Kelly,Malik",Malik,Kelly,,78,"Kelly,Malik","KELLY,MALIK",Brockport,BPT,652-6704,1,0,13,13,0,0,DB,0,,,,,,,,35,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,35,1,35,35.0,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.559599820010461,19,94
2026-27,football,Empire 8 (E8),e8,Brockport,"Frias,Nelson",Nelson,Frias,,78,"Frias,Nelson","FRIAS,NELSON",Brockport,BPT,652-8352,1,0,42,42,0,0,LB,0,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,9,1,1,0,9,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.341599477844986,20,94
2026-27,football,Empire 8 (E8),e8,Morrisville,"Baker,Israel",Israel,Baker,,30067,"Baker,Israel","BAKER,ISRAEL",Morrisville,MOR,1388-2519,1,1,33,33,0,0,LB,0,,,,,,,,0,3,4,7,7,2.5,.0,.0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14926250754203,21,94
2026-27,football,Empire 8 (E8),e8,Alfred St.,"Doiron,Virgil",Virgil,Doiron,,30170,"Doiron,Virgil","DOIRON,VIRGIL",Alfred St.,ASC,1447-3907,1,1,90,90,0,0,DL,0,,,,,,,,0,1,2,3,3,1.0,.0,.0,1,0,9,1,1,0,9,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9712296681436055,22,94
