conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Cooley,Cailtyn",0,G,02,5,0,1,3,0,1,0,0,2,0,0,1,15,1,3,4,2,0,1,0,0,0.33,0.00,0.00,0.40,0.80,0.20,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Pontius,Danielle",0,G,04,28,28,71,215,24,92,60,46,212,1,24,90,837,10,43,53,43,0,79,0,0,0.33,0.26,0.77,7.57,1.89,3.21,0.86,0.04
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Bollinger,Kate",0,G,05,13,0,4,23,0,1,12,9,17,1,4,4,64,4,7,11,6,0,5,0,0,0.17,0.00,0.75,1.31,0.85,0.31,0.31,0.08
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Evans,Brooke",0,F,10,26,25,82,165,6,20,48,36,206,13,49,73,705,55,76,131,41,0,43,0,0,0.50,0.30,0.75,7.92,5.04,2.81,1.88,0.50
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Curry,Tiara",0,G,11,2,0,1,3,1,1,0,0,3,0,0,0,5,0,1,1,0,0,0,0,0,0.33,1.00,0.00,1.50,0.50,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Bashor,Camdon",0,F,12,28,28,103,193,2,7,80,56,264,31,37,31,646,42,98,140,48,0,32,0,0,0.53,0.29,0.70,9.43,5.00,1.11,1.32,1.11
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Tallion,Rachel",0,G,13,3,0,0,1,0,0,2,1,1,0,0,0,9,1,1,2,1,0,0,0,0,0.00,0.00,0.50,0.33,0.67,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Smith,Cadence",0,G,15,10,1,4,13,1,4,6,3,12,0,2,3,48,1,3,4,4,0,4,0,0,0.31,0.25,0.50,1.20,0.40,0.30,0.20,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"McDole,Carmella",0,G,20,28,0,30,78,12,42,8,7,79,6,14,14,347,16,47,63,37,0,12,0,0,0.38,0.29,0.88,2.82,2.25,0.50,0.50,0.21
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Yancy,Olivia",0,G,21,28,15,70,218,45,140,30,23,208,2,26,43,660,12,44,56,55,0,40,0,0,0.32,0.32,0.77,7.43,2.00,1.54,0.93,0.07
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Gadsby,Reese",0,G,22,19,13,33,130,1,21,28,23,90,3,15,13,390,22,33,55,33,0,32,1,0,0.25,0.05,0.82,4.74,2.89,0.68,0.79,0.16
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Straub,Samantha",0,G,23,12,0,6,20,2,8,4,2,16,0,11,7,88,5,14,19,12,0,11,0,0,0.30,0.25,0.50,1.33,1.58,0.58,0.92,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Norman,Avina",0,G,25,28,0,64,122,0,0,27,16,144,8,13,4,315,17,36,53,33,0,22,0,0,0.52,0.00,0.59,5.14,1.89,0.14,0.46,0.29
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Maier,Makenna",0,G,30,28,28,114,243,65,148,61,49,342,10,33,40,697,21,139,160,45,0,50,0,0,0.47,0.44,0.80,12.21,5.71,1.43,1.18,0.36
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Glass,Emily",0,G,32,8,0,1,7,0,5,0,0,2,0,2,1,21,2,0,2,1,0,3,0,0,0.14,0.00,0.00,0.25,0.25,0.13,0.25,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Peffer,Emerson",0,F,33,28,0,85,164,0,3,44,35,205,11,35,34,516,65,88,153,48,0,53,0,0,0.52,0.00,0.80,7.32,5.46,1.21,1.25,0.39
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Zombek,Chloe",0,G,40,7,0,2,3,0,1,0,0,4,2,1,1,22,0,2,2,1,0,0,0,0,0.67,0.00,0.00,0.57,0.29,0.14,0.14,0.29
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Smith,Bethany",0,F,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Hertzler,Madison",0,G,03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Rissmiller,Janay",0,G,14,16,2,15,45,5,12,11,6,41,1,6,10,216,12,12,24,18,0,7,0,0,0.33,0.42,0.55,2.56,1.50,0.63,0.38,0.06
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Saint Vincent,"Mannarino,Jillian",0,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Joiner,Maya",0,F,00,25,25,100,194,0,0,67,39,239,41,53,54,879,73,196,269,49,0,39,0,0,0.52,0.00,0.58,9.56,10.76,2.16,2.12,1.64
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Seaman,Sarah",0,G,04,25,25,146,388,56,171,77,55,403,5,21,56,877,19,62,81,30,0,65,0,0,0.38,0.33,0.71,16.12,3.24,2.24,0.84,0.20
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Lloyd,Layla",0,F,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Doup,Liz",0,G,12,20,0,18,39,1,7,19,13,50,0,8,23,255,13,15,28,9,0,29,0,0,0.46,0.14,0.68,2.50,1.40,1.15,0.40,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Hunt,Riley",0,G,13,8,0,0,3,0,2,2,0,0,0,0,2,18,1,2,3,0,0,1,0,0,0.00,0.00,0.00,0.00,0.38,0.25,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Gunn,Juliana",0,G,15,17,10,22,81,4,26,18,8,56,0,20,30,311,13,33,46,38,0,41,2,0,0.27,0.15,0.44,3.29,2.71,1.76,1.18,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Gallegos,Rylee",0,G,20,2,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,2,0,0,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Salisbury,Avery",0,G,21,2,0,0,4,0,3,0,0,0,0,1,0,15,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Lyde,Ally",0,F,22,17,0,19,47,0,0,22,11,49,1,14,2,114,9,17,26,24,0,10,0,0,0.40,0.00,0.50,2.88,1.53,0.12,0.82,0.06
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Hart,Kaelyn",0,G,24,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Srinivasan,Advika",0,G,25,25,16,68,198,55,151,31,25,216,1,19,18,645,18,20,38,39,0,57,0,0,0.34,0.36,0.81,8.64,1.52,0.72,0.76,0.04
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Caceres,Isabella",0,G,33,24,24,112,316,52,153,81,54,330,15,46,121,924,4,82,86,47,0,83,0,0,0.35,0.34,0.67,13.75,3.58,5.04,1.92,0.63
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Wilhoite,McKinzie",0,F,35,17,11,23,62,0,2,38,24,70,0,13,11,316,27,25,52,40,0,21,1,0,0.37,0.00,0.63,4.12,3.06,0.65,0.76,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Petroff,Rylie",0,C,40,3,0,2,4,0,0,2,0,4,0,0,1,13,3,2,5,4,0,1,0,0,0.50,0.00,0.00,1.33,1.67,0.33,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Osborn,Emma",0,C,41,18,0,23,59,0,0,29,17,63,6,4,2,193,12,33,45,10,0,7,0,0,0.39,0.00,0.59,3.50,2.50,0.11,0.22,0.33
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Owens,Star",0,F,51,21,14,71,159,4,14,45,33,179,9,21,19,456,35,59,94,50,0,25,2,0,0.45,0.29,0.73,8.52,4.48,0.90,1.00,0.43
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Williams,Kesia",0,C,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Hernandez,Lexi",0,G,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Westminster,"Arison,Kennedy",0,G,00,26,26,54,177,23,80,37,12,143,0,24,86,751,11,51,62,23,0,58,0,0,0.31,0.29,0.32,5.50,2.38,3.31,0.92,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Westminster,"Morris,Emma",0,G,01,5,0,0,1,0,1,2,1,1,1,0,0,11,0,2,2,1,0,5,0,0,0.00,0.00,0.50,0.20,0.40,0.00,0.00,0.20
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Westminster,"Brush,Angelina",0,G,02,24,10,30,99,21,70,34,18,99,12,13,48,594,5,62,67,37,0,39,0,0,0.30,0.30,0.53,4.13,2.79,2.00,0.54,0.50
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Westminster,"Ukeagu,Angelena",0,F,03,8,0,1,3,0,0,2,0,2,2,1,0,25,1,3,4,3,0,2,0,0,0.33,0.00,0.00,0.25,0.50,0.00,0.13,0.25
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Westminster,"Kreitzer,Caitlin",0,G,04,8,0,2,9,0,5,6,5,9,0,1,2,24,0,4,4,3,0,3,0,0,0.22,0.00,0.83,1.13,0.50,0.25,0.13,0.00
