season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bates,Bates College,Kendall Reed,,,17404,553,ACTIVE,86.42,14.42,12,85.7620706110819,6,0,0,1.95893940839366,-18.0958810935092,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Trinity (CT),Trinity College,Koto Freeman,,,23300,686,ACTIVE,90.79,18.79,14,88.6857560984386,7,0,0,1.02046675382386,-15.3681616111504,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bates,Bates College,Victoria Adams,,Fourth Year,11817,100000,ACTIVE,79.0,7.0,9,78.5071168289667,5,2,1,12.4507054607168,-21.0445674639527,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Wesleyan (CT),Wesleyan University,Rosie Leonard,,,12901,100000,ACTIVE,84.67,12.67,3,84.1257396091187,2,0,0,2.72828033220354,-16.3837287562137,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Angela Liu,,Fourth Year,15143,100000,ACTIVE,82.0,10.0,2,79.6528092243075,1,0,0,8.12728233098826,-9.89328603850634,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Sydney Dweck,,Fourth Year,17546,100000,ACTIVE,77.0,5.0,2,76.5028648252253,1,0,0,17.8626634101802,-20.3535010283819,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Wesleyan (CT),Wesleyan University,Mia Bardinelli,,,18220,100000,ACTIVE,88.0,16.0,5,85.5828282152661,3,0,0,2.07541961501122,-15.3024712412716,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Meg Simon,,,19691,100000,ACTIVE,87.0,15.0,2,81.7684611244872,1,0,0,4.78896166226192,-13.6805849688586,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Jackie Lu,,,20217,100000,ACTIVE,79.5,7.5,2,77.7219302328184,1,0,0,12.376032780105,-13.4618798954303,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Victoria Kim,,,23000,100000,ACTIVE,79.67,7.67,6,76.2372073794046,3,0,0,18.8132337273785,-12.7300526618731,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Serena Bagga,,Fourth Year,23277,100000,ACTIVE,78.0,6.0,2,77.5028648252253,1,0,0,13.9114562515893,-20.3535010283819,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Trinity (CT),Trinity College,Himena Yamane,,,23689,100000,ACTIVE,86.0,14.0,11,84.2985776607733,6,0,0,2.83540760499703,-16.9495485906673,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Trinity (CT),Trinity College,Malisha Van,,,23923,100000,ACTIVE,86.25,14.25,4,82.4484491228145,3,1,0,5.30474614038151,-16.6029608138074,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Abby Kim,,Fourth Year,24775,100000,ACTIVE,77.8,5.8,5,74.385940856908,2,0,0,35.2835270884064,-11.2113192807655,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Maria Barr,,,24796,100000,ACTIVE,80.75,8.75,4,77.2451956786528,2,0,0,14.387461400401,-13.5712324321444,East - (W) DIII,clippd_scoreboard
