season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,defense_stats,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,fumble_stats_number,fumble_stats_number_lost,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,composite_score,global_rank,rating
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,"Reese,Silas",Silas,Reese,,326,"Reese,Silas","REESE,SILAS",Kalamazoo,KAL,1088-2273,1,0,3,3,0,0,DB,0,,,,,,,,4,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.832373216107219,15,95
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,"Billiard,Ayden",Ayden,Billiard,,30037,"Billiard,Ayden","BILLIARD,AYDEN",Trine,TRI,1091-4711,1,1,88,88,0,0,DL,0,,,,,,,,0,1,3,4,4,1.5,.0,.0,1,1,6,1,1,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.744294408501999,16,95
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Olivet,Amyre Carter,Amyre,Carter,,525,Amyre Carter,"CARTER,AMYRE",Olivet,OLIVET,0,1,1,12,12,0,0,CB,0,,,,,,,,0,2,2,4,4,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6988108774457222,17,95
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,"Humphreys II,Leonard",Leonard,Humphreys II,,326,"Humphreys II,Leonard","HUMPHREYS II,LEONARD",Kalamazoo,KAL,1088-1931,1,0,2,2,0,0,LB,0,,,,,,,,0,4,1,5,5,2.5,.0,.0,2,1,11,0,0,0,0,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6774965065210363,18,94
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,"West,RJ",RJ,West,,30037,"West,RJ","WEST,RJ",Trine,TRI,1091-5135,1,1,9,9,0,QB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,9,37,46,9,1,21,4.1,37.0,,,,,,,,,,,,,,,,,9,3,59,5,420,1,38,26,199.4,11.05,16.15,420.0,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,3.5698419506741814,19,94
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,"Hill,Isiah",Isiah,Hill,,114,"Hill,Isiah","HILL,ISIAH",Calvin,CAL,1086-2425,1,0,11,1B,0,0,DL,0,,,,,,,,0,2,0,2,2,1.0,.0,.0,1,0,5,1,1,0,5,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5651595556536706,20,94
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Albion,"Davis,Jordan",Jordan,Davis,,15,"Davis,Jordan","DAVIS,JORDAN",Albion,AC,1084-4360,1,0,90,90,0,0,DL,0,,,,,,,,0,2,1,3,3,1.5,.0,.0,1,1,12,1,1,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.486765718215762,21,94
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,"Jones,Gage",Gage,Jones,,114,"Jones,Gage","JONES,GAGE",Calvin,CAL,1086-2385,1,0,4,0E,0,0,DB,0,,,,,,,,0,2,1,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4412821871594854,22,94
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Bolhouse,Trenten",Trenten,Bolhouse,,286,"Bolhouse,Trenten","BOLHOUSE,TRENTEN",Hope,HOP,1087-3530,1,1,25,25,0,0,S,0,,,,,,,,0,4,1,5,5,1.0,.0,.0,1,0,6,1,1,0,6,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4315972169921736,23,94
2026-27,football,Michigan Intercollegiate Athletic Association (MIAA),miaa,Olivet,Jaylan Johnson,Jaylan,Johnson,,525,Jaylan Johnson,"JOHNSON,JAYLAN",Olivet,OLIVET,0,1,1,4,4,0,TB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,45,0,16,7.5,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,22,59,60,1,1,8,2.7,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.302421604052127,24,94
