rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,centennial_conference,Centennial Conference,2025-26,McDaniel,"Kearney,David",0,F,26,32.76923076923077,17.46,6.81,1.27,1.92,1.35,1.9615384615384617,7.996001131465706,2.4248806436830317,1.79582749262431,-0.10795004174502147,2.369817118008756,2.7917278588909813,0.7700585749571601
2,centennial_conference,Centennial Conference,2025-26,Johns Hopkins,"Jackson,Charlie",0,G,27,29.814814814814813,18.89,7.37,2.0,1.7,0.59,2.7777777777777777,7.333464490331959,2.778723382018627,2.109063449201603,0.7309870649743632,1.9015929084163097,0.7239171670886818,1.9059658392262084
3,centennial_conference,Centennial Conference,2025-26,Ursinus,"Toure,Mohamed",0,G,27,28.48148148148148,17.33,5.93,0.96,1.07,1.0,1.4814814814814814,6.491510506816832,2.3927131220161586,1.3035995608599928,-0.46421100487243144,0.5607690354924858,1.8394466192451853,0.10199444221951694
4,centennial_conference,Centennial Conference,2025-26,Haverford,"Strong-Jacobson,Adam",0,F,25,22.76,12.04,8.08,1.4,1.08,1.56,1.64,5.665339773042792,1.0837424326488172,2.5062018941478135,0.04144971698582772,0.5820519541103243,3.363096602678459,0.32259437305347805
5,centennial_conference,Centennial Conference,2025-26,Johns Hopkins,"Eglinton Manner,Wyatt",0,G,27,28.074074074074073,13.19,5.56,3.37,1.37,0.26,1.5925925925925926,5.425409938945663,1.3683012781634567,1.096640089549996,2.305430676214852,1.1992565940276403,-0.17394800172021116,0.2566205619629477
6,centennial_conference,Centennial Conference,2025-26,Franklin & Marshall,"Nowoswiat,Kevin",0,G,27,34.111111111111114,16.22,7.37,2.52,1.04,0.15,2.7777777777777777,5.129527908098368,2.1180519754759417,2.109063449201603,1.3285860998977603,0.4969202796389703,-0.4732363913231756,1.9059658392262084
7,centennial_conference,Centennial Conference,2025-26,Ursinus,"Murphy,Jamie",0,G,27,29.333333333333332,16.3,6.59,2.52,1.7,0.3,3.5555555555555554,4.9042039557970405,2.1378473734247865,1.6727705096832308,1.3285860998977603,1.9015929084163097,-0.06511586004640597,2.9883486774302233
8,centennial_conference,Centennial Conference,2025-26,Swarthmore,"Paquette,Eddie",0,G,26,25.884615384615383,15.04,5.85,1.85,1.08,0.04,1.8076923076923077,4.384352608023769,1.8260698557304853,1.2588515670632368,0.5586027279772294,0.5820519541103243,-0.77252478092614,0.5559608706970252
9,centennial_conference,Centennial Conference,2025-26,Dickinson,"Moran,Dane",0,F,25,25.72,14.92,8.2,0.84,0.64,1.12,2.88,4.2397930989592885,1.7963767588072188,2.573323884842947,-0.6021184744701384,-0.3543964650745689,2.1659430442666014,2.0482218693901646
10,centennial_conference,Centennial Conference,2025-26,Gettysburg,"Mess,Aidan",0,F,26,20.384615384615383,9.04,7.15,1.62,0.69,1.73,1.7692307692307692,3.6659071107549184,0.34141500956714893,1.986006466260524,0.2942800779149576,-0.24798187198537666,3.8256332047921306,0.5024364446319913
11,centennial_conference,Centennial Conference,2025-26,Franklin & Marshall,"Grauslys,Vakaris",0,G,27,31.88888888888889,13.0,3.44,3.48,1.48,0.37,2.7037037037037037,3.6194884293361698,1.3212872080349511,-0.08918174606404071,2.431845856679417,1.4333686988238632,0.12534038788275317,1.8028817593972548
12,centennial_conference,Centennial Conference,2025-26,Ursinus,"Nocito,Nick",0,G,27,28.88888888888889,11.52,3.81,5.59,1.7,0.07,3.592592592592593,3.5657258472725286,0.9550723459813281,0.11777772524595634,4.856718863772432,1.9015929084163097,-0.690900674670786,3.039890717344701
13,centennial_conference,Centennial Conference,2025-26,Muhlenberg,"Stanton-Shepherd,Peter",0,F,25,29.2,9.92,6.84,1.44,0.84,0.52,1.4,2.7598274283751474,0.5591643870044385,1.8126079902980936,0.08741887351839679,0.07126190728220057,0.5334609191595229,-0.01139804559233225
14,centennial_conference,Centennial Conference,2025-26,Muhlenberg,"Woodard,Jack",0,F,25,29.16,11.0,5.0,1.96,0.4,1.0,1.8,2.731625212901858,0.826402259313839,0.7834041329727034,0.6850179084417941,-0.8651865119026924,1.8394466192451853,0.5452559854840184
15,centennial_conference,Centennial Conference,2025-26,Gettysburg,"Zamloot,Ray",0,G,27,31.074074074074073,11.81,4.26,1.44,1.22,0.33,1.5925925925925926,2.6164582527157005,1.0268306635458895,0.36948519035270927,0.08741887351839679,0.8800128147600628,0.016508246208948012,0.2566205619629477
16,centennial_conference,Centennial Conference,2025-26,Muhlenberg,"Buck,Drew",0,G,25,31.76,11.92,3.52,1.16,1.16,0.4,1.44,2.3571654019006187,1.0540493357255505,-0.04443375226728456,-0.2343652222095864,0.7523153030530317,0.20696449413810716,0.044267357515302856
17,centennial_conference,Centennial Conference,2025-26,Washington College,"Waldon,Nolan",0,G,20,26.8,12.75,1.85,2.5,2.15,0.0,2.85,2.1315959662514556,1.259426589444812,-0.9785481227745682,1.3056015216314758,2.859324246219041,-0.8813569225999451,2.006472817059439
18,centennial_conference,Centennial Conference,2025-26,Washington College,"Nalty,Jon",0,G,25,26.36,11.32,3.52,1.68,1.84,0.0,1.96,2.0790920894324074,0.905583851109217,-0.04443375226728456,0.3632338127138109,2.199553769066049,-0.8813569225999451,0.7679175979145586
19,centennial_conference,Centennial Conference,2025-26,Washington College,"Harris,Jaedon",0,G,25,20.6,9.04,2.36,2.16,2.4,0.04,1.64,1.889299556210021,0.34141500956714893,-0.6932796623202482,0.9148636911046394,3.391397211665003,-0.77252478092614,0.32259437305347805
20,centennial_conference,Centennial Conference,2025-26,Gettysburg,"Gillus,Caleb",0,G,23,28.565217391304348,11.3,2.87,3.09,0.96,0.13,2.347826086956522,1.7576130148932851,0.900635001622006,-0.4080112018659279,1.9836465804868688,0.3266569306962623,-0.5276524621600781,1.3076299845668466
21,centennial_conference,Centennial Conference,2025-26,Ursinus,"Field,Matthew",0,F,27,21.703703703703702,7.41,5.59,1.04,0.85,0.96,1.037037037037037,1.7197587606495002,-0.061916223640557155,1.1134205872237795,-0.37227269180729333,0.09254482590003907,1.73061447757138,-0.5165100367542058
22,centennial_conference,Centennial Conference,2025-26,Washington College,"Portnoy,Max",0,G,25,26.96,8.52,5.44,2.64,1.16,0.48,2.4,1.6569804282350902,0.2127449228996599,1.0295180988548622,1.4664935694954675,0.7523153030530317,0.42462877748571753,1.3802370320985442
23,centennial_conference,Centennial Conference,2025-26,Johns Hopkins,"Felli,Tanti",0,G,26,24.346153846153847,8.85,4.35,0.92,0.81,0.81,1.1153846153846154,1.5164910318961418,0.2944009394386434,0.4198266833740598,-0.5101801614050003,0.007413151428685317,1.3224939462946108,-0.4074787984735815
24,centennial_conference,Centennial Conference,2025-26,Franklin & Marshall,"Donahue,Steve",0,G,27,28.185185185185187,12.22,2.7,1.33,1.19,0.11,1.9259259259259256,1.417744885126485,1.1282820780337175,-0.5031006886840346,-0.038996306946167875,0.8161640589065473,-0.5820685329969808,0.7204989211932394
25,centennial_conference,Centennial Conference,2025-26,Swarthmore,"Jimenez,Zander",0,G,18,25.27777777777778,12.67,4.44,0.83,0.78,0.11,2.0555555555555554,1.3388836545203944,1.2396311914959677,0.47016817639541086,-0.6136107636032807,-0.05643560442483018,-0.5820685329969808,0.9008960608939087
26,centennial_conference,Centennial Conference,2025-26,Gettysburg,"Williams,Nate",0,G,13,24.923076923076923,9.08,3.92,0.85,1.77,0.23,1.4615384615384617,1.252809225542222,0.35131270854157143,0.1793062167164959,-0.5906261853369962,2.050573338741179,-0.25557210797556507,0.07424103611172199
27,centennial_conference,Centennial Conference,2025-26,Johns Hopkins,"Williams,Jeb",0,G,27,26.88888888888889,8.93,3.89,0.89,1.48,0.52,1.5555555555555556,1.180252749294692,0.3141963373874879,0.16252571904271249,-0.5446570288044271,1.4333686988238632,0.5334609191595229,0.2050785220484709
28,centennial_conference,Centennial Conference,2025-26,McDaniel,"Black,Bruce",0,G,26,25.692307692307693,11.12,4.58,1.31,0.81,0.23,2.1923076923076925,1.0556945253519778,0.8560953562371055,0.5484771655397338,-0.0619808852124524,0.007413151428685317,-0.25557210797556507,1.0912051313473625
29,centennial_conference,Centennial Conference,2025-26,Franklin & Marshall,"Jones,Franklin",0,F,27,23.185185185185187,5.85,5.0,1.15,1.52,0.78,1.2592592592592593,1.0259210123360454,-0.44792648364302473,0.7834041329727034,-0.24585751134272865,1.5185003732952171,1.2408698400392568,-0.2072577972673443
30,centennial_conference,Centennial Conference,2025-26,Washington College,"Woodland,Ty",0,F,25,23.2,9.8,3.92,0.76,0.56,0.68,1.4,0.9298004529817968,0.5294712900811719,0.1793062167164959,-0.6940567875352764,-0.5246598140172767,0.9687894858547438,-0.01139804559233225
31,centennial_conference,Centennial Conference,2025-26,Dickinson,"Ruiz,Juan",0,F,21,16.047619047619047,6.38,6.76,1.24,0.52,0.86,1.4285714285714286,0.9059201688331552,-0.31678197223192994,1.7678599965013375,-0.14242690914444825,-0.6097914884886306,1.4585341233868674,0.028362956627407242
