season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,American Southwest Conference (ASC),asc,Howard Payne,Tapia Aj,Tapia,Aj,,2741,Tapia Aj,0,0HOWARD P,10,9,,,27,5,12,8,2,0,0,7,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0.583,14,36,1,.000,.444,.519,64,3,1,1,0,17,2,0,0,68,.985,19,.895,,0,1,9,2,"2,6",0.33,2,6,"8,19",0.42,8,19,"5,15",0.33,5,15,"0,1",0,0,1,0,0,0,0,"4,5","1,3","15,21",0,0,0,0,0,0,0,0,6,5,0,,Howard Payne,HOWARD P,0,False,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,,,,,,,,,,1,99,54.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Hunter Molinar,Hunter,Molinar,,271,Hunter Molinar,0,0HSU,7,4,,,15,3,6,4,0,0,0,2,0,0,3,2,2,1,0,0,0,0,0,1,0,1,0,0.471,6,17,3,.667,.400,.400,9,12,2,0,0,0,0,2,0,23,.913,0,.000,,0,0,2,4,"0,2",0,0,2,"5,11",0.45,5,11,"3,4",0.75,3,4,0,0,0,0,0,0,0,0,"2,3","2,2","5,11","1,1",1.00,1,1,1,0,0,0,0,3,0,,Hardin-Simmons,HSU,637-3816,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,53.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Paul Samaripa,Paul,Samaripa,,271,Paul Samaripa,0,0HSU,22,22,,,79,30,33,32,7,0,5,10,0,0,10,1,4,1,1,5,0,0,0,0,0,0,0,0.457,55,95,5,.800,.418,.696,23,69,5,0,0,0,0,12,0,97,.948,0,.000,,4,4,12,26,"12,31",0.39,12,31,"21,51",0.41,21,51,"14,36",0.39,14,36,"1,7",0.14,1,7,0,0,0,0,"8,13","11,17","35,58",23,0,0,0,0,0,0,0,13,21,0,,Hardin-Simmons,HSU,637-3801,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,52.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Catcher Ridings,Catcher,Ridings,,271,Catcher Ridings,0,0HSU,25,25,,,101,30,45,22,13,2,4,14,0,5,8,0,2,0,0,0,0,0,0,2,0,2,0,0.533,74,120,2,1.000,.446,.733,92,5,4,0,0,15,3,0,0,101,.960,18,.833,,2,1,16,29,"16,37",0.43,16,37,"28,58",0.48,28,58,"17,35",0.49,17,35,"4,6",0.67,4,6,0,0,0,0,"10,19","4,8","39,63","0,1",0,0,1,0,0,0,0,4,16,0,,Hardin-Simmons,HSU,637-3803,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,51.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Howard Payne,Jace Mackenzie,Jace,Mackenzie,,2741,Jace Mackenzie,0,0HOWARD P,23,23,,,71,23,32,19,3,2,1,16,0,3,13,5,5,0,0,1,0,0,0,0,0,0,0,0.560,42,91,5,1.000,.451,.592,54,2,1,0,0,0,0,0,0,57,.982,0,.000,,3,2,9,15,"7,20",0.35,7,20,"21,46",0.46,21,46,"15,33",0.45,15,33,"4,6",0.67,4,6,0,0,0,0,"11,15","9,12","34,54",39,0,0,0,"0,1",0,0,1,6,19,0,,Howard Payne,HOWARD P,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,50.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Cannon Negron,Cannon,Negron,,271,Cannon Negron,0,0HSU,18,17,,,62,16,26,16,8,0,0,6,0,2,8,3,7,1,2,2,0,0,0,0,0,0,0,0.472,34,74,8,.875,.419,.548,14,4,0,0,0,0,0,0,0,18,1.000,0,.000,,2,1,11,18,"12,22",0.55,12,22,"13,33",0.39,13,33,"10,22",0.45,10,22,"2,5",0.40,2,5,0,0,0,0,"10,18","5,12","22,39",15,0,0,0,"0,1",0,0,1,11,10,0,,Hardin-Simmons,HSU,637-3558,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,49.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Gavin Bruning,Gavin,Bruning,,271,Gavin Bruning,0,0HSU,14,13,,,52,22,25,14,3,2,2,8,0,2,9,5,5,1,2,0,0,0,0,1,1,1,0,0.565,38,64,6,.833,.481,.731,103,8,1,7,1,7,5,0,0,112,.991,12,.583,,1,1,13,6,"8,16",0.50,8,16,"13,31",0.42,13,31,"9,21",0.43,9,21,"1,3",0.33,1,3,0,0,0,0,"10,15","4,9","22,38","1,1",1.00,1,1,"1,1",1.00,1,1,3,12,0,,Hardin-Simmons,HSU,637-3815,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,48.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Justin Blancaflor,Justin,Blancaflor,,271,Justin Blancaflor,0,0HSU,25,25,,,105,30,37,39,10,1,7,11,0,4,15,5,6,0,1,2,0,0,0,3,0,3,0,0.426,70,123,6,1.000,.352,.667,44,1,0,0,0,0,0,0,0,45,1.000,0,.000,,3,1,23,30,"12,33",0.36,12,33,"24,58",0.41,24,58,"21,47",0.45,21,47,"4,6",0.67,4,6,0,0,0,0,"10,36","7,11","42,68",3,0,0,0,0,0,0,0,9,28,0,,Hardin-Simmons,HSU,637-3545,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,47.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,Nolan Williams,Nolan,Williams,,1203,Nolan Williams,0,0UMHB,27,27,,,106,36,42,30,9,2,10,16,0,2,30,8,9,1,1,1,0,0,0,0,1,0,0,0.480,85,126,10,.900,.396,.802,27,1,2,0,0,0,0,0,0,30,.933,0,.000,,3,3,13,20,"11,31",0.35,11,31,"24,63",0.38,24,63,"18,42",0.43,18,42,"8,14",0.57,8,14,0,0,0,0,"17,31","3,12","31,68",4,0,0,0,0,0,0,0,6,26,0,,Mary Hardin-Baylor,UMHB,641-6428,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,46.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,Taylor Mcdaniel,Taylor,Mcdaniel,,1203,Taylor Mcdaniel,0,0UMHB,27,27,,,96,24,36,30,11,0,5,15,0,15,14,4,3,3,0,1,0,0,0,0,0,4,0,0.520,62,127,6,.500,.375,.646,153,10,1,0,0,0,0,10,0,164,.994,0,.000,,2,2,16,29,"10,38",0.26,10,38,"19,62",0.31,19,62,"17,46",0.37,17,46,"3,13",0.23,3,13,0,0,0,0,"15,25","7,12","33,71",16,0,0,0,0,0,0,0,5,33,0,,Mary Hardin-Baylor,UMHB,641-6738,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,45.0,batting,,
