season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,American Southwest Conference (ASC),asc,East Texas Baptist,Connor Massimini,Connor,Massimini,,1062,Connor Massimini,0,0EAST TEX,28,28,,,95,33,36,27,8,0,8,25,0,3,22,9,3,3,0,2,0,0,0,0,0,0,0,0.512,68,125,6,.500,.379,.716,51,3,0,0,0,0,0,0,0,54,1.000,0,.000,,2,1,13,26,"10,32",0.31,10,32,"14,41",0.34,14,41,"11,30",0.37,11,30,"4,7",0.57,4,7,0,0,0,0,"17,31","8,15","32,54",34,0,0,0,0,0,0,0,10,14,0,,East Texas Baptist,EAST TEX,636-4059,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,96,44.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,East Texas Baptist,Carson Livesay,Carson,Livesay,,1062,Carson Livesay,0,0EAST TEX,28,26,,,103,25,36,27,7,2,2,14,0,2,15,5,7,2,1,0,0,0,0,1,1,2,0,0.437,53,120,9,.778,.350,.515,5,0,0,0,0,0,0,0,0,5,1.000,0,.000,,1,2,26,26,"14,32",0.44,14,32,"22,55",0.40,22,55,"15,34",0.44,15,34,"2,7",0.29,2,7,0,0,0,0,"14,29","6,10","38,61",22,0,0,0,1,0,0,0,14,19,0,,East Texas Baptist,EAST TEX,636-4885,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,96,43.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Jacob Hollingsworth,Jacob,Hollingsworth,,271,Jacob Hollingsworth,0,0HSU,25,25,,,116,25,41,25,9,1,3,3,0,2,15,4,5,2,1,2,0,0,0,2,1,3,0,0.374,61,124,7,.714,.353,.526,10,48,5,0,0,0,0,5,0,63,.921,0,.000,,5,3,27,31,"11,29",0.38,11,29,"21,60",0.35,21,60,"12,37",0.32,12,37,"4,9",0.44,4,9,0,0,0,0,"3,15","6,11","33,63",12,0,0,0,0,0,0,0,13,21,0,,Hardin-Simmons,HSU,637-3307,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,95,42.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Brock Calvillo,Brock,Calvillo,,271,Brock Calvillo,0,0HSU,23,23,,,88,19,34,21,5,1,0,13,0,5,6,4,2,3,1,1,0,0,0,1,0,3,0,0.486,41,108,5,.400,.386,.466,46,2,1,0,0,0,0,1,0,49,.980,0,.000,,6,3,23,21,"11,29",0.38,11,29,"21,49",0.43,21,49,"16,36",0.44,16,36,"3,7",0.43,3,7,0,0,0,0,"14,24","11,20","34,54",1,0,0,0,0,0,0,0,7,10,0,,Hardin-Simmons,HSU,637-3299,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,94,41.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Howard Payne,Pope Hunter,Pope,Hunter,,2741,Pope Hunter,0,0HOWARD P,22,19,,,66,13,24,18,9,0,3,8,0,2,15,3,1,0,0,1,0,0,0,3,0,3,0,0.442,42,77,1,1.000,.364,.636,3,0,0,0,0,0,0,0,0,3,1.000,0,.000,,0,1,15,11,"4,17",0.24,4,17,"16,39",0.41,16,39,"10,23",0.43,10,23,"1,5",0.20,1,5,0,0,0,0,"5,10","7,11","20,41",78,0,0,0,66,0,0,0,3,12,0,,Howard Payne,HOWARD P,0,False,1,1,0,0,0,0,0,0,0,0,0.1,5,5,2,0,0,0,0,135.00,2,4,0,1,0,0,0,0,0,0,.500,,,,,,,,,,15,93,40.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,Austin Birkhoff,Austin,Birkhoff,,1203,Austin Birkhoff,0,0UMHB,19,16,,,57,18,20,16,5,0,2,9,0,1,15,3,6,0,0,2,0,0,0,0,0,1,0,0.435,31,69,6,1.000,.351,.544,38,32,5,0,0,0,0,7,0,75,.933,0,.000,,1,0,7,16,"4,11",0.36,4,11,"11,28",0.39,11,28,"8,22",0.36,8,22,"5,8",0.63,5,8,0,0,0,0,"7,16","7,10","22,36",4,0,0,0,"0,1",0,0,1,6,8,0,,Mary Hardin-Baylor,UMHB,641-6416,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,92,39.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Howard Payne,Gulamhusein Nader,Gulamhusein,Nader,,2741,Gulamhusein Nader,0,0HOWARD P,23,23,,,78,24,31,15,6,0,1,23,0,3,16,6,4,0,1,1,0,0,0,1,3,2,0,0.543,40,106,4,1.000,.397,.513,29,45,12,0,0,0,0,7,0,86,.860,0,.000,,3,2,14,15,"6,19",0.32,6,19,"17,41",0.41,17,41,"11,32",0.34,11,32,"1,3",0.33,1,3,0,0,0,0,"16,30","7,15","31,54",94,0,0,0,"0,2",0,0,2,4,20,0,,Howard Payne,HOWARD P,0,False,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,,,,,,,,,,17,91,38.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,Tyler Martin,Tyler,Martin,,1203,Tyler Martin,0,0UMHB,21,19,,,57,18,20,13,3,0,4,12,0,7,7,4,9,2,1,1,0,0,0,0,1,1,0,0.506,35,78,11,.818,.351,.614,16,1,1,0,0,0,0,0,0,18,.944,0,.000,,0,2,15,15,"2,17",0.12,2,17,"11,34",0.32,11,34,"6,18",0.33,6,18,"2,6",0.33,2,6,0,0,0,0,"7,11","4,8","23,44","1,1",1.00,1,1,"0,1",0,0,1,5,13,0,,Mary Hardin-Baylor,UMHB,641-3663,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,90,37.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,East Texas Baptist,Carter Nannini,Carter,Nannini,,1062,Carter Nannini,0,0EAST TEX,20,15,,,55,7,21,13,4,0,0,9,0,1,7,3,3,3,6,2,0,0,0,0,0,0,0,0.463,25,73,6,.500,.382,.455,37,2,2,0,0,0,0,1,0,41,.951,0,.000,,2,0,11,24,"6,17",0.35,6,17,"11,22",0.50,11,22,"8,17",0.47,8,17,"0,2",0,0,2,0,0,0,0,"8,15","7,8","22,33",23,0,0,0,1,0,0,0,11,11,0,,East Texas Baptist,EAST TEX,636-5095,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,89,36.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Benji Fielder,Benji,Fielder,,271,Benji Fielder,0,0HSU,20,20,,,72,21,25,9,0,1,0,4,0,6,8,2,2,2,0,0,0,0,0,3,1,3,0,0.427,27,82,4,.500,.347,.375,37,55,6,0,0,0,0,12,0,98,.939,0,.000,,2,2,27,10,"5,27",0.19,5,27,"17,47",0.36,17,47,"14,30",0.47,14,30,"3,8",0.38,3,8,0,0,0,0,"5,15","5,8","25,52",11,0,0,0,0,0,0,0,2,22,0,,Hardin-Simmons,HSU,637-3302,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,88,35.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Hardin-Simmons,Hunter Trojacek,Hunter,Trojacek,,271,Hunter Trojacek,0,0HSU,10,9,,,34,10,11,8,1,0,0,10,0,0,5,2,2,0,2,0,0,0,0,1,0,1,0,0.477,12,46,2,1.000,.324,.353,73,3,1,0,0,0,0,7,0,77,.987,0,.000,,1,0,9,10,"5,11",0.45,5,11,"8,19",0.42,8,19,"4,11",0.36,4,11,"0,1",0,0,1,0,0,0,0,"4,9","4,6","18,26",0,0,0,0,0,0,0,0,5,5,0,,Hardin-Simmons,HSU,637-3557,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,86,34.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Howard Payne,Colby Chapman,Colby,Chapman,,2741,Colby Chapman,0,0HOWARD P,12,11,,,33,3,10,5,4,0,1,3,0,2,5,4,1,0,1,0,0,0,0,1,0,2,0,0.395,17,39,1,1.000,.303,.515,74,6,2,10,0,28,3,0,0,82,.976,31,.903,,0,1,8,11,"1,11",0.09,1,11,"4,18",0.22,4,18,"3,9",0.33,3,9,"1,2",0.50,1,2,0,0,0,0,"2,5","1,5","8,21",13,0,0,0,0,0,0,0,2,9,0,,Howard Payne,HOWARD P,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,85,33.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Howard Payne,Lile Joshua,Lile,Joshua,,2741,Lile Joshua,0,0HOWARD P,25,24,,,92,20,32,31,7,0,7,10,0,3,27,13,2,0,1,1,0,0,0,1,0,1,0,0.425,60,107,2,1.000,.348,.652,20,44,5,0,0,0,0,2,0,69,.928,0,.000,,1,0,13,18,"7,26",0.27,7,26,"20,51",0.39,20,51,"15,43",0.35,15,43,"4,6",0.67,4,6,0,0,0,0,"6,21","6,14","26,57",43,0,0,0,"0,1",0,0,1,3,25,0,,Howard Payne,HOWARD P,0,False,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,,,,,,,,,,23,84,32.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,Cameron Talburt,Cameron,Talburt,,1203,Cameron Talburt,0,0UMHB,28,28,,,116,29,39,20,10,1,3,15,0,7,18,7,17,4,0,1,0,0,0,0,1,2,0,0.439,60,139,21,.810,.336,.517,75,1,0,0,0,0,0,1,0,76,1.000,0,.000,,6,3,22,32,"6,26",0.23,6,26,"14,49",0.29,14,49,"10,42",0.24,10,42,"3,13",0.23,3,13,0,0,0,0,"25,52","4,10","29,54",17,0,0,0,0,0,0,0,5,22,0,,Mary Hardin-Baylor,UMHB,641-5991,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,83,31.0,batting,,
2026-27,baseball,American Southwest Conference (ASC),asc,Howard Payne,Prestage Landon,Prestage,Landon,,2741,Prestage Landon,0,0HOWARD P,20,19,,,70,13,24,20,5,1,1,8,0,0,12,4,0,0,0,2,0,0,0,1,1,1,0,0.400,34,80,0,.000,.343,.486,106,1,4,0,0,0,0,4,0,111,.964,0,.000,,2,1,17,15,"8,27",0.30,8,27,"18,44",0.41,18,44,"12,29",0.41,12,29,"1,5",0.20,1,5,0,0,0,0,"6,13","6,9","23,47",77,0,0,0,0,0,0,0,3,23,0,,Howard Payne,HOWARD P,0,False,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,,,,,,,,,,25,82,30.0,batting,,
