season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Fierro, Miguel",Miguel,Fierro,,451,"Fierro, Miguel","FIERRO, MIGUEL",Mount Saint Vincent,CMSV,1178-3201,15,6,18,0,18,0,.222,18,3,7,0,0,3,0,3,3,14,0,0,0,0,2,4,2,3,1,12.5,0,0.47,0.00,0.13,0.27,0.20,0.83,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Sealy, Nathaniel",Nathaniel,Sealy,,451,"Sealy, Nathaniel","SEALY, NATHANIEL",Mount Saint Vincent,CMSV,1178-3499,3,0,17,0,17,0,.000,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.67,0.00,0.00,0.00,0.00,0.67,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Moon, Mason",Mason,Moon,,382,"Moon, Mason","MOON, MASON",Manhattanville,Manhat,1174-3506,48,36,18,0,18,0,.132,38,3,8,329,22,890,0,11,26,188,0,0,1,0,67,3,0,3,0,20.5,0,0.17,6.85,1.40,0.06,0.23,0.43,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Diamond, Matthew",Matthew,Diamond,,382,"Diamond, Matthew","DIAMOND, MATTHEW",Manhattanville,Manhat,1174-3507,68,8,6,0,6,0,-.100,20,5,3,24,4,107,0,1,0,12,0,0,423,16,139,0,0,0,0,4,0,0.04,0.35,2.04,0.00,0.01,0.06,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Machado, Pedro",Pedro,Machado,,382,"Machado, Pedro","MACHADO, PEDRO",Manhattanville,Manhat,1174-3386,69,59,9,0,9,0,.120,301,62,98,316,8,828,0,26,43,235,0,0,2,2,81,20,4,18,2,135,2,1.42,4.58,1.17,0.29,0.38,1.96,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Martinez, Wilton",Wilton,Martinez,,382,"Martinez, Wilton","MARTINEZ, WILTON",Manhattanville,Manhat,1174-3387,24,12,2,0,2,0,.141,78,14,25,2,1,7,0,4,17,62,0,0,17,1,5,12,1,11,1,35.5,0,1.04,0.08,0.21,0.50,0.17,1.48,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Torres, Nash",Nash,Torres,,382,"Torres, Nash","TORRES, NASH",Manhattanville,Manhat,1174-3390,23,0,4,0,4,0,-1.000,1,1,0,0,1,9,0,4,12,68,0,0,20,4,6,0,0,0,0,4,0,0.00,0.00,0.26,0.00,0.17,0.17,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Gandarillas, Joe",Joe,Gandarillas,,382,"Gandarillas, Joe","GANDARILLAS, JOE",Manhattanville,Manhat,1174-3388,80,78,13,0,13,0,.180,543,101,199,10,4,92,0,20,35,270,0,0,478,33,121,24,2,21,3,232.5,0,2.49,0.13,1.51,0.30,0.25,2.91,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Rapp, Evan",Evan,Rapp,,382,"Rapp, Evan","RAPP, EVAN",Manhattanville,Manhat,1174-3508,-7,0,1,0,1,0,.000,-2,-1,-1,2,0,-6,0,0,0,0,0,0,-12,0,-12,0,0,0,0,-1,0,0.14,-0.29,1.71,0.00,0.00,0.14,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Simmons, Kyle",Kyle,Simmons,,382,"Simmons, Kyle","SIMMONS, KYLE",Manhattanville,Manhat,1174-3509,48,39,25,0,25,0,.204,411,73,157,3,7,46,0,14,30,138,0,0,8,2,100,30,7,26,4,188,0,3.27,0.06,2.08,0.63,0.29,3.92,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Lau, Justin",Justin,Lau,,382,"Lau, Justin","LAU, JUSTIN",Manhattanville,Manhat,1174-3510,82,76,3,0,3,0,.178,185,40,73,2,1,31,0,17,45,202,0,0,1,0,50,51,11,43,8,119.5,0,0.89,0.02,0.61,0.62,0.21,1.46,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Maiocco, Camillo",Camillo,Maiocco,,382,"Maiocco, Camillo","MAIOCCO, CAMILLO",Manhattanville,Manhat,1174-3552,28,18,8,0,8,0,.139,79,15,26,0,0,5,0,5,7,54,0,0,0,0,17,6,1,5,1,34.5,1,0.93,0.00,0.61,0.21,0.18,1.23,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Peterson, Luca",Luca,Peterson,,382,"Peterson, Luca","PETERSON, LUCA",Manhattanville,Manhat,1174-3643,25,10,7,0,7,0,.167,24,2,6,145,8,378,0,1,9,84,0,0,1,1,16,2,1,2,0,8,2,0.24,5.80,0.64,0.08,0.04,0.32,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Bonilla, Adrian",Adrian,Bonilla,,382,"Bonilla, Adrian","BONILLA, ADRIAN",Manhattanville,Manhat,1174-3644,73,69,15,0,15,0,.200,205,38,79,1,0,10,0,0,0,0,0,0,10,0,10,42,7,35,7,103.5,0,1.08,0.01,0.14,0.58,0.00,1.42,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Kolar, Trevor",Trevor,Kolar,,382,"Kolar, Trevor","KOLAR, TREVOR",Manhattanville,Manhat,1174-3642,75,75,14,0,14,0,.213,502,111,218,8,3,59,0,26,58,270,0,0,364,18,129,24,0,17,7,259.5,1,2.91,0.11,1.72,0.32,0.35,3.46,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Martinez, Fernando",Fernando,Martinez,,382,"Martinez, Fernando","MARTINEZ, FERNANDO",Manhattanville,Manhat,1174-3645,55,6,5,0,5,0,.109,55,11,17,5,1,22,0,12,13,182,0,0,30,0,34,0,0,0,0,29,0,0.31,0.09,0.62,0.00,0.22,0.53,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Manhattanville,"Rapp, Evie",Evie,Rapp,,382,"Rapp, Evie","RAPP, EVIE",Manhattanville,Manhat,0,58,0,1,0,1,0,.000,10,3,3,16,1,79,0,0,3,12,0,0,161,14,103,0,0,0,0,3,0,0.05,0.28,1.78,0.00,0.00,0.05,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Ruais, Connor",Connor,Ruais,,1340,"Ruais, Connor","RUAIS, CONNOR",St. Joseph's-Long Island,SJCLI,1327-1894,96,0,2,0,2,0,-.118,17,3,1,51,3,194,0,0,0,0,0,0,480,17,279,0,0,0,0,1,0,0.01,0.53,2.91,0.00,0.00,0.01,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Kohlmann, Robert",Robert,Kohlmann,,1340,"Kohlmann, Robert","KOHLMANN, ROBERT",St. Joseph's-Long Island,SJCLI,1327-1888,39,0,4,0,4,0,.000,0,0,0,1,0,6,0,0,8,124,0,0,2,0,17,0,0,0,0,0,0,0.00,0.03,0.44,0.00,0.00,0.00,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Saricola, Chris",Chris,Saricola,,1340,"Saricola, Chris","SARICOLA, CHRIS",St. Joseph's-Long Island,SJCLI,1327-1896,88,42,9,0,9,0,.246,448,43,153,2,1,64,0,12,7,288,0,0,101,4,256,27,1,22,5,181,0,1.74,0.02,2.91,0.31,0.14,2.06,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Meyer, Logan",Logan,Meyer,,1340,"Meyer, Logan","MEYER, LOGAN",St. Joseph's-Long Island,SJCLI,1327-1892,63,10,1,0,1,0,.182,384,60,130,4,0,41,0,5,24,201,0,0,273,9,117,11,0,8,3,142,1,2.06,0.06,1.86,0.17,0.08,2.25,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Ruggiero, Dominic",Dominic,Ruggiero,,1340,"Ruggiero, Dominic","RUGGIERO, DOMINIC",St. Joseph's-Long Island,SJCLI,1327-1895,91,54,12,0,12,0,.169,118,9,29,877,8,2264,0,17,20,423,0,0,4,0,183,28,1,22,6,63,0,0.32,9.64,2.01,0.31,0.19,0.69,,,,,,
