season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,fumble_stats_number,fumble_stats_number_lost,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Midwest Conference (MWC),mwc,Knox,"Bangura,Abdul",Abdul,Bangura,,337,"Bangura,Abdul","BANGURA,ABDUL",Knox,KNO,1097-3827,1,0,1,1A,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,10,10,3.0,.0,.0,2,2,8,0.5,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.774017969239368,11,96
2026-27,football,Midwest Conference (MWC),mwc,Cornell College,"Cotten,Hunter",Hunter,Cotten,,166,"Cotten,Hunter","COTTEN,HUNTER",Cornell College,COR,1043-5830,1,0,45,45,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,11,11,2.5,.0,.0,2,1,12,0.5,0,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.498715412423083,12,96
2026-27,football,Midwest Conference (MWC),mwc,Cornell College,"Navarro,Michael",Michael,Navarro,,166,"Navarro,Michael","NAVARRO,MICHAEL",Cornell College,COR,1043-5646,1,1,90,90,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,3,3,1.5,.0,.0,1,1,6,1.5,1,1,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.009796472239313,13,95
2026-27,football,Midwest Conference (MWC),mwc,Knox,"Liptac,Isaiah",Isaiah,Liptac,,337,"Liptac,Isaiah","LIPTAC,ISAIAH",Knox,KNO,1097-3699,1,1,22,22,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,8,13,13,1.5,.0,.0,0,3,6,0.5,0,1,3,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.948110298790516,14,95
2026-27,football,Midwest Conference (MWC),mwc,University of Chicago,"Domadia,Manav",Manav,Domadia,,137,"Domadia,Manav","DOMADIA,MANAV",University of Chicago,UC,1202-2221,1,1,54,54,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,1.0,.0,.0,1,0,5,1,1,0,5,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.137857036813969,15,95
2026-27,football,Midwest Conference (MWC),mwc,Grinnell,"Lopez,Andre",Andre,Lopez,,264,"Lopez,Andre","LOPEZ,ANDRE",Grinnell,GRN,1095-7774,1,1,23,23,0,RB,0,0,,,,,,,,,,,,,,,0,0,0,0,.0,25,161,162,1,1,26,6.4,161.0,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8175247133513706,16,95
2026-27,football,Midwest Conference (MWC),mwc,Cornell College,"Kuker,Braxton",Braxton,Kuker,,166,"Kuker,Braxton","KUKER,BRAXTON",Cornell College,COR,1043-5853,1,0,97,97,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,5,5,1.0,.0,.0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6453456181120196,17,95
2026-27,football,Midwest Conference (MWC),mwc,Beloit,"Snow,Michael",Michael,Snow,,53,"Snow,Michael","SNOW,MICHAEL",Beloit,BEL,1093-1287,1,1,25,25,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,5,11,11,2.0,.0,.0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6051119530024853,18,95
2026-27,football,Midwest Conference (MWC),mwc,Monmouth (IL),"Newman,Chase",Chase,Newman,,438,"Newman,Chase","NEWMAN,CHASE",Monmouth (IL),Mon,1100-5408,1,1,6,6,0,WR,0,0,,,,,,,,,,,,,,,4,74,2,29,18.5,,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5333590374033217,19,94
2026-27,football,Midwest Conference (MWC),mwc,Monmouth (IL),"Hardnett,Jeremiah",Jeremiah,Hardnett,,438,"Hardnett,Jeremiah","HARDNETT,JEREMIAH",Monmouth (IL),Mon,1100-5182,1,1,94,94,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,1.5,.0,.0,1,1,12,1,1,0,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3914955696349978,20,94
