season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Claremont-Mudd-Scripps,Mazzone And,Mazzone,And,,142,Mazzone And,0,0CMS,43,43,,,150,46,75,51,12,1,18,38,17,6,25,5,1,1,0,1,0,0,0,1,0,2,0,0.610,143,195,2,.500,.500,.953,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,2,1,19,29,"20,52",0.38,20,52,"42,81",0.52,42,81,"20,46",0.43,20,46,"22,33",0.67,22,33,0,0,0,0,"16,30","6,12","55,90",95,0,0,0,0,0,0,0,5,25,0,,Claremont-Mudd-Scripps,CMS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.109344942110248,1,99,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,J. Ng,J.,Ng,,549,J. Ng,0,0PP,52,52,,,187,70,69,66,14,3,15,55,6,14,19,5,13,3,0,8,0,0,0,2,0,5,0,0.523,134,264,16,.813,.369,.717,121,4,0,0,0,0,0,0,0,125,1.000,0,.000,,7,6,32,69,"20,54",0.37,20,54,"37,106",0.35,37,106,"23,59",0.39,23,59,"6,27",0.22,6,27,0,0,0,0,"32,56","16,14","85,142",132,0,0,0,0,0,0,0,15,44,0,,Pomona-Pitzer,PP,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8262599510781,2,99,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Claremont-Mudd-Scripps,Alex Henderson,Alex,Henderson,,142,Alex Henderson,0,0CMS,51,51,,,203,56,79,67,18,1,16,24,1,9,46,10,2,1,0,5,0,0,0,0,0,1,0,0.465,147,241,3,.667,.389,.724,404,16,9,0,0,0,0,35,0,429,.979,0,.000,,4,2,30,51,"26,68",0.38,26,68,"42,106",0.40,42,106,"28,71",0.39,28,71,"19,39",0.49,19,39,0,0,0,0,"21,49","15,29","65,120",169,0,0,0,0,0,0,0,13,32,0,,Claremont-Mudd-Scripps,CMS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66007607903915,3,99,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,J. Gold,J.,Gold,,549,J. Gold,0,0PP,46,46,,,161,55,57,59,15,2,15,39,1,20,31,10,13,1,0,2,0,0,0,1,0,1,0,0.523,121,222,14,.929,.354,.752,79,41,2,0,0,0,0,15,0,122,.984,0,.000,,0,4,22,52,"15,46",0.33,15,46,"31,92",0.34,31,92,"18,58",0.31,18,58,"4,17",0.24,4,17,0,0,0,0,"17,35","13,19","75,123",94,0,0,0,3,0,0,0,15,36,0,,Pomona-Pitzer,PP,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.40685792448612,4,98,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,C. Berry,C.,Berry,,549,C. Berry,0,0PP,52,52,,,190,50,61,66,17,0,14,22,0,25,38,12,4,2,0,11,0,0,0,0,0,3,0,0.435,120,248,6,.667,.321,.632,32,82,15,0,0,0,0,5,0,129,.884,0,.000,,0,2,26,75,"15,52",0.29,15,52,"37,112",0.33,37,112,"26,73",0.36,26,73,"10,30",0.33,10,30,0,0,0,0,"18,49","27,31","73,139",375,0,0,0,33,0,0,0,23,44,0,,Pomona-Pitzer,PP,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.713991544618885,5,98,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Lucas Danielewicz,Lucas,Danielewicz,,105,Lucas Danielewicz,0,0CAL LUTH,41,41,,,141,38,60,40,20,2,2,22,2,18,10,2,3,3,0,3,0,0,0,2,0,3,0,0.543,90,184,6,.500,.426,.638,50,3,2,0,0,0,0,0,0,55,.964,0,.000,,6,5,24,45,"21,54",0.39,21,54,"37,89",0.42,37,89,"24,62",0.39,24,62,"6,13",0.46,6,13,0,0,0,0,"29,41","11,18","65,103",215,0,0,0,0,0,0,0,17,35,0,,California Lutheran,CAL LUTH,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.478355650612963,6,98,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Whittier,Joe Plaskett,Joe,Plaskett,,781,Joe Plaskett,0,0WHITTIER,41,41,,,157,34,56,46,14,4,10,17,2,4,35,7,5,2,0,0,0,0,0,2,0,8,0,0.433,108,178,7,.714,.357,.688,94,8,2,0,0,0,0,3,0,104,.981,0,.000,,11,4,28,27,"21,50",0.42,21,50,"36,98",0.37,36,98,"28,71",0.39,28,71,"2,5",0.40,2,5,0,0,0,0,"18,39","9,20","53,103",95,0,0,0,0,0,0,0,9,40,0,,Whittier,WHITTIER,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.452468617740077,7,97,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Mark Kirkland,Mark,Kirkland,,567,Mark Kirkland,0,0REDLANDS,43,43,,,156,36,55,51,13,1,5,26,6,12,17,4,7,1,0,4,0,0,0,1,0,4,0,0.470,85,198,8,.875,.353,.545,328,18,7,0,0,0,0,26,0,353,.980,0,.000,,3,7,43,42,"25,64",0.39,25,64,"39,99",0.39,39,99,"26,65",0.40,26,65,"4,17",0.24,4,17,0,0,0,0,"17,35","13,16","70,115",136,0,0,0,0,0,0,0,15,41,0,,Redlands,REDLANDS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.821255477787728,8,97,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,La Verne,Jason Givens,Jason,Givens,,341,Jason Givens,0,0ULV,45,33,,,126,39,49,39,10,1,4,14,0,7,14,4,3,1,5,3,0,0,0,3,0,3,0,0.467,73,155,4,.750,.389,.579,50,22,8,0,0,0,0,6,0,80,.900,0,.000,,4,4,40,29,"18,46",0.39,18,46,"33,72",0.46,33,72,"24,48",0.50,24,48,"0,2",0,0,2,0,0,0,0,"12,28","11,12","53,88",3,0,0,0,172,0,0,0,13,38,0,,La Verne,ULV,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.628926779645279,9,97,batting
2025-26,baseball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Claremont-Mudd-Scripps,Martin Dill,Martin,Dill,,142,Martin Dill,0,0CMS,51,51,,,219,53,73,58,17,6,7,25,1,5,38,13,5,0,0,5,0,0,0,2,0,3,0,0.406,123,254,5,1.000,.333,.562,80,168,8,0,0,0,0,32,0,256,.969,0,.000,,7,7,40,70,"21,65",0.32,21,65,"43,117",0.37,43,117,"31,71",0.44,31,71,"8,40",0.20,8,40,0,0,0,0,"20,53","15,22","69,133",209,0,0,0,11,0,0,0,19,37,0,,Claremont-Mudd-Scripps,CMS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.620851086809254,10,96,batting
