rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,mwc,Midwest Conference (MWC),2025-26,Lake Forest,"Rodriguez,Cristian",0,C,26,28.53846153846154,20.58,9.0,2.27,0.96,0.81,1.7692307692307692,9.191955228891697,2.9805700269945468,3.244906948171817,0.9658410264259336,0.48327037816231216,1.3216901674046269,0.7739858501241119
2,mwc,Midwest Conference (MWC),2025-26,Monmouth (IL),"Brown,Zay",0,F,26,32.96153846153846,19.81,9.65,2.0,0.81,1.15,2.076923076923077,8.786477422794754,2.802909169952392,3.6176884775858684,0.6823876817139749,0.14654493200015847,2.18605896934247,1.244620224114042
3,mwc,Midwest Conference (MWC),2025-26,Lake Forest,"Forowycz,Alex",0,G,26,30.153846153846153,20.42,4.08,2.62,0.77,0.54,2.269230769230769,6.231871819226521,2.9436534852715024,0.4232375255300758,1.3332805473488432,0.05675147969025068,0.6352796482186925,1.5387667078577476
4,mwc,Midwest Conference (MWC),2025-26,Grinnell,"Rosen,Zach",0,G,25,17.8,11.64,4.04,5.16,2.32,0.0,2.0,5.413597531255096,0.9178582582193939,0.40029712371998033,3.9998416420465293,3.536247756699174,-0.7375413901531762,1.1269616306165593
5,mwc,Midwest Conference (MWC),2025-26,Lawrence,"Schoenecker,Casey",0,F,25,29.72,13.12,7.32,2.52,0.72,1.4,2.24,5.1632898785091665,1.2593362691575622,2.281410072147808,1.2282978270851546,-0.05549033569713407,2.8216242648850014,1.4940564423287048
6,mwc,Midwest Conference (MWC),2025-26,Grinnell,"Copes,Tyler",0,,25,16.04,8.68,5.32,0.6,0.88,2.6,0.76,4.416484674217985,0.2349022363430566,1.1343899816430352,-0.7873704019776631,0.30368347354249686,5.872337683489154,-0.7696948965628573
7,mwc,Midwest Conference (MWC),2025-26,Illinois Col.,"Lenhardt,Ty",0,G,26,35.23076923076923,18.65,3.31,1.65,0.77,0.12,2.1153846153846154,4.047517649962908,2.535264242460314,-0.018365209314261787,0.3149481607910653,0.05675147969025068,-0.432470048292761,1.303449520862783
8,mwc,Midwest Conference (MWC),2025-26,Grinnell,"Garcia,Gabe",0,G,25,15.64,15.12,2.56,4.32,1.32,0.04,2.72,3.855411815836012,1.720793040695628,-0.44849774325355163,3.1179867918315467,1.2914114489514819,-0.6358509428663712,2.228246065752995
9,mwc,Midwest Conference (MWC),2025-26,Knox,"Stewart,Josh",0,G,25,30.32,13.28,7.48,2.96,1.12,0.28,2.96,3.7689763168608055,1.2962528108806075,2.37317167938819,1.6902217962453836,0.8424441874019434,-0.025708259145540563,2.59534087746514
10,mwc,Midwest Conference (MWC),2025-26,Beloit,"Carter,Anthony",0,G,25,33.48,14.32,3.56,2.36,1.16,0.08,1.6,3.689086124346687,1.536210332080402,0.1250123019988348,1.060325474663253,0.9322376397118507,-0.534160495579566,0.5151369444296509
11,mwc,Midwest Conference (MWC),2025-26,Lawrence,"Campbell,CJ",0,G,25,26.12,13.68,5.24,1.56,0.8,0.6,1.64,3.6882697673771716,1.3885441651882207,1.0885091780228442,0.22046371255374586,0.12409656892268152,0.7878153191489,0.5763194130483414
12,mwc,Midwest Conference (MWC),2025-26,Monmouth (IL),"Thomas,Cameron",0,G,27,30.555555555555557,16.07,3.04,1.11,0.89,0.44,1.5555555555555556,3.578217543553791,1.9399850071762093,-0.17321292153240614,-0.25195852863285195,0.3261318366199738,0.38105353000167974,0.4471564237422164
13,mwc,Midwest Conference (MWC),2025-26,Monmouth (IL),"Taylor,Kyle",0,G,27,32.44444444444444,11.22,3.96,4.33,1.3,0.11,2.111111111111111,3.4367163266361103,0.8209523361964002,0.35441632009978935,3.1284850638579154,1.2465147227965279,-0.4578926601144623,1.2969129323351452
14,mwc,Midwest Conference (MWC),2025-26,Knox,"Wright,Russell",0,F,25,28.52,11.8,6.88,1.4,0.64,1.04,2.0,3.300736703543056,0.9547747999424393,2.0290656522367576,0.05249136013184426,-0.2350772403169494,1.906410239303756,1.1269616306165593
15,mwc,Midwest Conference (MWC),2025-26,Ripon,"Bunders,Seth",0,G,25,31.12,11.52,4.12,2.84,1.72,0.28,2.08,3.2699936275119654,0.8901708519271098,0.44617792734017125,1.5642425319289575,2.1893459720505586,-0.025708259145540563,1.2493265678539411
16,mwc,Midwest Conference (MWC),2025-26,Knox,"Campbell,Noah",0,G,25,26.32,13.24,4.24,2.88,1.72,0.0,2.76,2.9532711413144592,1.2870236754498463,0.5149991327704577,1.6062356200344328,2.1893459720505586,-0.7375413901531762,2.289428534371685
17,mwc,Midwest Conference (MWC),2025-26,Illinois Col.,"Doss,Seth",0,F,26,24.807692307692307,10.69,6.35,1.35,0.65,0.73,1.5384615384615383,2.72093845534516,0.6986662917388126,1.725105328252993,2.3310846644905774e-16,-0.21262887723947246,1.1183092728310164,0.42101006963166454
18,mwc,Midwest Conference (MWC),2025-26,Lake Forest,"Marchand,Coltrane",0,G,24,24.166666666666668,8.96,7.13,2.63,1.13,0.46,2.125,2.654237932786595,0.29950618435838605,2.1724431635498545,1.3437788193752118,0.8648925504794198,0.4318987536450823,1.3181568450499683
