season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code,composite_score,global_rank,rating
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Elmasri,Sameera",Sameera,Elmasri,F,322,"Elmasri,Sameera","ELMASRI,SAMEERA",Johns Hopkins,JHU,667-8024,3,0,01,0,6,12,0,4,2,2,14,1,1,2,33,1,6,7,2,0,3,0,0,3,0.50,0.00,1.00,4.67,2.33,0.67,0.33,0.33,01,165.0,1,99
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Diallo,Kadidiatou",Kadidiatou,Diallo,G,322,"Diallo,Kadidiatou","DIALLO,KADIDIATOU",Johns Hopkins,JHU,667-6270,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02,164.0,2,99
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Knudson,Lauren",Lauren,Knudson,G,322,"Knudson,Lauren","KNUDSON,LAUREN",Johns Hopkins,JHU,667-5822,29,28,03,0,106,258,54,156,29,23,289,6,28,31,629,6,46,52,28,0,33,0,0,29,0.41,0.35,0.79,9.97,1.79,1.07,0.97,0.21,03,163.0,3,99
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Feldman,Macie",Macie,Feldman,G,322,"Feldman,Macie","FELDMAN,MACIE",Johns Hopkins,JHU,667-5625,29,29,04,0,86,264,7,43,68,35,214,13,33,119,750,71,189,260,39,0,76,0,0,29,0.33,0.16,0.51,7.38,8.97,4.10,1.14,0.45,04,162.0,4,98
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Theodossakos,Stephanie",Stephanie,Theodossakos,F,322,"Theodossakos,Stephanie","THEODOSSAKOS,STEPHANIE",Johns Hopkins,JHU,667-8025,29,0,10,0,30,89,11,39,35,19,90,20,26,19,408,36,56,92,27,0,19,0,0,29,0.34,0.28,0.54,3.10,3.17,0.66,0.90,0.69,10,161.0,5,98
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Williamson,Faith",Faith,Williamson,G,322,"Williamson,Faith","WILLIAMSON,FAITH",Johns Hopkins,JHU,667-8026,29,0,11,0,82,216,25,67,85,69,258,2,31,34,501,11,37,48,24,0,46,0,0,29,0.38,0.37,0.81,8.90,1.66,1.17,1.07,0.07,11,160.0,6,98
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Soltes,Grace",Grace,Soltes,F,322,"Soltes,Grace","SOLTES,GRACE",Johns Hopkins,JHU,667-5626,28,27,14,0,50,141,13,69,15,10,123,21,20,13,537,45,100,145,28,0,33,0,0,28,0.35,0.19,0.67,4.39,5.18,0.46,0.71,0.75,14,159.0,7,97
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Goldstein,Jocelyn",Jocelyn,Goldstein,C,322,"Goldstein,Jocelyn","GOLDSTEIN,JOCELYN",Johns Hopkins,JHU,667-8027,22,20,15,0,87,160,1,4,47,29,204,26,11,15,412,63,56,119,39,0,29,1,0,22,0.54,0.25,0.62,9.27,5.41,0.68,0.50,1.18,15,158.0,8,97
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"Mazza,Aria",Aria,Mazza,G,322,"Mazza,Aria","MAZZA,ARIA",Johns Hopkins,JHU,667-8028,13,0,20,0,16,44,6,19,6,4,42,0,3,10,91,4,29,33,4,0,7,0,0,13,0.36,0.32,0.67,3.23,2.54,0.77,0.23,0.00,20,157.0,9,97
2025-26,wbball,Centennial Conference,centennial_conference,Johns Hopkins,"ODonnell,Quinn",Quinn,ODonnell,G,322,"ODonnell,Quinn","ODONNELL,QUINN",Johns Hopkins,JHU,667-6272,13,0,21,0,11,40,7,21,1,1,30,0,6,8,87,7,2,9,8,0,12,0,0,13,0.28,0.33,1.00,2.31,0.69,0.62,0.46,0.00,21,156.0,10,96
