season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,fumble_stats_number,fumble_stats_number_lost,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Davis,Pryce",Pryce,Davis,,8567,"Davis,Pryce","DAVIS,PRYCE",Mount St. Joseph,MSJ,1037-2963,1,1,5,5D,0,0,DB,0,,,,,,,,67,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67,0,67,67.0,,,,,4.966066588558262,11,96
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Rachel,Royce",Royce,Rachel,,8567,"Rachel,Royce","RACHEL,ROYCE",Mount St. Joseph,MSJ,1037-3627,1,1,10,1R,0,0,DL,0,,,,,,,,0,1,2,3,3,1.5,.0,.0,1,1,3,1.5,1,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.752575955854004,12,96
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Manchester,"Garner,Talen",Talen,Garner,,1192,"Garner,Talen","GARNER,TALEN",Manchester,MAN,1036-2836,1,1,54,54,0,0,DL,0,,,,,,,,0,1,4,5,5,2.0,.0,.0,1,2,15,1,1,0,14,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6416925666368085,13,95
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Wright,Owen",Owen,Wright,,2694,"Wright,Owen","WRIGHT,OWEN",Franklin,FRA,1034-2379,1,1,3,3,0,WR,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7,109,3,31,15.6,,,,,,,,,,,,,,,0,3,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9052610867932787,14,95
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Blevins,Brady",Brady,Blevins,,8567,"Blevins,Brady","BLEVINS,BRADY",Mount St. Joseph,MSJ,1037-2955,1,1,8,8,0,0,DB,0,,,,,,,,0,4,0,4,4,1.0,.0,.0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8275819073794795,15,95
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Fleck,William",William,Fleck,,585,"Fleck,William","FLECK,WILLIAM",Rose-Hulman,RHI,1038-5023,1,1,43,43,0,0,DL,0,,,,,,,,0,2,0,2,2,2.0,.0,.0,2,0,7,1,1,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.761322081656797,16,94
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Zanetell,Brock",Brock,Zanetell,,585,"Zanetell,Brock","ZANETELL,BROCK",Rose-Hulman,RHI,1038-5398,1,1,3,3,0,QB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,16,53,71,18,1,13,3.3,53.0,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,17,3,37,2,259,0,47,27,117.8,5.51,9.59,259.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.586909639256186,17,94
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Julian,Logan",Logan,Julian,,8567,"Julian,Logan","JULIAN,LOGAN",Mount St. Joseph,MSJ,1037-2983,1,1,34,34,0,0,LB,0,,,,,,,,0,3,4,7,7,1.0,.0,.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6291142578261377,18,94
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Manchester,"Gaines,Dennis",Dennis,Gaines,,1192,"Gaines,Dennis","GAINES,DENNIS",Manchester,MAN,1036-3003,1,1,31,31,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,108,111,3,0,31,5.7,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.559644740539382,19,94
2026-27,football,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"McClaude,Jadyn",Jadyn,McClaude,,8567,"McClaude,Jadyn","MCCLAUDE,JADYN",Mount St. Joseph,MSJ,1037-2991,1,0,15,1J,0,0,DL,0,,,,,,,,0,1,3,4,4,1.5,.0,.0,1,1,6,0.5,0,1,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.528780221944794,20,94
