season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,Logan Sawyer,Logan,Sawyer,,30094,Logan Sawyer,0,0BCB,23,23,,,80,24,33,7,6,0,1,12,0,8,8,5,7,2,2,1,0,0,0,0,0,0,0,0.525,42,103,9,.778,.413,.525,39,28,6,0,0,0,0,2,0,73,.918,0,.000,,2,3,12,28,"12,33",0.36,12,33,"14,37",0.38,14,37,"5,20",0.25,5,20,"4,7",0.57,4,7,"6,12",0.50,6,12,"18,29","3,6","26,47",14,0,0,0,0,0,0,0,8,25,0,,Brevard,BCB,614-1377,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,115.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Luke Neubauer,Luke,Neubauer,,263,Luke Neubauer,0,0GREENSBO,8,6,,,22,3,10,7,1,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.556,11,27,0,.000,.455,.500,13,10,2,0,0,0,0,2,0,25,.920,0,.000,,0,0,4,5,"3,8",0.38,3,8,"5,10",0.50,5,10,"5,8",0.63,5,8,0,0,0,0,0,0,0,0,"2,5","2,3","8,12",70,0,0,0,"0,1",0,0,1,1,4,0,,Greensboro,GREENSBO,1177-4715,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,114.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Trevor Testerman,Trevor,Testerman,,263,Trevor Testerman,0,0GREENSBO,24,24,,,89,29,42,41,7,0,11,11,1,10,15,3,17,1,2,1,0,0,0,0,1,0,0,0.568,82,113,18,.944,.472,.921,69,3,1,0,0,0,0,0,0,73,.986,0,.000,,1,1,10,24,"8,26",0.31,8,26,"29,58",0.50,29,58,"20,40",0.50,20,40,"2,8",0.25,2,8,"9,13",0.69,9,13,"11,15","9,11","41,69",122,0,0,0,0,0,0,0,15,24,0,,Greensboro,GREENSBO,1177-4727,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,113.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Patrick Sido,Patrick,Sido,,389,Patrick Sido,0,0MARY BAL,25,25,,,94,24,38,40,14,1,7,13,0,2,25,3,3,1,1,2,0,0,0,1,0,1,0,0.477,75,112,4,.750,.404,.798,56,0,5,0,0,0,0,0,0,61,.918,0,.000,,3,3,12,19,"16,35",0.46,16,35,"26,55",0.47,26,55,"21,36",0.58,21,36,"3,11",0.27,3,11,0,0,0,0,"4,11","5,9","41,66",156,0,0,0,0,0,0,0,10,9,0,,Mary Baldwin,MARY BAL,51-1316,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,112.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,William Peace,Gavin Turner,Gavin,Turner,,17094,Gavin Turner,0,0WILLIAM,28,28,,,105,26,45,26,7,0,3,19,1,3,8,2,3,0,0,0,0,0,0,2,0,4,0,0.528,61,127,3,1.000,.429,.581,18,62,4,0,0,0,0,7,0,84,.952,0,.000,,3,2,28,21,"16,42",0.38,16,42,"26,61",0.43,26,61,"23,48",0.48,23,48,"5,10",0.50,5,10,0,0,0,0,"8,16","6,10","40,69",3,0,0,0,0,0,0,0,4,23,0,,William Peace,WILLIAM,1183-1721,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,111.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,Nico Bartolotti,Nico,Bartolotti,,30094,Nico Bartolotti,0,0BCB,25,25,,,95,24,39,26,8,0,1,13,0,2,5,2,4,5,1,2,0,0,0,1,2,1,0,0.482,50,113,9,.444,.411,.526,32,44,11,0,0,0,0,7,0,87,.874,0,.000,,3,2,29,23,"14,29",0.48,14,29,"22,49",0.45,22,49,"17,33",0.52,17,33,"6,12",0.50,6,12,"3,12",0.25,3,12,"6,17","9,11","42,61",99,0,0,0,0,0,0,0,20,8,0,,Brevard,BCB,614-1810,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,110.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,N.C. Wesleyan,Banks Hartman,Banks,Hartman,,491,Banks Hartman,0,0N.C. WES,27,27,,,92,27,38,23,10,0,1,25,1,4,9,6,4,0,1,0,0,0,0,3,0,4,0,0.554,51,122,4,1.000,.413,.554,238,19,4,0,0,0,0,18,0,261,.985,0,.000,,1,4,26,19,"13,39",0.33,13,39,"23,55",0.42,23,55,"16,39",0.41,16,39,"7,14",0.50,7,14,0,0,0,0,"17,23","5,11","37,61",51,0,0,0,0,0,0,0,10,20,0,,N.C. Wesleyan,N.C. WES,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,109.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Jacob Severson,Jacob,Severson,,263,Jacob Severson,0,0GREENSBO,27,27,,,112,31,47,18,5,0,1,13,0,7,14,3,6,1,1,1,0,0,0,1,1,4,0,0.504,55,134,7,.857,.420,.491,72,0,2,0,0,0,0,0,0,74,.973,0,.000,,3,6,27,21,"11,32",0.34,11,32,"18,48",0.38,18,48,"12,34",0.35,12,34,"6,11",0.55,6,11,"7,14",0.50,7,14,"25,47","5,7","36,59",97,0,0,0,0,0,0,0,10,30,0,,Greensboro,GREENSBO,1177-4725,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,108.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Brayden Sands,Brayden,Sands,,263,Brayden Sands,0,0GREENSBO,25,24,,,87,26,36,15,5,0,1,14,0,5,12,4,3,0,0,3,0,0,0,0,0,0,0,0.505,44,109,3,1.000,.414,.506,18,43,12,0,0,0,0,6,0,73,.836,0,.000,,6,8,19,19,"12,29",0.41,12,29,"22,55",0.40,22,55,"13,36",0.36,13,36,"3,7",0.43,3,7,"7,14",0.50,7,14,"8,17","6,11","38,62",22,0,0,0,0,0,0,0,20,22,0,,Greensboro,GREENSBO,1177-4719,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,107.0,batting,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Methodist,Austin Rinzel,Austin,Rinzel,,412,Austin Rinzel,0,0MUBB,28,28,,,119,44,60,14,5,3,2,15,0,1,14,4,13,4,6,0,0,0,0,0,2,2,0,0.563,77,141,17,.765,.504,.647,92,1,0,0,0,0,0,1,0,93,1.000,0,.000,,11,9,29,15,"12,25",0.48,12,25,"25,51",0.49,25,51,"15,34",0.44,15,34,"7,16",0.44,7,16,0,0,0,0,"26,41","7,13","43,63",38,0,0,0,0,0,0,0,11,17,0,,Methodist,MUBB,1180-6495,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,106.0,batting,,
