season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,global_rank,rating
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Ohio Northern,"Beachy, Sarah",Sarah,Beachy,,517,"Beachy, Sarah","BEACHY,SARAH",Ohio Northern,ONU,0,2,2,10,0,10,0,0,1,1,2,0,1,0,0,.50,.50,1.00,.500,.000,0,0,0,0,0,1,1,.500,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.5969828650450735,11,96
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Capital,"Buckerfield, Elise",Elise,Buckerfield,,117,"Buckerfield, Elise","BUCKERFIELD,ELISE",Capital,CAP,1275-3165,2,2,22,0,22,0,0,1,1,2,0,1,0,0,.50,.50,1.00,.500,.000,0,1,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.5969828650450735,12,96
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Mount Union,"Busch, Eleanore",Eleanore,Busch,,452,"Busch, Eleanore","BUSCH,ELEANORE",Mount Union,UMU,1279-4834,2,2,17,0,17,0,0,1,1,2,0,1,0,0,.50,.50,1.00,.500,.000,0,1,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,169:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.5969828650450735,13,95
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Wilmington,"Carlier, Lilly",Lilly,Carlier,,1461,"Carlier, Lilly","CARLIER,LILLY",Wilmington,WIL,1286-3790,2,2,25,0,25,0,0,1,2,2,0,1,0,0,1.00,.50,1.00,.500,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,109:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.5969828650450735,14,95
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Wilmington,"Daniel, Leah",Leah,Daniel,,1461,"Daniel, Leah","DANIEL,LEAH",Wilmington,WIL,1286-3791,1,0,23,0,23,0,0,1,1,2,0,1,0,0,1.00,1.00,2.00,1.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,18:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.5969828650450735,15,95
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Muskingum,"Garcia, Destiny",Destiny,Garcia,,455,"Garcia, Destiny","GARCIA,DESTINY",Muskingum,MUSK,0,1,0,25,0,25,0,0,1,1,2,0,1,0,0,1.00,1.00,2.00,1.000,.000,0,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,50:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.5969828650450735,16,94
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Muskingum,"Holmes, Kaylie",Kaylie,Holmes,,455,"Holmes, Kaylie","HOLMES,KAYLIE",Muskingum,MUSK,0,2,0,17,0,17,0,0,1,1,2,0,1,0,0,.50,.50,1.00,.500,.000,0,1,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,41:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.5969828650450735,17,94
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Mount Union,"Thiel, Simone",Simone,Thiel,,452,"Thiel, Simone","THIEL,SIMONE",Mount Union,UMU,1279-4838,2,2,24,0,24,0,0,1,3,2,0,1,0,0,1.50,.50,1.00,.500,.000,0,0,0,0,1,0,1,.500,1,0,0,0,.50,.00,.00,.00,0,,125:00,0,.00,.00,,,,,,,,,,,,,,,,,,6.5969828650450735,18,94
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Marietta,"Agliolo, Francesca",Francesca,Agliolo,,385,"Agliolo, Francesca","AGLIOLO,FRANCESCA",Marietta,MAR,1278-3997,2,2,00,0,00,0,0,0,0,1,1,0,0,0,.00,.00,.50,.000,.500,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,,13,0,1,1,1,.900,0.50,9,1,180:00,2,2,.50,0.900,.500,4.50,5.808955245251701,19,94
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Sophie Kirsten,Sophie,Kirsten,,46,Sophie Kirsten,"KIRSTEN,SOPHIE",Baldwin Wallace,BW,1273-4790,3,3,20,0,20,0,0,2,5,1,1,0,0,0,1.67,.67,.33,.000,.333,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,249:00,0,.00,.00,,,,,,,,,,,,,,,,,,5.005586955835031,20,94
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Heidelberg,"Adams, Morgan",Morgan,Adams,,278,"Adams, Morgan","ADAMS,MORGAN",Heidelberg,HEI,1276-2047,2,2,23,0,23,0,0,1,3,1,1,0,0,0,1.50,.50,.50,.000,.500,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,133:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.546443743960976,21,94
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Otterbein,"Anderson, Sela",Sela,Anderson,,531,"Anderson, Sela","ANDERSON,SELA",Otterbein,OTT,1285-4247,2,1,13,0,13,0,0,1,1,1,1,0,0,0,.50,.50,.50,.000,.500,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,105:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.546443743960976,22,93
