season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Pecka, Aden",Aden,Pecka,,1450,"Pecka, Aden",0,0WEST,20,19,,,73,19,29,10,2,1,0,6,0,6,13,4,16,2,0,1,0,0,0,0,0,0,0,0.477,33,86,18,.889,.397,.452,59,0,1,0,0,0,0,0,0,60,.983,0,.000,,3,1,18,11,"12,28",0.43,12,28,"17,36",0.47,17,36,"6,20",0.30,6,20,"2,4",0.50,2,4,"2,9",0.22,2,9,"9,19","5,6","24,40",3,0,0,0,11,0,0,0,8,19,0,,Westminster,WEST,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.406985497083169,23,88,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,Dalton Groves,Dalton,Groves,,759,Dalton Groves,0,0WU,19,18,,,60,10,20,13,8,0,2,3,0,1,4,1,0,2,1,2,0,0,0,0,1,2,0,0.364,34,67,2,.000,.333,.567,138,17,0,2,0,21,10,0,0,155,1.000,31,.677,,1,0,20,18,"4,16",0.25,4,16,"7,27",0.26,7,27,"4,14",0.29,4,14,"5,10",0.50,5,10,0,0,0,0,"8,17","5,5","12,31",2,0,0,0,"0,1",0,0,1,6,13,0,,Webster,WU,1259-2289,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.291162724107238,24,87,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,Jarius Edwards,Jarius,Edwards,,22989,Jarius Edwards,0,0LYON,17,17,,,59,14,18,12,3,3,1,6,0,7,15,5,8,0,0,0,0,0,0,0,0,1,0,0.431,30,72,8,1.000,.305,.508,29,36,6,0,0,0,0,11,0,71,.915,0,.000,,2,2,11,12,"5,16",0.31,5,16,"10,29",0.34,10,29,"5,17",0.29,5,17,"5,7",0.71,5,7,0,0,0,0,"8,21","3,4","20,34",1,0,0,0,0,0,0,0,2,10,0,,Lyon,LYON,783-5398,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5528206781601541,25,87,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,Joseph Guzman,Joseph,Guzman,,1111,Joseph Guzman,0,0GREENVIL,18,18,,,74,15,26,13,6,1,0,9,0,2,9,2,3,4,0,2,0,0,0,3,0,4,0,0.425,34,87,7,.429,.351,.459,21,44,8,0,0,0,0,6,0,73,.890,0,.000,,3,1,23,15,"8,22",0.36,8,22,"15,34",0.44,15,34,"10,22",0.45,10,22,"2,7",0.29,2,7,0,0,0,0,"11,28","5,8","24,39",22,0,0,0,0,0,0,0,7,13,0,,Greenville,GREENVIL,1227-2864,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3101608726347975,26,86,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Bohler, Donovan",Donovan,Bohler,,1450,"Bohler, Donovan",0,0WEST,15,11,,,36,16,11,10,2,1,0,14,0,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0.510,15,51,4,1.000,.306,.417,15,0,0,0,0,0,0,0,0,15,1.000,0,.000,,1,1,15,4,"4,14",0.29,4,14,"9,26",0.35,9,26,"8,24",0.33,8,24,"2,4",0.50,2,4,"0,2",0,0,2,"3,6","6,7","22,30",77,0,0,0,1,0,0,0,9,11,0,,Westminster,WEST,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0449843242884,27,85,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Montgomery, Brett",Brett,Montgomery,,1450,"Montgomery, Brett",0,0WEST,20,18,,,60,14,16,14,8,2,0,9,0,15,13,4,3,0,0,2,0,0,0,1,1,1,0,0.465,28,86,3,1.000,.267,.467,8,8,1,0,0,0,0,1,0,17,.941,0,.000,,0,1,9,24,"7,25",0.28,7,25,"7,32",0.22,7,32,"4,21",0.19,4,21,"0,0",0,0,0,"2,6",0.33,2,6,"6,13","3,10","18,41",54,0,0,0,1,0,0,0,8,23,0,,Westminster,WEST,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7563751434854434,28,84,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Spalding,Jesse Walter,Jesse,Walter,,23260,Jesse Walter,0,0SPALDING,15,15,,,57,15,19,13,2,0,1,4,0,2,8,4,1,1,2,1,0,0,0,1,0,2,0,0.391,24,66,2,.500,.333,.421,147,13,2,4,0,14,9,1,0,162,.988,23,.609,,4,4,16,12,"4,20",0.20,4,20,"11,31",0.35,11,31,"9,25",0.36,9,25,"0,4",0,0,4,0,0,0,0,"7,13","3,7","21,36",7,0,0,0,0,0,0,0,7,17,0,,Spalding,SPALDING,926-1372,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7093692489963739,29,84,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,Dylan Smith,Dylan,Smith,,218,Dylan Smith,0,0EUREKA,11,9,,,31,8,8,6,3,0,3,3,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0.324,20,34,0,.000,.258,.645,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,2,0,0,9,"4,13",0.31,4,13,"3,16",0.19,3,16,"2,10",0.20,2,10,"2,7",0.29,2,7,0,0,0,0,"1,4","0,1","7,19",2,0,0,0,2,0,0,0,1,10,0,,Eureka,EUREKA,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5834051145580426,30,83,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,Bryce Hayes,Bryce,Hayes,,1111,Bryce Hayes,0,0GREENVIL,20,20,,,82,13,21,14,6,0,4,4,0,2,25,13,0,0,0,1,0,0,0,1,0,2,0,0.303,39,89,0,.000,.256,.476,12,0,1,0,0,0,0,0,0,13,.923,0,.000,,1,6,22,14,"4,23",0.17,4,23,"6,43",0.14,6,43,"3,29",0.10,3,29,"2,6",0.33,2,6,0,0,0,0,"11,21","7,10","17,45",18,0,0,0,0,0,0,0,7,28,0,,Greenville,GREENVIL,1227-2885,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5156419006088887,31,82,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,Reid Hietpas,Reid,Hietpas,,759,Reid Hietpas,0,0WU,15,14,,,40,8,14,4,4,0,0,6,0,4,8,2,4,0,1,2,0,0,0,0,2,0,0,0.462,18,53,4,1.000,.350,.450,11,26,5,0,0,0,0,4,0,42,.881,0,.000,,0,1,12,9,"4,16",0.25,4,16,"2,18",0.11,2,18,"0,7",0,0,7,"1,3",0.33,1,3,0,0,0,0,"9,14","4,7","7,22",1,0,0,0,0,0,0,0,6,10,0,,Webster,WU,1259-2290,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3596771776726224,32,82,batting,,,
