season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,American Southwest Conference (ASC),asc,McMurry,Hailey Donaldson,Hailey,Donaldson,,8530,Hailey Donaldson,"DONALDSON,HAILEY",McMurry,MCM,643-5690,1,1,5,0,5,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,72:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,41,88
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Hailey Swafford,Hailey,Swafford,,2741,Hailey Swafford,"SWAFFORD,HAILEY",Howard Payne,HPU,639-3689,3,0,10,0,10,0,0,1,1,0,0,0,0,0,.33,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,1,0,.33,.33,.00,.00,0,,137:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,42,87
2026-27,wsoc,American Southwest Conference (ASC),asc,McMurry,Haley Withers,Haley,Withers,,8530,Haley Withers,"WITHERS,HALEY",McMurry,MCM,643-6288,1,1,8,0,8,0,0,1,2,0,0,0,0,0,2.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,24:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,43,87
2026-27,wsoc,American Southwest Conference (ASC),asc,McMurry,Macie Griffin,Macie,Griffin,,8530,Macie Griffin,"GRIFFIN,MACIE",McMurry,MCM,643-6287,1,0,4,0,4,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,48:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,44,87
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Madelynn Harry,Madelynn,Harry,,2741,Madelynn Harry,"HARRY,MADELYNN",Howard Payne,HPU,639-3081,3,3,18,0,18,0,0,1,1,0,0,0,0,0,.33,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,107:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,45,87
2026-27,wsoc,American Southwest Conference (ASC),asc,Hardin-Simmons,Maeve Connerty,Maeve,Connerty,,271,Maeve Connerty,"CONNERTY,MAEVE",Hardin-Simmons,HSU,637-3467,2,2,23,0,23,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,4,0,0,0,2.00,.00,.00,.00,0,,156:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,46,86
2026-27,wsoc,American Southwest Conference (ASC),asc,East Texas Baptist,"McClain, Ryan",Ryan,McClain,,1062,"McClain, Ryan","MCCLAIN,RYAN",East Texas Baptist,ETB,636-5206,2,0,88,0,88,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,55:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,47,86
2026-27,wsoc,American Southwest Conference (ASC),asc,East Texas Baptist,"Privett, Alaia",Alaia,Privett,,1062,"Privett, Alaia","PRIVETT,ALAIA",East Texas Baptist,ETB,636-5209,2,1,31,0,31,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,56:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,48,86
2026-27,wsoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Reiland, Julia",Julia,Reiland,,1203,"Reiland, Julia","REILAND,JULIA",Mary Hardin-Baylor,UMHB,641-6128,3,0,16,0,16,0,0,1,1,0,0,0,0,0,.33,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,98:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,49,86
2026-27,wsoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Ruff, Ella",Ella,Ruff,,1203,"Ruff, Ella","RUFF,ELLA",Mary Hardin-Baylor,UMHB,641-4470,3,2,24,0,24,0,0,1,4,0,0,0,0,0,1.33,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,50,85
