season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code,composite_score,global_rank,rating
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Schulte,Molly",Molly,Schulte,G,2694,"Schulte,Molly","SCHULTE,MOLLY",Franklin,Frank,1034-2533,28,28,00,0,106,254,6,22,89,75,293,4,37,85,801,38,66,104,43,0,41,0,0,28,0.42,0.27,0.84,10.46,3.71,3.04,1.32,0.14,00,201.0,1,99
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Baechle,Cailyn",Cailyn,Baechle,G,2694,"Baechle,Cailyn","BAECHLE,CAILYN",Franklin,Frank,1034-2286,7,0,01,0,1,1,1,1,0,0,3,0,1,0,17,1,4,5,2,0,2,0,0,7,1.00,1.00,0.00,0.43,0.71,0.00,0.14,0.00,01,200.0,2,99
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Ridderikhoff,Cameryn",Cameryn,Ridderikhoff,F,2694,"Ridderikhoff,Cameryn","RIDDERIKHOFF,CAMERYN",Franklin,Frank,1034-2783,25,0,02,0,40,87,5,28,23,17,102,0,14,10,225,14,25,39,33,0,16,1,0,25,0.46,0.18,0.74,4.08,1.56,0.40,0.56,0.00,02,199.0,3,99
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Munchel,Briley",Briley,Munchel,G,2694,"Munchel,Briley","MUNCHEL,BRILEY",Franklin,Frank,1034-2290,28,28,04,0,70,162,32,59,58,48,220,2,63,103,905,10,92,102,51,0,58,0,0,28,0.43,0.54,0.83,7.86,3.64,3.68,2.25,0.07,04,198.0,4,98
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Kelley,Avery",Avery,Kelley,G,2694,"Kelley,Avery","KELLEY,AVERY",Franklin,Frank,1034-2802,28,1,08,0,36,94,0,7,35,21,93,0,24,34,397,11,49,60,44,0,54,0,0,28,0.38,0.00,0.60,3.32,2.14,1.21,0.86,0.00,08,197.0,5,98
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Barker,Lauren",Lauren,Barker,G,2694,"Barker,Lauren","BARKER,LAUREN",Franklin,Frank,1034-2301,5,0,11,0,2,7,2,7,2,0,6,0,1,4,30,2,2,4,2,0,2,0,0,5,0.29,0.29,0.00,1.20,0.80,0.80,0.20,0.00,11,196.0,6,98
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Buening,Erica",Erica,Buening,F,2694,"Buening,Erica","BUENING,ERICA",Franklin,Frank,1034-2529,9,0,12,0,25,61,5,10,32,26,81,3,9,7,154,14,24,38,21,0,11,1,0,9,0.41,0.50,0.81,9.00,4.22,0.78,1.00,0.33,12,195.0,7,97
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Seay,Payton",Payton,Seay,G,2694,"Seay,Payton","SEAY,PAYTON",Franklin,Frank,1034-2403,28,28,13,0,110,253,6,16,107,71,297,8,27,48,673,76,89,165,69,0,33,2,0,28,0.43,0.38,0.66,10.61,5.89,1.71,0.96,0.29,13,194.0,8,97
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Saucerman,Sophia",Sophia,Saucerman,C,2694,"Saucerman,Sophia","SAUCERMAN,SOPHIA",Franklin,Frank,1034-2784,25,0,14,0,22,65,1,2,11,7,52,3,5,4,184,11,19,30,16,0,16,1,0,25,0.34,0.50,0.64,2.08,1.20,0.16,0.20,0.12,14,193.0,9,97
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Campbell,Brittany",Brittany,Campbell,G,2694,"Campbell,Brittany","CAMPBELL,BRITTANY",Franklin,Frank,1034-2779,2,0,15,0,0,1,0,1,0,0,0,0,2,3,17,1,9,10,1,0,3,0,0,2,0.00,0.00,0.00,0.00,5.00,1.50,1.00,0.00,15,192.0,10,96
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Rhoton,Kaylee",Kaylee,Rhoton,G,2694,"Rhoton,Kaylee","RHOTON,KAYLEE",Franklin,Frank,1034-2289,12,0,21,0,2,20,1,11,2,1,6,0,3,6,47,5,3,8,8,0,4,0,0,12,0.10,0.09,0.50,0.50,0.67,0.50,0.25,0.00,21,191.0,11,96
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Clayton,Abigayle",Abigayle,Clayton,F,2694,"Clayton,Abigayle","CLAYTON,ABIGAYLE",Franklin,Frank,1034-2780,12,0,22,0,6,19,2,6,6,2,16,0,0,0,38,4,4,8,6,0,4,0,0,12,0.32,0.33,0.33,1.33,0.67,0.00,0.00,0.00,22,190.0,12,96
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Turk,Taylor",Taylor,Turk,G,2694,"Turk,Taylor","TURK,TAYLOR",Franklin,Frank,1034-2531,27,1,23,0,38,118,15,51,33,22,113,0,17,21,374,31,38,69,40,0,24,0,0,27,0.32,0.29,0.67,4.19,2.56,0.78,0.63,0.00,23,189.0,13,95
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Reitmeyer,Ava",Ava,Reitmeyer,F,2694,"Reitmeyer,Ava","REITMEYER,AVA",Franklin,Frank,1034-2530,12,0,24,0,5,11,1,3,0,0,11,0,0,1,39,4,3,7,7,0,2,0,0,12,0.45,0.33,0.00,0.92,0.58,0.08,0.00,0.00,24,188.0,14,95
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Thompson,Mya",Mya,Thompson,G,2694,"Thompson,Mya","THOMPSON,MYA",Franklin,Frank,1034-2785,3,0,25,0,1,1,1,1,0,0,3,0,0,1,9,0,1,1,1,0,1,0,0,3,1.00,1.00,0.00,1.00,0.33,0.33,0.00,0.00,25,187.0,15,95
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Breeden,Kate",Kate,Breeden,F,2694,"Breeden,Kate","BREEDEN,KATE",Franklin,Frank,1034-2236,28,28,31,0,106,275,20,53,34,21,253,15,34,34,719,47,124,171,55,1,29,2,0,28,0.39,0.38,0.62,9.04,6.11,1.21,1.21,0.54,31,186.0,16,94
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Wright,Lydia",Lydia,Wright,G,2694,"Wright,Lydia","WRIGHT,LYDIA",Franklin,Frank,1034-2786,23,0,32,0,28,61,4,15,10,8,68,1,10,15,205,7,34,41,24,0,18,0,0,23,0.46,0.27,0.80,2.96,1.78,0.65,0.43,0.04,32,185.0,17,94
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Coon,Jordan",Jordan,Coon,G,2694,"Coon,Jordan","COON,JORDAN",Franklin,Frank,0,26,26,03,0,179,385,39,126,70,53,450,3,60,66,816,34,101,135,48,0,77,0,0,26,0.46,0.31,0.76,17.31,5.19,2.54,2.31,0.12,03,184.0,18,94
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Peters,Aly",Aly,Peters,F,2694,"Peters,Aly","PETERS,ALY",Franklin,Frank,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40,183.0,19,94
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,"Smith,Lauren",Lauren,Smith,G,939,"Smith,Lauren","SMITH,LAUREN",Anderson,AU,0,25,18,02,0,63,180,39,112,53,37,202,12,23,36,596,13,35,48,30,0,37,1,0,25,0.35,0.35,0.70,8.08,1.92,1.44,0.92,0.48,02,182.0,20,93
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,"Wozniak,Miranda",Miranda,Wozniak,G,939,"Wozniak,Miranda","WOZNIAK,MIRANDA",Anderson,AU,0,9,0,03,0,2,8,0,5,8,4,8,0,3,3,25,0,2,2,2,0,0,0,0,9,0.25,0.00,0.50,0.89,0.22,0.33,0.33,0.00,03,181.0,21,93
2025-26,wbball,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,"Custer,Taylor",Taylor,Custer,G,939,"Custer,Taylor","CUSTER,TAYLOR",Anderson,AU,0,16,0,05,0,5,21,3,14,2,2,15,0,4,1,78,2,6,8,14,0,5,0,0,16,0.24,0.21,1.00,0.94,0.50,0.06,0.25,0.00,05,180.0,22,93
