season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Emerson,"Mirogiannis, Nick",Nick,Mirogiannis,,214,"Mirogiannis, Nick","MIROGIANNIS,NICK",Emerson,EMR,1013-1497,3,3,13,0,13,0,0,4,7,6,2,2,0,0,2.33,1.33,2.00,.667,.667,2,0,0,0,1,1,0,.000,2,0,1,0,.67,.33,.00,.00,0,,154:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,19.16121896938817,1,99
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Hanrahan, Connor",Connor,Hanrahan,,45,"Hanrahan, Connor","HANRAHAN,CONNOR",Babson,BAB,1133-2808,3,3,17,0,17,0,0,6,11,6,0,3,0,0,3.67,2.00,2.00,1.000,.000,3,2,0,0,0,2,1,.333,3,0,0,0,1.00,.00,.00,.00,0,,210:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,16.92503674451455,2,99
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,MIT,Gianluca Balestrieri,Gianluca,Balestrieri,,398,Gianluca Balestrieri,"BALESTRIERI,GIANLUCA",MIT,MIT,1136-4835,2,2,29,0,29,0,0,4,5,4,2,1,0,0,2.50,2.00,2.00,.500,1.000,3,1,0,0,0,0,0,.000,1,0,1,0,.50,.50,.00,.00,0,,119:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,14.093191933572017,3,99
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Emerson,"Pelino, Thomas",Thomas,Pelino,,214,"Pelino, Thomas","PELINO,THOMAS",Emerson,EMR,1013-1334,3,3,18,0,18,0,0,5,7,4,0,2,1,1,2.33,1.67,1.33,.667,.000,3,0,0,0,0,1,1,.333,3,0,0,0,1.00,.00,.00,.00,0,,151:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,11.371777939173437,4,98
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,WPI,Adin Pezo,Adin,Pezo,,808,Adin Pezo,"PEZO,ADIN",WPI,WPI,1146-4086,3,3,26,0,26,0,0,4,6,4,0,2,0,0,2.00,1.33,1.33,.667,.000,2,1,0,0,0,1,0,.000,2,0,0,0,.67,.00,.00,.00,0,,190:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.886546169648481,5,98
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Emerson,"Lagerwey, Cade",Cade,Lagerwey,,214,"Lagerwey, Cade","LAGERWEY,CADE",Emerson,EMR,1013-1623,3,3,6,0,6,0,0,4,6,4,0,2,0,0,2.00,1.33,1.33,.667,.000,2,0,0,0,1,1,1,.333,0,0,0,0,.00,.00,.00,.00,0,,223:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.886546169648481,6,98
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Pierre, McKenzy",McKenzy,Pierre,,45,"Pierre, McKenzy","PIERRE,MCKENZY",Babson,BAB,1133-2415,3,3,10,0,10,0,0,5,10,3,1,1,1,0,3.33,1.67,1.00,.333,.333,4,0,0,0,1,1,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,197:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.441087303227132,7,97
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,"Miller, Cole",Cole,Miller,,722,"Miller, Cole","MILLER,COLE",Coast Guard,USCGA,1135-2794,3,3,15,0,15,0,0,3,5,4,0,2,0,0,1.67,1.00,1.33,.667,.000,1,0,0,0,1,0,1,.333,2,0,0,0,.67,.00,.00,.00,0,,231:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.401314400123523,8,97
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,MIT,Woods Windham,Woods,Windham,,398,Woods Windham,"WINDHAM,WOODS",MIT,MIT,1136-4231,2,2,9,0,9,0,0,3,5,4,0,2,0,0,2.50,1.50,2.00,1.000,.000,1,0,0,0,0,0,1,.500,0,0,0,0,.00,.00,.00,.00,0,,142:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.401314400123523,9,97
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,"Porter, Michael",Michael,Porter,,722,"Porter, Michael","PORTER,MICHAEL",Coast Guard,USCGA,1135-2795,3,3,11,0,11,0,0,2,2,4,0,2,0,0,.67,.67,1.33,.667,.000,0,0,0,0,0,2,1,.333,1,0,1,0,.33,.33,.00,.00,0,,246:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.916082630598565,10,96
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Gardner, Christian",Christian,Gardner,,45,"Gardner, Christian","GARDNER,CHRISTIAN",Babson,BAB,1133-2993,3,0,28,0,28,0,0,2,2,3,1,1,0,0,.67,.67,1.00,.333,.333,1,0,0,0,0,0,1,.333,2,0,0,0,.67,.00,.00,.00,0,,71:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.985391994652257,11,96
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Julian Dubash,Julian,Dubash,,145,Julian Dubash,"DUBASH,JULIAN",Clark,CLARK UN,1134-2334,3,3,20,0,20,0,0,2,4,3,1,1,0,0,1.33,.67,1.00,.333,.333,1,0,0,0,0,0,1,.333,8,0,0,0,2.67,.00,.00,.00,0,,237:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.985391994652257,12,96
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,"Villasana, Andres",Andres,Villasana,,722,"Villasana, Andres","VILLASANA,ANDRES",Coast Guard,USCGA,1135-2797,3,3,12,0,12,0,0,2,2,3,1,1,0,0,.67,.67,1.00,.333,.333,1,1,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,206:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.985391994652257,13,95
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Lloyd, Will",Will,Lloyd,,45,"Lloyd, Will","LLOYD,WILL",Babson,BAB,1133-2412,3,3,8,0,8,0,0,1,2,3,1,1,0,0,.67,.33,1.00,.333,.333,0,0,0,0,0,0,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,270:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.500160225127301,14,95
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Yablonovskiy, Alexander",Alexander,Yablonovskiy,,45,"Yablonovskiy, Alexander","YABLONOVSKIY,ALEXANDER",Babson,BAB,1133-2411,3,0,9,0,9,0,0,1,3,3,1,1,0,0,1.00,.33,1.00,.333,.333,0,0,0,0,0,0,1,.333,5,0,1,0,1.67,.33,.00,.00,0,,73:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.500160225127301,15,95
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Emerson,"Carson, Carlo",Carlo,Carson,,214,"Carson, Carlo","CARSON,CARLO",Emerson,EMR,1013-1500,3,3,9,0,9,0,0,7,13,2,0,1,0,0,4.33,2.33,.67,.333,.000,6,0,0,0,1,0,1,.333,3,0,1,0,1.00,.33,.00,.00,0,,193:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,7.274214442407201,16,95
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,MIT,Jonah Gurion,Jonah,Gurion,,398,Jonah Gurion,"GURION,JONAH",MIT,MIT,1136-4531,2,0,8,0,8,0,0,0,5,2,2,0,0,0,2.50,.00,1.00,.000,1.000,0,0,0,0,0,0,0,.000,3,0,1,0,1.50,.50,.00,.00,0,,86:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,7.084237819656035,17,94
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Stephans, Drew",Drew,Stephans,,45,"Stephans, Drew","STEPHANS,DREW",Babson,BAB,1133-2996,3,3,6,0,6,0,0,0,2,2,2,0,0,0,.67,.00,.67,.000,.667,0,0,0,0,0,0,0,.000,1,0,1,0,.33,.33,.00,.00,0,,212:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,7.084237819656035,18,94
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,"Von Dyl, James",James,Von Dyl,,722,"Von Dyl, James","VON DYL,JAMES",Coast Guard,USCGA,1135-3075,3,3,19,0,19,0,0,2,2,2,0,1,0,0,.67,.67,.67,.333,.000,1,0,0,0,0,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,167:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.848055594782413,19,94
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,MIT,Shikhar Motupally,Shikhar,Motupally,,398,Shikhar Motupally,"MOTUPALLY,SHIKHAR",MIT,MIT,1136-4529,2,2,11,0,11,0,0,3,10,1,1,0,0,0,5.00,1.50,.50,.000,.500,3,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,148:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.402596728361062,20,94
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Emerson,"Bede, Daniel",Daniel,Bede,,214,"Bede, Daniel","BEDE,DANIEL",Emerson,EMR,1013-1442,3,3,4,0,4,0,0,1,2,2,0,1,0,0,.67,.33,.67,.333,.000,0,0,0,0,0,1,0,.000,4,0,1,0,1.33,.33,.00,.00,0,,270:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.362823825257456,21,94
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Springfield,Connor Policarpio,Connor,Policarpio,,673,Connor Policarpio,"POLICARPIO,CONNOR",Springfield,SC,1140-4204,2,2,10,0,10,0,0,1,6,2,0,1,0,0,3.00,.50,1.00,.500,.000,0,1,0,0,0,1,0,.000,1,0,0,0,.50,.00,.00,.00,0,,160:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.362823825257456,22,94
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Springfield,Cooper Kassan,Cooper,Kassan,,673,Cooper Kassan,"KASSAN,COOPER",Springfield,SC,1140-5351,2,0,15,0,15,0,0,1,1,2,0,1,0,0,.50,.50,1.00,.500,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,70:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.362823825257456,23,93
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,MIT,Jesse Hedequist,Jesse,Hedequist,,398,Jesse Hedequist,"HEDEQUIST,JESSE",MIT,MIT,1136-4527,2,0,25,0,25,0,0,1,3,2,0,1,0,0,1.50,.50,1.00,.500,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,39:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.362823825257456,24,93
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Marc Kim,Marc,Kim,,145,Marc Kim,"KIM,MARC",Clark,CLARK UN,1134-1907,3,1,10,0,10,0,0,1,1,2,0,1,0,0,.33,.33,.67,.333,.000,0,0,0,0,1,1,0,.000,0,0,1,0,.00,.33,.00,.00,0,,152:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.362823825257456,25,93
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Myles Nelson-Atkins,Myles,Nelson-Atkins,,145,Myles Nelson-Atkins,"NELSON-ATKINS,MYLES",Clark,CLARK UN,1134-1910,3,3,24,0,24,0,0,1,1,2,0,1,0,0,.33,.33,.67,.333,.000,0,0,0,0,1,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,270:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.362823825257456,26,93
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Ty Ferris,Ty,Ferris,,623,Ty Ferris,"FERRIS,TY",Salve Regina,SRU,989-4146,1,0,9,0,9,0,0,1,1,2,0,1,0,0,1.00,1.00,2.00,1.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,4.362823825257456,27,93
2026-27,msoc,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Emerson,"Cassidy, Vigo",Vigo,Cassidy,,214,"Cassidy, Vigo","CASSIDY,VIGO",Emerson,EMR,1013-1435,3,0,8,0,8,0,0,2,6,1,1,0,0,0,2.00,.67,.33,.000,.333,2,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,89:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,3.917364958836105,28,93
