season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,Brooks Beach,,Third Year,35795,525,ACTIVE,76.96,4.96,24,75.704934778294,8,0,0,16.2205273034246,-7.31582348618854,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Wynn Flynt,,Second Year,79211,533,ACTIVE,77.5,5.5,14,76.3207897645383,5,0,0,16.0140025508324,-8.34071261209329,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Jack Barber,,Second Year,8421,557,ACTIVE,76.67,4.67,12,75.8037129233498,4,0,0,15.4622409873903,-7.76214138218316,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Charlie Berglund,,Third Year,31699,701,ACTIVE,77.16,5.16,25,76.716240957148,9,0,0,12.6002687829843,-9.51225539010118,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Josh Lay,,Fourth Year,18741,705,ACTIVE,78.5,6.5,24,76.8486445038592,8,0,0,12.5194949034898,-7.43524830837729,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Julius Kröll,,Fourth Year,4644,708,ACTIVE,77.15,5.15,20,76.7028484925398,7,0,0,12.4660188442551,-9.10086109134244,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,Chris Forsythe,,Third Year,30730,709,ACTIVE,78.12,6.12,16,76.9194682986705,7,1,0,12.4645895192374,-8.90747089091655,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,Andrew Clark,,Second Year,6561,732,ACTIVE,78.08,6.08,12,76.8236279507342,4,0,0,12.0783289907066,-8.44950102295408,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Graham Schmidt,,Second Year,5228,768,ACTIVE,78.58,6.58,12,77.2163740430003,4,0,0,11.5108756935888,-7.66926034472621,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Miles Harrison,,Third Year,31689,775,ACTIVE,78.24,6.24,25,77.796240957148,9,0,0,11.3950047650491,-9.51225539010118,Region IV - (M) DIII,clippd_scoreboard
