conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,games_played,mp_total,mpg,pts_total,points_per_game,reb_total,rebounds_per_game,ast_total,assists_per_game,stl_total,steals_per_game,blk_total,blocked_shots_per_game,tov_total,turnovers_per_game,fgm,fga,field_goals_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
cne,Conference of New England,2025-26,Endicott College,"Kinney,Elijah",Elijah,Kinney,0,F,23,670.0,29.130434782608695,510.0,22.17,269.0,11.7,29.0,1.26,22.0,0.96,62.0,2.7,38.0,1.6521739130434785,186.0,318.0,0.58,18.0,46.0,0.39,120.0,147.0,0.82,3.3796902382853204,3.9606680857928476,0.35624328693637436,0.8878925484895036,1.002500923976742,0.993984537445756,6.907461199251999,13.4787140487438,1,99
cne,Conference of New England,2025-26,Endicott College,"Montagnino,Marcus",Marcus,Montagnino,0,F,26,862.0,33.15384615384615,584.0,22.46,209.0,8.04,113.0,4.35,44.0,1.69,5.0,0.19,60.0,2.3076923076923075,216.0,374.0,0.58,22.0,62.0,0.35,130.0,160.0,0.81,3.436478606931906,2.4183047503174406,3.304528072535916,1.7154390231829004,1.002500923976742,2.435639227489136,-0.03348954190512052,12.582815078297072,2,95
cne,Conference of New England,2025-26,University of New England,"Jackson,Jaelen",Jaelen,Jackson,0,G,9,289.0,32.111111111111114,206.0,22.89,76.0,8.44,2.0,0.22,17.0,1.89,8.0,0.89,12.0,1.3333333333333333,81.0,136.0,0.6,13.0,43.0,0.3,31.0,40.0,0.78,3.520682050097534,2.5868690492765016,-0.6360596829741512,0.4853784468529187,1.0981603264564215,2.830613115172254,1.9022337723618052,10.759503400623084,3,93
cne,Conference of New England,2025-26,Nichols College,"Flowers-Smith,Javen",Javen,Flowers-Smith,0,G,26,830.0,31.923076923076923,529.0,20.35,82.0,3.15,130.0,5.0,53.0,2.04,11.0,0.42,88.0,3.3846153846153846,188.0,423.0,0.44,34.0,111.0,0.31,119.0,165.0,0.72,3.02329426953778,0.35760619554292217,3.924717428729995,3.0749796601791966,0.3328851066189852,3.1268435309345928,0.6025338327825835,9.729873919187222,4,92
cne,Conference of New England,2025-26,Western New England University,"Vlajkovic,Luka",Luka,Vlajkovic,0,F,24,767.0,31.958333333333332,368.0,15.33,244.0,10.17,83.0,3.46,30.0,1.25,15.0,0.63,64.0,2.6666666666666665,135.0,306.0,0.44,18.0,70.0,0.26,80.0,134.0,0.6,2.0402680260692896,3.31590964227444,2.455345723285563,2.168619235514999,0.3328851066189852,1.566696674586277,1.1832508270626614,8.604441803608026,5,91
cne,Conference of New England,2025-26,Gordon College,"Brooks,Ryan",Ryan,Brooks,0,F,18,561.0,31.166666666666668,251.0,13.94,140.0,7.78,65.0,3.61,13.0,0.72,15.0,0.83,24.0,1.3333333333333333,107.0,172.0,0.62,1.0,1.0,1.0,36.0,57.0,0.63,1.7680755004873767,2.3087379559940517,2.5984663439457347,0.4853784468529187,1.1938197289361012,0.5200158722260145,1.7363146311389257,8.517152136201855,6,90
cne,Conference of New England,2025-26,University of New England,"Torres,Adrian",Adrian,Torres,0,G,26,858.0,33.0,362.0,13.92,110.0,4.23,101.0,3.88,80.0,3.08,7.0,0.27,55.0,2.1153846153846154,147.0,315.0,0.47,16.0,64.0,0.25,52.0,96.0,0.54,1.764159061270371,0.8127298027323867,2.856083461134044,1.4726639094335623,0.4763742103385044,5.180707746886806,0.1877359797253853,7.907729057619868,7,89
cne,Conference of New England,2025-26,Roger Williams University,"Miller,Finn",Finn,Miller,0,G,25,719.0,28.76,382.0,15.28,191.0,7.64,88.0,3.52,31.0,1.24,5.0,0.2,67.0,2.68,142.0,299.0,0.47,12.0,36.0,0.33,86.0,140.0,0.61,2.0304769280267747,2.24974045135838,2.5125939715496317,2.1854516434016205,0.4763742103385044,1.546947980202121,-0.0058363517013072675,7.625455843221278,8,88
cne,Conference of New England,2025-26,University of New England,"Lux,Adam",Adam,Lux,0,F,26,829.0,31.884615384615383,420.0,16.15,160.0,6.15,37.0,1.42,23.0,0.88,4.0,0.15,41.0,1.5769230769230769,142.0,317.0,0.45,52.0,130.0,0.4,84.0,96.0,0.88,2.2008420339665324,1.6218384377358788,0.5089052823072243,0.7928935909354142,0.380714807858825,0.8359949823725088,-0.14410230272037342,6.913929078234229,9,87
cne,Conference of New England,2025-26,Suffolk University,James Jones,James Jones,,0,*,27,818.0,30.296296296296298,324.0,12.0,218.0,8.07,53.0,1.96,42.0,1.56,10.0,0.37,31.0,1.148148148148148,129.0,287.0,0.45,22.0,77.0,0.29,44.0,76.0,0.58,1.3881808964378008,2.4309470727393707,1.0241395166838434,0.2515950039831851,0.380714807858825,2.17890620049511,0.46426788176351746,6.704683444176037,10,86
