season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,global_rank,rating
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,"Nunes, Matheus",Matheus,Nunes,,22989,"Nunes, Matheus","NUNES,MATHEUS",Lyon,LCS,783-5225,3,2,10,0,10,0,0,2,6,3,1,1,0,0,2.00,.67,1.00,.333,.333,1,0,0,0,0,0,1,.333,5,0,0,0,1.67,.00,.00,.00,0,,236:00,0,.00,.00,,,,,,,,,,,,,,,,,,22.20747810018102,1,99
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Hernandez, Alberto",Alberto,Hernandez,,555,"Hernandez, Alberto","HERNANDEZ,ALBERTO",Principia,PRIN,1258-2604,1,1,16,0,16,0,0,3,5,4,0,2,1,1,5.00,3.00,4.00,2.000,.000,1,0,0,0,1,2,1,1.000,2,0,0,0,2.00,.00,.00,.00,0,,85:00,0,.00,.00,,,,,,,,,,,,,,,,,,21.66051532434411,2,99
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,"Donadon, Tiago",Tiago,Donadon,,22989,"Donadon, Tiago","DONADON,TIAGO",Lyon,LCS,783-5235,3,3,11,0,11,0,0,5,11,1,1,0,0,0,3.67,1.67,.33,.000,.333,5,0,0,0,0,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,223:00,0,.00,.00,,,,,,,,,,,,,,,,,,14.72032118084925,3,99
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Eugea, Grant",Grant,Eugea,,64,"Eugea, Grant","EUGEA,GRANT",Blackburn,BBN,0,3,3,12,0,12,0,0,4,8,1,1,0,0,0,2.67,1.33,.33,.000,.333,4,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,248:00,0,.00,.00,,,,,,,,,,,,,,,,,,13.89183192338088,4,98
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,"Terra, Inaki",Inaki,Terra,,22989,"Terra, Inaki","TERRA,INAKI",Lyon,LCS,783-5234,3,3,22,0,22,0,0,3,5,2,0,1,0,0,1.67,1.00,.67,.333,.000,2,0,0,0,1,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,207:00,0,.00,.00,,,,,,,,,,,,,,,,,,11.687890632607225,5,98
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Maternowski, Peyton",Peyton,Maternowski,,218,"Maternowski, Peyton","MATERNOWSKI,PEYTON",Eureka,EUR,0,2,0,15,0,15,0,0,1,1,1,1,0,0,0,.50,.50,.50,.000,.500,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,61:00,0,.00,.00,,,,,,,,,,,,,,,,,,11.406364150975765,6,98
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Canas, Jesus",Jesus,Canas,,218,"Canas, Jesus","CANAS,JESUS",Eureka,EUR,0,2,2,7,0,7,0,0,2,2,2,0,1,1,1,1.00,1.00,1.00,.500,.000,1,0,0,0,0,1,1,.500,3,0,0,0,1.50,.00,.00,.00,0,,150:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.859401375138853,7,97
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Harrison, Owen",Owen,Harrison,,1450,"Harrison, Owen","HARRISON,OWEN",Westminster,WC,1216-1704,3,1,30,0,30,0,0,2,2,2,0,1,0,0,.67,.67,.67,.333,.000,1,0,0,0,0,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,144:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.859401375138853,8,97
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Calonges, Pascal",Pascal,Calonges,,218,"Calonges, Pascal","CALONGES,PASCAL",Eureka,EUR,0,2,2,11,0,11,0,0,1,2,2,0,1,0,0,1.00,.50,1.00,.500,.000,0,1,0,0,0,0,0,.000,4,0,1,0,2.00,.50,.00,.00,0,,133:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.030912117670482,9,97
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Cazares, Cristian",Cristian,Cazares,,64,"Cazares, Cristian","CAZARES,CRISTIAN",Blackburn,BBN,0,3,2,13,0,13,0,0,1,2,2,0,1,0,0,.67,.33,.67,.333,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,95:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.030912117670482,10,96
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Hollowell, Gavin",Gavin,Hollowell,,1450,"Hollowell, Gavin","HOLLOWELL,GAVIN",Westminster,WC,1216-2040,3,1,10,0,10,0,0,1,1,2,0,1,0,0,.33,.33,.67,.333,.000,0,0,0,0,1,1,1,.333,8,0,0,0,2.67,.00,.00,.00,0,,126:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.030912117670482,11,96
