season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Alfred St.,Matthew Bridges,Matthew,Bridges,,30170,Matthew Bridges,"BRIDGES,MATTHEW",BRIDGESMATTHEWALFRED S,16,16,,,Alfred St.,ALFRED S,1447-3320,0,0,0,0,0,3,18,0,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,69,0,36,24,960:00,0,0,1.000,,,,,,,,,,,,,,,86,126,0,72,16,56,.683,4.50,,,,,,16.51472191770019,1,99
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Hanover,"Deweese, Jack",Jack,Deweese,,1115,"Deweese, Jack","DEWEESE,JACK",DEWEESEJACKHAN,15,15,,,Hanover,HAN,1035-2827,0,0,0,0,0,0,31,2,4,1,0,0,0,0,0,0,0,5,1,0,0,0,4,31,0,26,12,896:00,50,4,1.000,,,,,,,,,,,,,,,100,176,0,78,20,58,.568,5.20,,,,,,15.034397514598474,2,99
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,Huck Campbell,Huck,Campbell,,28749,Huck Campbell,"CAMPBELL,HUCK",CAMPBELLHUCKTRANSYLV,17,16,,,Transylvania,TRANSYLV,1039-3043,0,0,0,0,0,2,17,0,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0,39,11,968:00,0,0,1.000,,,,,,,,,,,,,,,70,109,0,65,30,35,.642,3.82,,,,,,13.014086428470053,3,99
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Hanover,"Hospelhorn, Kasey",Kasey,Hospelhorn,,1115,"Hospelhorn, Kasey","HOSPELHORN,KASEY",HOSPELHORNKASEYHAN,15,15,,,Hanover,HAN,1035-2434,0,0,0,0,0,1,30,1,0,2,0,0,0,0,0,0,4,11,11,0,0,121,104,91,0,34,13,896:00,50,225,1.000,,,,,,,,,,,,,,,69,118,0,51,17,34,.585,3.40,,,,,,12.266307266547003,4,98
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,Andrew Welch,Andrew,Welch,,28749,Andrew Welch,"WELCH,ANDREW",WELCHANDREWTRANSYLV,17,16,,,Transylvania,TRANSYLV,1039-2850,0,0,0,0,1,0,9,1,3,3,0,0,0,0,0,0,1,4,1,0,0,0,0,14,0,18,5,968:00,0,0,1.000,,,,,,,,,,,,,,,81,124,0,68,22,46,.653,4.00,,,,,,11.894478670471992,5,98
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,Charlie Horner,Charlie,Horner,,28749,Charlie Horner,"HORNER,CHARLIE",HORNERCHARLIETRANSYLV,17,17,,,Transylvania,TRANSYLV,1039-3047,0,0,0,0,0,4,8,0,7,2,0,0,0,0,0,0,0,2,1,0,0,0,0,23,0,18,5,1028:00,0,0,1.000,,,,,,,,,,,,,,,72,104,0,56,18,38,.692,3.29,,,,,,9.783455730245262,6,98
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Alfred St.,Brendon O'Donnell,Brendon,O'Donnell,,30170,Brendon O'Donnell,"O'DONNELL,BRENDON",O'DONNELLBRENDONALFRED S,16,4,,,Alfred St.,ALFRED S,1447-3020,0,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,55,0,47,12,240:00,0,0,1.000,,,,,,,,,,,,,,,39,76,0,38,26,12,.513,2.38,,,,,,9.07844441313222,7,97
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,Jack Miller,Jack,Miller,,28749,Jack Miller,"MILLER,JACK",MILLERJACKTRANSYLV,17,13,,,Transylvania,TRANSYLV,1039-3048,0,0,0,0,0,1,17,0,1,1,0,0,0,0,0,0,0,5,5,0,0,0,0,21,0,21,12,788:00,0,0,1.000,,,,,,,,,,,,,,,86,133,0,47,18,29,.647,2.76,,,,,,8.922167610766149,8,97
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Alfred St.,Joseph Tiberio,Joseph,Tiberio,,30170,Joseph Tiberio,"TIBERIO,JOSEPH",TIBERIOJOSEPHALFRED S,15,12,,,Alfred St.,ALFRED S,1447-3008,0,0,0,0,0,2,8,1,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,34,0,29,5,720:00,0,0,1.000,,,,,,,,,,,,,,,62,118,0,48,19,29,.525,3.20,,,,,,8.806196574093054,9,97
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Hanover,"O'Brien, Colin",Colin,O'Brien,,1115,"O'Brien, Colin","OBRIEN,COLIN",OBRIENCOLINHAN,14,14,,,Hanover,HAN,1035-2164,0,0,0,0,0,2,21,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,15,9,836:00,50,0,1.000,,,,,,,,,,,,,,,59,93,0,49,14,35,.634,3.50,,,,,,8.691253320710803,10,96
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Spalding,Nicolas Guzman,Nicolas,Guzman,,23260,Nicolas Guzman,"GUZMAN,NICOLAS",GUZMANNICOLASSPALDING,15,14,,,Spalding,SPALDING,926-1254,0,0,0,0,0,0,14,2,6,1,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,26,9,843:00,47,0,1.000,,,,,,,,,,,,,,,60,82,0,46,13,33,.732,3.07,,,,,,8.007626460671101,11,96
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Alfred St.,Brady Nugent,Brady,Nugent,,30170,Brady Nugent,"NUGENT,BRADY",NUGENTBRADYALFRED S,16,16,,,Alfred St.,ALFRED S,1447-3017,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,4,95,0,28,39,960:00,0,5,1.000,,,,,,,,,,,,,,,11,16,0,11,6,5,.688,0.69,,,,,,7.55684303546718,12,96
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Hanover,"Langridge, Mack",Mack,Langridge,,1115,"Langridge, Mack","LANGRIDGE,MACK",LANGRIDGEMACKHAN,15,1,,,Hanover,HAN,1035-2828,0,0,0,0,0,1,7,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,1,17,0,26,7,60:00,0,1,1.000,,,,,,,,,,,,,,,67,100,0,43,14,29,.670,2.87,,,,,,7.181598270852328,13,95
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Alfred St.,Griffin Doan,Griffin,Doan,,30170,Griffin Doan,"DOAN,GRIFFIN",DOANGRIFFINALFRED S,11,11,,,Alfred St.,ALFRED S,1447-3007,0,0,0,0,0,0,10,0,5,1,0,0,0,0,0,0,0,3,6,0,0,0,0,41,0,33,6,660:00,0,0,1.000,,,,,,,,,,,,,,,56,89,0,39,12,27,.629,3.55,,,,,,7.083106136006616,14,95
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Earlham,Robbie Gift,Robbie,Gift,,195,Robbie Gift,"GIFT,ROBBIE",GIFTROBBIEEARLHAM,13,13,,,Earlham,EARLHAM,1215-1642,0,0,0,0,0,1,7,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,20,0,23,9,779:00,28,0,1.000,,,,,,,,,,,,,,,48,73,0,38,17,21,.658,2.92,,,,,,6.82879116560506,15,94
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,Aven Blair,Aven,Blair,,28749,Aven Blair,"BLAIR,AVEN",BLAIRAVENTRANSYLV,17,4,,,Transylvania,TRANSYLV,1039-3203,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75,0,12,11,240:00,0,0,1.000,,,,,,,,,,,,,,,19,27,0,17,8,9,.704,1.00,,,,,,4.679742474834525,16,94
2026-27,mlax,Heartland Collegiate Athletic Conference (HCAC),hcac,Hanover,"Henderson, Dean",Dean,Henderson,,1115,"Henderson, Dean","HENDERSON,DEAN",HENDERSONDEANHAN,15,15,,,Hanover,HAN,1035-2615,0,0,0,0,0,1,9,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,28,6,896:00,50,0,1.000,,,,,,,,,,,,,,,52,72,0,32,9,23,.722,2.13,,,,,,4.624032647144159,17,94
