season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,mlax,Atlantic East Conference (AEC),aec,Immaculata,Jason Smaron,Jason,Smaron,,303,Jason Smaron,"SMARON,JASON",SMARONJASONIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3571,0,0,0,0,0,0,7,1,2,4,0,0,0,0,0,0,0,1,3,0,0,0,0,35,0,42,7,1036:00,147,0,1.000,,,,,,,,,,,,,,,61,83,0,68,36,32,.735,3.78,,,,,,15.717953716961658,1,99
2026-27,mlax,Atlantic East Conference (AEC),aec,Immaculata,Jude Azzarano,Jude,Azzarano,,303,Jude Azzarano,"AZZARANO,JUDE",AZZARANOJUDEIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3574,0,0,0,0,0,3,5,0,5,1,0,0,0,0,0,0,0,2,3,0,0,0,0,38,0,48,5,1036:00,147,0,1.000,,,,,,,,,,,,,,,43,72,0,52,27,25,.597,2.89,,,,,,11.736597085951813,2,99
2026-27,mlax,Atlantic East Conference (AEC),aec,Marymount (VA),Santino Rossitto,Santino,Rossitto,,394,Santino Rossitto,"ROSSITTO,SANTINO",ROSSITTOSANTINOMARYMOUN,17,17,,,Marymount (VA),MARYMOUN,658-2033,0,0,0,0,1,1,14,0,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,41,0,21,13,1009:00,140,0,1.000,,,,,,,,,,,,,,,68,113,0,49,13,36,.602,2.88,,,,,,11.5520440525226,3,99
2026-27,mlax,Atlantic East Conference (AEC),aec,Marymount (VA),James Elko,James,Elko,,394,James Elko,"ELKO,JAMES",ELKOJAMESMARYMOUN,17,16,,,Marymount (VA),MARYMOUN,658-2448,0,0,0,0,0,2,10,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,28,0,47,11,949:00,140,0,1.000,,,,,,,,,,,,,,,54,87,0,48,20,28,.621,2.82,,,,,,10.925552800092989,4,98
2026-27,mlax,Atlantic East Conference (AEC),aec,Marymount (VA),Ian Fructuoso,Ian,Fructuoso,,394,Ian Fructuoso,"FRUCTUOSO,IAN",FRUCTUOSOIANMARYMOUN,17,17,,,Marymount (VA),MARYMOUN,658-1862,0,0,0,0,0,1,22,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,29,0,38,3,1009:00,140,0,1.000,,,,,,,,,,,,,,,72,144,0,47,11,36,.500,2.76,,,,,,9.588307716292121,5,98
2026-27,mlax,Atlantic East Conference (AEC),aec,Immaculata,Aaron Headley,Aaron,Headley,,303,Aaron Headley,"HEADLEY,AARON",HEADLEYAARONIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3699,0,0,0,0,0,2,7,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,0,32,10,1036:00,147,0,1.000,,,,,,,,,,,,,,,67,133,0,43,12,31,.504,2.39,,,,,,9.47231577351833,6,98
2026-27,mlax,Atlantic East Conference (AEC),aec,Immaculata,Ryan Gorman,Ryan,Gorman,,303,Ryan Gorman,"GORMAN,RYAN",GORMANRYANIMMACULA,18,18,,,Immaculata,IMMACULA,1306-3450,0,0,0,0,0,2,9,0,6,1,0,0,0,0,0,0,0,1,4,0,0,0,1,19,0,33,8,1036:00,147,1,1.000,,,,,,,,,,,,,,,69,112,0,40,16,24,.616,2.22,,,,,,8.398038546372309,7,97
2026-27,mlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Josh Devine,Josh,Devine,,12399,Josh Devine,"DEVINE,JOSH",DEVINEJOSHGWYNEDD,14,14,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2440,0,0,0,0,0,3,18,1,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,36,0,31,9,824:00,154,0,1.000,,,,,,,,,,,,,,,63,121,0,34,8,26,.521,2.43,,,,,,7.453671085305817,8,97
2026-27,mlax,Atlantic East Conference (AEC),aec,Immaculata,Nick Senatore,Nick,Senatore,,303,Nick Senatore,"SENATORE,NICK",SENATORENICKIMMACULA,18,5,,,Immaculata,IMMACULA,1306-3701,0,0,0,0,0,1,1,0,9,3,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,21,6,300:00,0,0,1.000,,,,,,,,,,,,,,,55,81,0,35,15,20,.679,1.94,,,,,,7.1996237582257505,9,97
2026-27,mlax,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,Landen Ciran,Landen,Ciran,,12399,Landen Ciran,"CIRAN,LANDEN",CIRANLANDENGWYNEDD,14,10,,,Gwynedd Mercy Univ.,GWYNEDD,1305-2606,0,0,0,0,0,1,4,0,4,2,0,0,0,0,0,0,0,2,4,0,0,0,0,19,0,31,5,587:00,121,0,1.000,,,,,,,,,,,,,,,55,105,0,32,5,27,.524,2.29,,,,,,5.9316702446513005,10,96
