season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Kira Rescsanski,Kira,Rescsanski,,145,Kira Rescsanski,"RESCSANSKI,KIRA",RESCSANSKIKIRACLARK UN,15,2,,,Clark,CLARK UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,2,5,4,120:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Morgan Glover,Morgan,Glover,,145,Morgan Glover,"GLOVER,MORGAN",GLOVERMORGANCLARK UN,8,0,,,Clark,CLARK UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Meghan Fogarty,Meghan,Fogarty,,145,Meghan Fogarty,"FOGARTY,MEGHAN",FOGARTYMEGHANCLARK UN,7,7,,,Clark,CLARK UN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,0,9,0,420:00,0,0,1.000,,11,21,0,8,4,4,.524,1.14,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Grace Steward,Grace,Steward,,145,Grace Steward,"STEWARD,GRACE",STEWARDGRACECLARK UN,5,1,,,Clark,CLARK UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,60:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,5,111:15,27,17,0,0,3,0,0,0,0,51,14.56,.386
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Victoria Holden,Victoria,Holden,,145,Victoria Holden,"HOLDEN,VICTORIA",HOLDENVICTORIACLARK UN,5,0,,,Clark,CLARK UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,5,61:21,13,9,0,0,0,0,0,0,0,30,12.71,.409
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Ella Forsman,Ella,Forsman,,145,Ella Forsman,"FORSMAN,ELLA",FORSMANELLACLARK UN,14,14,,,Clark,CLARK UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,21,0,846:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,14,733:24,166,124,0,4,10,0,0,0,0,381,13.58,.428
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Rileigh Leary,Rileigh,Leary,,722,Rileigh Leary,"LEARY,RILEIGH",LEARYRILEIGHCOAST GU,17,17,,,Coast Guard,COAST GU,1135-3236,0,2,0,0,0,0,8,0,2,1,0,0,0,8,1,0,0,0,0,0,0,0,0,20,43,38,10,1020:00,0,0,1.000,,34,59,6,40,18,22,.576,2.35,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Hannah Pukish,Hannah,Pukish,,722,Hannah Pukish,"PUKISH,HANNAH",PUKISHHANNAHCOAST GU,0,0,,,Coast Guard,COAST GU,1135-3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Abby Keller,Abby,Keller,,722,Abby Keller,"KELLER,ABBY",KELLERABBYCOAST GU,16,15,,,Coast Guard,COAST GU,1135-3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,11,900:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Corrine Vetter,Corrine,Vetter,,722,Corrine Vetter,"VETTER,CORRINE",VETTERCORRINECOAST GU,3,0,,,Coast Guard,COAST GU,1135-3435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
