conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
nac,North Atlantic Conference (NAC),2025-26,wbball,UMaine-Farmington,"Harvie,Eva",0,G,11,17,0,7,18,0,6,1,0,14,1,10,10,127,4,10,14,12,0,15,0,0,0.39,0.0,0.0,0.82,0.82,0.59,0.59,0.06,0.8823529411764706,-1.0440168487874022,-1.0701359278325648,-0.5186932244594044,-0.7511737545961599,0.7352735067308624,-0.30241802128505296,-0.4640170320266957,-3.073862765460259,126,43
nac,North Atlantic Conference (NAC),2025-26,wbball,Husson ,"Carnes,Sydney",0,G,12,15,0,6,15,4,12,0,0,16,0,4,2,58,1,5,6,3,0,1,0,0,0.4,0.33,0.0,1.07,0.4,0.13,0.27,0.0,0.06666666666666667,-0.9802269000224019,-1.2603964934487049,-1.0005740582197273,-1.4554297353098569,0.8119883031715549,-0.809498275425009,-0.6252497038402132,-3.0935740599890496,127,43
nac,North Atlantic Conference (NAC),2025-26,wbball,UMaine-Presque Isle,"Stairs,Cady",0,G,22,24,16,11,46,0,4,4,0,22,4,12,16,552,16,72,88,36,0,54,0,0,0.24,0.0,0.0,0.92,3.67,0.67,0.5,0.17,2.25,-1.0185008692814022,0.22091791027695656,-0.43488786206630464,0.4296400592206757,-0.41544843987952434,-0.44503434276191556,-0.16842380036858035,-3.3159185787804013,128,43
nac,North Atlantic Conference (NAC),2025-26,wbball,Husson ,"Jackson,Audrey",0,G,21,16,0,9,37,4,15,0,0,22,2,2,2,104,4,16,20,19,0,6,0,0,0.24,0.27,0.0,1.38,1.25,0.13,0.13,0.13,0.375,-0.9011273635538017,-0.8753453487493738,-1.0005740582197273,-1.1892175887540182,-0.41544843987952434,-1.0313458866112397,-0.2759122482442587,-3.3900473770032526,129,43
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Johnson,"Akisson,Isabel",0,F,42,20,1,7,25,0,4,6,3,17,0,10,6,244,7,36,43,58,0,21,2,0,0.28,0.0,0.5,0.85,2.15,0.3,0.5,0.0,1.05,-1.0363620549356023,-0.46764413671478816,-0.8224876631343906,-0.6064288354831283,-0.1085892541167543,-0.44503434276191556,-0.6252497038402132,-3.4142604026152155,130,43
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Johnson,"Benjamin,Faith",0,G,14,22,10,8,41,0,1,23,11,27,0,5,19,322,13,48,61,23,0,40,0,0,0.2,0.0,0.48,1.23,2.77,0.86,0.23,0.0,1.8181818181818181,-0.9394013328128018,-0.18678330175762908,-0.23585012638269306,0.05681223726286737,-0.7223076256422939,-0.8728833071925035,-0.6252497038402132,-3.4778244577482575,131,42
nac,North Atlantic Conference (NAC),2025-26,wbball,UMaine-Presque Isle,"Bridges,Madison",0,G,12,18,8,8,46,0,7,28,16,32,1,7,7,452,14,34,48,33,0,45,0,0,0.17,0.0,0.57,1.78,2.67,0.39,0.39,0.06,2.5,-0.7990634455298014,-0.23208343642813864,-0.7282066304421535,0.6454877456173016,-0.9524520149643713,-0.6193431801225254,-0.4640170320266957,-3.793334023491617,132,42
nac,North Atlantic Conference (NAC),2025-26,wbball,UMaine-Presque Isle,"Evans,Willa",0,G,1,7,0,0,1,0,1,0,0,0,1,1,0,74,1,3,4,6,0,6,0,0,0.0,0.0,0.0,0.0,0.57,0.0,0.14,0.14,0.8571428571428571,-1.253247880736603,-1.1833862645088387,-1.1367577721085143,-0.7729399078462398,-2.256603554456143,-1.015499628669366,-0.24904013627533908,-4.008037240820371,133,42
nac,North Atlantic Conference (NAC),2025-26,wbball,SUNY Delhi,"Foster,Eve",0,G,98,9,0,0,6,0,2,1,1,1,0,0,1,45,1,2,3,12,0,3,1,0,0.0,0.0,1.0,0.11,0.33,0.11,0.0,0.0,0.3333333333333333,-1.2251803032800028,-1.2921065877180613,-1.0215253988180022,-1.225192203153456,-2.256603554456143,-1.237347239855597,-0.6252497038402132,-5.006619921725066,134,42
nac,North Atlantic Conference (NAC),2025-26,wbball,SUNY Delhi,"Tobin,Kayleigh",0,F,30,18,0,0,24,0,12,2,0,0,0,2,1,115,3,5,8,3,0,9,0,0,0.0,0.0,0.0,0.0,0.44,0.06,0.11,0.0,0.5,-1.253247880736603,-1.2422764395805008,-1.0739037503136895,-1.0812937455557052,-2.256603554456143,-1.063038402494987,-0.6252497038402132,-5.654956856464019,135,41
nac,North Atlantic Conference (NAC),2025-26,wbball,Lesley,Baileigh Sinaman-Dan,0,*,5,18,6,0,8,0,3,0,0,0,0,4,2,275,1,4,5,26,0,11,0,0,0.0,0.0,0.0,0.0,0.28,0.11,0.22,0.0,0.6111111111111112,-1.253247880736603,-1.314756655053316,-1.0215253988180022,-0.9853614404905382,-2.256603554456143,-0.8887295651343772,-0.6252497038402132,-5.670817286360465,136,41
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Lyndon,Victoria Fitih,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.253247880736603,-1.4415970321307428,-1.1367577721085143,,-2.256603554456143,-1.237347239855597,-0.6252497038402132,,137,41
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Lyndon,Heather Kerr,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.253247880736603,-1.4415970321307428,-1.1367577721085143,,-2.256603554456143,-1.237347239855597,-0.6252497038402132,,138,41
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Lyndon,Jada Lewis,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.253247880736603,-1.4415970321307428,-1.1367577721085143,,-2.256603554456143,-1.237347239855597,-0.6252497038402132,,139,41
nac,North Atlantic Conference (NAC),2025-26,wbball,Thomas,"Pena,Yaribel",0,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.253247880736603,-1.4415970321307428,-1.1367577721085143,,-2.256603554456143,-1.237347239855597,-0.6252497038402132,,140,40
nac,North Atlantic Conference (NAC),2025-26,wbball,SUNY Cobleskill,Laci Prignon,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.253247880736603,-1.4415970321307428,-1.1367577721085143,,-2.256603554456143,-1.237347239855597,-0.6252497038402132,,141,40
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Johnson,"Khomutetsky,Sasha",0,G,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.253247880736603,-1.4415970321307428,-1.1367577721085143,,-2.256603554456143,-1.237347239855597,-0.6252497038402132,,142,40
