conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,DePauw,"Murphey, Braden",0,,13,16,10,0.0,0.0,9.0,22.0,13.0,3.0,5.0,0.0,0.0,1.38,0.56,0.81,0.313,0.188,4.0,0.0,1.0,0.0,3.0,1.0,2.0,0.125,16.0,0.0,3.0,0.0,1.0,0.19,0.0,0.0,0.0,,776:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.540856804538606,2.1058895771723742,2.7101681759416802,1.2689412258170474,2.0083229285072974,-0.16905081089746987,5.932257361964747,11,89
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Wabash,"Kinnaman, Bryce",0,,9,18,11,0.0,0.0,13.0,41.0,12.0,2.0,5.0,0.0,0.0,2.28,0.72,0.67,0.278,0.111,8.0,1.0,0.0,0.0,2.0,1.0,3.0,0.167,19.0,0.0,2.0,0.0,1.06,0.11,0.0,0.0,0.0,,974:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.540856804538606,1.2370804535852495,2.457691440974922,2.1212626506766177,1.1124664956844683,-0.16905081089746987,5.452200010872368,12,89
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,DePauw,"Girandola, Roman",0,,17,20,5,0.0,0.0,9.0,17.0,11.0,3.0,4.0,0.0,0.0,0.85,0.45,0.55,0.2,0.15,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,10.0,0.0,1.0,0.0,0.5,0.05,0.0,0.0,0.0,,873:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.929371869538295,2.1058895771723742,2.2052147060081637,1.2689412258170474,0.2166100628616393,-0.16905081089746987,5.236061927857824,13,88
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Kenyon,"Commandeur, Jack",0,,33,18,9,0.0,0.0,10.0,15.0,13.0,1.0,6.0,0.0,0.0,0.83,0.56,0.72,0.333,0.056,4.0,3.0,0.0,0.0,1.0,2.0,1.0,0.056,6.0,0.0,4.0,0.0,0.33,0.22,0.0,0.0,0.0,,993:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.152341739538917,0.3682713299981246,2.7101681759416802,1.48202158203194,2.9041793613301263,-0.16905081089746987,5.235647130262638,14,88
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Wittenberg,"LaVeck, Collin",0,,9,18,17,0.0,0.0,9.0,22.0,10.0,4.0,3.0,0.0,0.0,1.22,0.5,0.56,0.167,0.222,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,,1390:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.317886934537984,2.9746987007594994,1.9527379710414052,1.2689412258170474,-0.6792463699611897,-0.16905081089746987,5.190388129815194,15,87
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,John Carroll,"Halm, Dylan",0,,11,17,14,0.0,0.0,19.0,30.0,11.0,1.0,5.0,1.0,1.0,1.76,1.12,0.65,0.294,0.059,14.0,1.0,0.0,0.0,1.0,3.0,1.0,0.059,23.0,0.0,1.0,0.0,1.35,0.06,0.0,0.0,0.0,,1033:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.540856804538606,0.3682713299981246,2.2052147060081637,3.3997447879659735,0.2166100628616393,-0.16905081089746987,5.0573748022659455,16,87
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Wooster,"Christodoulou, Aris",0,,7,15,13,0.0,0.0,11.0,26.0,12.0,0.0,6.0,0.0,1.0,1.73,0.73,0.8,0.4,0.0,5.0,2.0,0.0,0.0,3.0,2.0,1.0,0.067,7.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,,709:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.152341739538917,-0.5005377935890003,2.457691440974922,1.6951019382468326,-0.6792463699611897,-0.16905081089746987,5.030876960211596,17,86
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Kenyon,"Cortez, Isaac",0,,16,13,6,0.0,0.0,7.0,14.0,11.0,3.0,4.0,0.0,0.0,1.08,0.54,0.85,0.308,0.231,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,2.0,0.0,1.08,0.15,0.0,0.0,0.0,,609:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.929371869538295,2.1058895771723742,2.2052147060081637,0.842780513387262,1.1124664956844683,-0.16905081089746987,5.016451320448442,18,86
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Denison,"Kist, Kaden",0,,25,20,20,0.0,0.0,5.0,20.0,8.0,8.0,0.0,0.0,0.0,1.0,0.25,0.4,0.0,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.7,0.1,0.0,0.0,0.0,,1546:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,-0.5165678704629493,6.449935195107998,1.4477845011078887,0.4166198009574767,1.1124664956844683,-0.16905081089746987,4.995910227085986,19,86
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Wooster,"Hillhouse, Robert",0,,9,17,13,0.0,0.0,8.0,29.0,9.0,5.0,2.0,0.0,0.0,1.71,0.47,0.53,0.118,0.294,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,,1015:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.7064019995376728,3.8435078243466236,1.700261236074647,1.0558608696021545,-0.6792463699611897,-0.16905081089746987,4.96771979560616,20,85
