conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Pack, JS",,0,2,13,5,0,,0,0,0,1,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,NaN,0,11,13,-2,14,0,13,6,5,1,0.08,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Dardis, Grant",,0,3,24,10,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,0,0,NaN,0,13,21,-8,19,0,36,4,3,1,0.03,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Williams, Gunnar",,0,4,20,7,0,,0,0,0,0,0,0,0,0,0,5,13:00,0,0,0,0,0,1,4,0,0,0,NaN,0,12,11,1,17,0,25,4,4,0,0.00,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Giblin, Max",,0,5,25,2,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,NaN,0,12,18,-6,24,0,14,4,2,2,0.14,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Kleven, Kyler",,0,6,7,4,0,,0,0,0,1,0,0,0,0,0,2,07:00,0,0,0,0,0,1,1,0,1,1,.000,0,9,6,3,1,0,17,5,4,1,0.06,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Hendrickson, Mason",,0,7,15,1,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,13,24,37,.351,1.85,2,4,-2,3,0,5,1,0,1,0.20,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Miller, James",,0,8,9,2,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,1,1,2,.500,1.00,2,5,-3,4,0,4,2,2,0,0.00,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Parker, Landon",,0,9,15,5,0,,0,0,0,1,1,0,4,1,0,4,08:00,0,0,0,0,0,0,4,115,113,228,.504,0.98,13,17,-4,9,0,57,20,11,9,0.16,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Gasparini, Mario",,0,10,16,3,0,,0,0,0,0,0,0,0,0,0,5,10:00,0,0,0,0,0,0,5,0,0,0,NaN,0,15,11,4,13,0,12,2,2,0,0.00,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Ayotte, Griffin",,0,11,19,2,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,19,35,54,.352,1.84,6,7,-1,7,0,14,5,5,0,0.00,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Schneider, Conner",,0,12,25,7,0,,1,1,0,1,0,1,2,0,0,3,09:00,0,0,0,0,0,1,2,207,188,395,.524,0.91,18,30,-12,8,0,47,24,17,7,0.15,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Nenow, Nolan",,0,13,23,12,0,,0,0,0,0,2,1,3,0,1,11,22:00,0,0,0,0,0,0,11,113,160,273,.414,1.42,21,13,8,14,0,50,16,5,11,0.22,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Kiffin, Duke",,0,15,24,10,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,NaN,0,19,13,6,22,0,30,4,2,2,0.07,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Comishock, Ryan",,0,16,23,3,0,,0,0,0,0,0,0,4,0,0,7,14:00,0,0,0,0,0,0,7,4,3,7,.571,0.75,11,15,-4,6,0,56,13,7,6,0.11,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Schram, Carter",,0,17,7,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,1,1,.000,0,0,2,-2,3,0,9,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Cotter, Jack",,0,18,21,2,0,,0,0,0,0,0,0,0,0,0,12,38:00,0,0,0,0,0,2,9,79,92,171,.462,1.16,2,4,-2,10,0,24,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Catalano, Nick",,0,19,24,10,0,,0,0,0,3,1,0,1,1,0,4,08:00,0,0,0,0,0,0,4,116,130,246,.472,1.12,19,15,4,7,0,50,14,7,7,0.14,0,0,,,,,,,,,,,,,,,,,
