season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,Northwest Conference,nwc,Whitworth,Whitworth University,Cooper Smith,,,37011,1116,ACTIVE,78.94,6.94,16,79.5791071373018,8,0,0,6.32953541993743,-9.6932007089352,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,George Fox,George Fox University,Blake Johnston,,Third Year,36301,1137,ACTIVE,79.88,7.88,16,80.169657487663,8,0,0,6.05679345052583,-9.89425277089633,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Pacific (OR),Pacific University Oregon,Charlie Cloud,,,17914,1159,ACTIVE,80.0,8.0,10,79.8410248228424,5,0,0,5.73683588706214,-9.29563427888749,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Puget Sound,University of Puget Sound,Jackson Dorlarque,,Second Year,79423,1208,ACTIVE,80.69,8.69,13,81.191104201216,7,0,0,5.13733251160631,-10.031689474381,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,George Fox,George Fox University,Ian MacArthur,,Third Year,5134,1226,ACTIVE,80.58,8.58,12,80.9969217060276,6,0,0,4.93370053761312,-10.1793259362798,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,George Fox,George Fox University,Otto Klein,,Second Year,5131,1381,ACTIVE,83.64,11.64,14,83.9391558617127,7,0,0,2.6458402841313,-10.1554721975697,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Pacific (OR),Pacific University Oregon,Anthony Hashimoto,,,11090,100000,ACTIVE,86.0,14.0,2,87.9891870128258,1,0,0,0.708939872773282,-10.4088200644711,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Whitworth,Whitworth University,Grady Burkett,,,15617,100000,ACTIVE,83.38,11.38,8,83.8681263013443,4,0,0,2.19673856239171,-10.009446350475,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Willamette,Willamette University,Lucas Paul,,,20898,100000,ACTIVE,75.4,3.4,10,76.5675368396619,5,0,0,13.0066677132091,-9.88400123020867,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Willamette,Willamette University,Connor Murphy,,,25455,100000,ACTIVE,79.2,7.2,10,79.5266707085793,5,0,0,6.15464017405695,-9.97924464177512,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Whitman,Whitman College,Nathan Nemali,,Fourth Year,26383,100000,ACTIVE,76.29,4.29,7,76.6169047124843,4,0,0,12.8605775591678,-9.04716490775204,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Lewis & Clark,Lewis & Clark College,Ben Oates,,Fourth Year,27720,100000,ACTIVE,83.1,11.1,10,82.5263372403686,5,0,0,5.86951205732912,-10.2364127657734,Region VII - (M) DIII,clippd_scoreboard
