season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,York,"Gigliotti, Gabbi",Gabbi,Gigliotti,,815,"Gigliotti, Gabbi","GIGLIOTTI, GABBI",York,YCP,140-4095,9,0,3,0,3,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,308,53
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Misericordia,"Jacobson, Jennifer",Jennifer,Jacobson,,16142,"Jacobson, Jennifer","JACOBSON, JENNIFER",Misericordia,Mis,1308-7656,2,0,19,0,19,0,.000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,309,53
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Neumann,"Kennedy, Kera",Kera,Kennedy,,1254,"Kennedy, Kera","KENNEDY, KERA",Neumann,NU,1309-5933,2,0,9,0,9,0,.000,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,310,53
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Stevens,"Kraver, Ella",Ella,Kraver,,679,"Kraver, Ella","KRAVER, ELLA",Stevens,Stev,1230-7457,3,0,18,0,18,0,.000,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,311,53
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Delaware Valley,"Kulas, Jaelyn",Jaelyn,Kulas,,179,"Kulas, Jaelyn","KULAS, JAELYN",Delaware Valley,DelVal,998-4936,9,0,3,0,3,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,312,52
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Albright,"Mayfield, Sydney",Sydney,Mayfield,,16,"Mayfield, Sydney","MAYFIELD, SYDNEY",Albright,Albr,992-3324,1,0,12,0,12,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,313,52
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Marywood,"Mennemeyer, Genevieve",Genevieve,Mennemeyer,,397,"Mennemeyer, Genevieve","MENNEMEYER, GENEVIEVE",Marywood,MWD,1307-2736,1,0,16,0,16,0,.000,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.00,3.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,314,52
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Albright,"Moffa, Brooke",Brooke,Moffa,,16,"Moffa, Brooke","MOFFA, BROOKE",Albright,Albr,992-4415,5,0,20,0,20,0,.000,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,315,52
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,King's,"Pealer, Sara",Sara,Pealer,,336,"Pealer, Sara","PEALER, SARA",King's,King,1001-7214,1,0,6,0,6,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,316,52
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,York,"Peifer, Sophia",Sophia,Peifer,,815,"Peifer, Sophia","PEIFER, SOPHIA",York,YCP,140-4099,1,0,13,0,13,0,.000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-3.3956759507534113,317,52
