season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,global_rank,rating
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Mosley, Graycee",Graycee,Mosley,,1062,"Mosley, Graycee","MOSLEY, GRAYCEE",East Texas Baptist,ETBU,636-3805,116,106,13,0,13,0,.311,1236,147,532,40,6,205,0,39,21,450,0,0,557,25,425,42,2,37,5,594.5,1,4.59,0.34,3.66,0.36,0.34,5.13,9.638650294156742,1,99
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Jespersen, Leigh",Leigh,Jespersen,,271,"Jespersen, Leigh","JESPERSEN, LEIGH",Hardin-Simmons,HSU,637-3495,93,35,3,0,3,0,.151,817,141,264,19,1,122,0,49,53,348,0,0,707,28,295,25,5,22,3,327,0,2.84,0.20,3.17,0.27,0.53,3.52,6.291460902284465,2,99
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Hughes, Natalie",Natalie,Hughes,,1203,"Hughes, Natalie","HUGHES, NATALIE",Mary Hardin-Baylor,UMHB,641-4462,110,56,24,0,24,0,.327,529,62,235,15,6,122,0,22,53,416,0,0,11,0,104,97,8,73,24,317.5,1,2.14,0.14,0.95,0.88,0.20,2.89,4.689988038091583,3,99
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Mobley, Baylee",Baylee,Mobley,,1203,"Mobley, Baylee","MOBLEY, BAYLEE",Mary Hardin-Baylor,UMHB,641-6302,114,43,13,0,13,0,.142,816,137,253,46,5,196,0,49,65,490,0,0,666,34,344,31,2,22,9,322,2,2.22,0.40,3.02,0.27,0.43,2.82,4.679753963183577,4,98
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Gholson, Grace",Grace,Gholson,,271,"Gholson, Grace","GHOLSON, GRACE",Hardin-Simmons,HSU,637-3738,6,0,18,0,18,0,.667,3,0,2,19,1,55,0,6,1,19,0,0,0,0,12,0,0,0,0,8,0,0.33,3.17,2.00,0.00,1.00,1.33,4.260172809650071,5,98
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Jones, Gabby",Gabby,Jones,,271,"Jones, Gabby","JONES, GABBY",Hardin-Simmons,HSU,637-3090,53,12,13,0,13,0,.387,168,20,85,4,1,37,0,20,20,162,0,0,2,0,27,41,3,40,1,126,1,1.60,0.08,0.51,0.77,0.38,2.38,4.093472412166112,6,98
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Hernandez, Jadyn",Jadyn,Hernandez,,271,"Hernandez, Jadyn","HERNANDEZ, JADYN",Hardin-Simmons,HSU,637-3234,77,30,1,0,1,0,.243,366,57,146,8,3,36,0,2,6,34,0,0,8,2,26,98,20,79,19,206.5,2,1.90,0.10,0.34,1.27,0.03,2.68,4.0784935598876935,7,97
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,Katie Server,Katie,Server,,1062,Katie Server,"SERVER,KATIE",East Texas Baptist,ETBU,0,6,5,22,0,22,0,.500,18,1,10,0,0,0,0,0,0,8,0,0,0,0,1,7,0,4,3,15,0,1.67,0.00,0.17,1.17,0.00,2.50,4.048567417132238,8,97
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Allen, Abbi",Abbi,Allen,,271,"Allen, Abbi","ALLEN, ABBI",Hardin-Simmons,HSU,637-3007,100,35,21,0,21,0,.250,569,70,212,2,1,38,0,0,1,2,0,0,5,0,52,109,13,101,8,270.5,3,2.12,0.02,0.52,1.09,0.00,2.71,3.880271256600959,9,97
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Harrington, Kendall",Kendall,Harrington,,1203,"Harrington, Kendall","HARRINGTON, KENDALL",Mary Hardin-Baylor,UMHB,641-4454,114,56,1,0,1,0,.202,420,23,108,1051,17,2950,0,54,22,480,0,0,16,0,316,67,11,59,8,199.5,3,0.95,9.22,2.77,0.59,0.47,1.75,3.8286803375464165,10,96
