season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,hitting_stats,fielding_stats,hitting_summary_stats
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Roman Berretta,Roman,Berretta,,16,Roman Berretta,0,0ALBRIGHT,39,39,,,140,29,52,23,11,1,0,19,0,2,15,7,7,1,4,4,0,0,0,2,2,2,0,0.442,65,169,8,.875,.371,.464,52,1,3,0,0,0,0,0,0,56,.946,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,33,43,"15,45",0.33,15,45,"28,69",0.41,28,69,"21,48",0.44,21,48,"15,35",0.43,15,35,0,0,0,0,"24,42","8,12","51,82",14,0,0,0,0,0,0,0,17,16,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Jack Gilmer,Jack,Gilmer,,16,Jack Gilmer,0,0ALBRIGHT,39,39,,,135,34,46,21,9,1,1,20,0,3,21,9,6,1,3,2,0,0,0,2,2,4,0,0.431,60,163,7,.857,.341,.444,49,89,15,0,0,0,0,17,0,153,.902,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,36,34,"13,42",0.31,13,42,"32,80",0.40,32,80,"19,53",0.36,19,53,"6,32",0.19,6,32,0,0,0,0,"10,26","7,13","48,91",92,0,0,0,0,0,0,0,15,46,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Tommy Lewman,Tommy,Lewman,,16,Tommy Lewman,0,0ALBRIGHT,11,11,,,42,16,19,16,5,2,3,3,0,4,6,1,0,0,0,1,0,0,0,0,0,0,0,0.520,37,50,0,.000,.452,.881,6,16,8,0,0,0,0,2,0,30,.733,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,9,7,"3,13",0.23,3,13,"12,25",0.48,12,25,"9,20",0.45,9,20,"5,6",0.83,5,6,0,0,0,0,"6,8","7,8","21,30","0,1",0,0,1,0,0,0,0,2,8,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Nick Barton,Nick,Barton,,16,Nick Barton,0,0ALBRIGHT,39,39,,,140,29,54,28,8,0,2,9,0,6,21,10,5,3,2,2,0,0,0,2,0,4,0,0.439,68,159,8,.625,.386,.486,286,8,3,0,0,0,0,23,0,297,.990,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,36,32,"19,45",0.42,19,45,"33,84",0.39,33,84,"25,58",0.43,25,58,"13,32",0.41,13,32,0,0,0,0,"12,30","11,18","53,93",121,0,0,0,0,0,0,0,11,27,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Max Frank,Max,Frank,,16,Max Frank,0,0ALBRIGHT,3,3,,,10,1,2,3,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0.273,3,11,1,1.000,.200,.300,12,1,1,0,0,6,0,0,0,14,.929,6,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,"1,3",0.33,1,3,"2,8",0.25,2,8,"2,5",0.40,2,5,"0,1",0,0,1,0,0,0,0,0,"0,1","3,8",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Aidan Sturtevant,Aidan,Sturtevant,,16,Aidan Sturtevant,0,0ALBRIGHT,20,13,,,52,7,17,9,4,0,0,4,0,1,15,5,1,0,0,2,0,0,0,0,0,0,0,0.373,21,59,1,1.000,.327,.404,8,26,4,0,0,0,0,2,0,38,.895,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,15,"5,18",0.28,5,18,"10,31",0.32,10,31,"8,21",0.38,8,21,"6,13",0.46,6,13,0,0,0,0,"4,10","5,5","19,36",51,0,0,0,64,0,0,0,6,18,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Jonathan Byers,Jonathan,Byers,,16,Jonathan Byers,0,0ALBRIGHT,11,3,,,14,3,5,3,0,0,0,4,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0.526,5,19,0,.000,.357,.357,3,6,0,0,0,0,0,3,0,9,1.000,0,.000,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,0,0,1,3,"1,3",0.33,1,3,"3,7",0.43,3,7,"2,6",0.33,2,6,"1,4",0.25,1,4,0,0,0,0,"1,3","0,3","5,9",24,0,0,0,44,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Zander Tesoriere,Zander,Tesoriere,,16,Zander Tesoriere,0,0ALBRIGHT,16,11,,,33,5,4,3,0,0,0,11,0,1,9,5,0,1,1,0,0,0,0,0,0,0,0,0.356,4,46,1,.000,.121,.121,18,2,1,0,0,0,0,0,0,21,.952,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,8,10,"0,9",0,0,9,"2,20",0.10,2,20,"1,11",0.09,1,11,"0,3",0,0,3,0,0,0,0,"2,10","1,4","12,27",0,0,0,0,6,0,0,0,4,11,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Michael Avino,Michael,Avino,,16,Michael Avino,0,0ALBRIGHT,38,36,,,140,26,46,25,7,4,0,7,1,3,12,5,8,4,5,1,0,0,0,3,0,3,0,0.371,61,156,12,.667,.329,.436,69,86,5,0,0,0,0,18,0,160,.969,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,45,36,"14,43",0.33,14,43,"24,70",0.34,24,70,"16,47",0.34,16,47,"12,39",0.31,12,39,0,0,0,0,"18,36","9,13","40,78",230,0,0,0,0,0,0,0,14,27,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Christian Eckstein,Christian,Eckstein,,16,Christian Eckstein,0,0ALBRIGHT,39,39,,,141,28,43,23,3,3,0,16,0,1,19,5,11,3,3,3,0,0,0,0,1,0,0,0.373,52,164,14,.786,.305,.369,109,1,2,0,0,0,0,0,0,112,.982,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,39,42,"15,53",0.28,15,53,"21,72",0.29,21,72,"15,56",0.27,15,56,"16,34",0.47,16,34,0,0,0,0,"28,53","13,18","42,82",60,0,0,0,0,0,0,0,16,39,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Dominic Yeager,Dominic,Yeager,,16,Dominic Yeager,0,0ALBRIGHT,10,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,9,1,0,0,7,4,0,0,10,.900,11,.636,56,1,9,3,2,0,0,0,0,0,49.2,27,22,14,32,11,0,5,3.99,195,222,3,6,0,3,4,0,0,7,.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,40,3,"2,7","6,16","1,4",0,"4,10",Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Lucas Williams,Lucas,Williams,,16,Lucas Williams,0,0ALBRIGHT,9,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,6,0,0,0,11,2,0,0,6,1.000,13,.846,23,1,5,1,5,1,0,0,0,0,26.2,22,19,9,16,1,2,6,6.41,99,125,2,13,0,1,3,0,1,6,.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,0,"2,2","1,3","0,2",0,"0,1",Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,John O'connor,John,O'connor,,16,John O'connor,0,0ALBRIGHT,13,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,4,0,0,0,4,1,1,0,5,1.000,5,.800,39,1,7,2,5,0,0,0,0,0,35.1,31,23,20,32,6,1,4,5.86,145,174,1,5,0,1,3,0,0,7,.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0,"0,3","2,6","1,4",0,"2,5",Albright,ALBRIGHT,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Albright,John Pecorar,John,Pecorar,,16,John Pecorar,0,0ALBRIGHT,6,0,,,5,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.286,1,7,0,.000,.200,.200,0,1,0,0,0,0,0,0,0,1,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,"0,2",0,0,2,"1,3",0.33,1,3,"0,1",0,0,1,0,0,0,0,0,0,0,0,"1,1","2,1","3,4",0,0,0,0,5,0,0,0,3,1,0,,,,,,,,,Albright,ALBRIGHT,0,False,,,,,
