conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Boden Landers,,,,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,00:00,0,0,1.000,8,21,0,6,3,3,.381,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Tom Gardner,,,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,32,8,1090:00,187,0,1.000,0,1,0,1,1,0,.000,19,1073:46,163,254,0,14,5,0,7,1,0,683,9.11,.609
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Henry Milnes,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,1,1,0,0,0,0,1.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Connor Charron,,,,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,179,96,0,6,0,1085:00,95,364,1.000,4,7,0,2,2,0,.571,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Camden Streifel,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Dryden Fisher,,,,19,19,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,50,0,18,9,1145:00,95,0,1.000,16,23,0,7,1,6,.696,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Adam Clough,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Dylan Sullivan,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,13,0,1,3,00:00,0,66,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Anthony Ballestrini,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,00:00,0,0,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Brendan Voss,,,,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,00:00,0,0,1.000,5,5,0,3,2,1,1.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Tyler Longo,,,,19,0,0,0,0,0,0,2,9,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,29,2,00:00,0,0,1.000,52,115,0,65,44,21,.452,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Kaj Yagoda,,,,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,00:00,0,0,1.000,1,3,0,1,0,1,.333,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Tony Corrado,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,00:00,0,1,1.000,3,7,0,0,0,0,.429,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Charlie Rose,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00:00,0,0,1.000,1,1,0,0,0,0,1.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Jack Chudzinski,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Owen Birch,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Trevor Guilmette,,,,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,1,19,0,17,21,1025:00,95,1,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Carter Jozokos,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,2,6,0,1,0,1,.333,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Samuel Silva,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,A.J. Smith,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15:00,78,0,1.000,0,0,0,0,0,0,.000,4,27:44,6,5,0,0,0,0,0,0,0,21,12.98,.455
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Calvin Jozokos,,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,3,0,00:00,0,0,1.000,1,2,0,0,0,0,.500,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Erik Vogt,,,,19,19,0,0,0,0,1,0,13,0,6,4,0,0,0,0,0,0,0,1,1,0,0,0,0,33,0,26,10,1145:00,95,0,1.000,70,98,0,70,23,47,.714,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Hugh Trexler,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Chuck Urda,,,,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,44,0,12,12,00:00,0,0,1.000,2,6,0,2,0,2,.333,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Colin Blackburn,,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,11,0,1,6,00:00,0,0,1.000,0,3,0,1,1,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Alex Wignall,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,00:00,0,0,1.000,1,1,0,1,1,0,1.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Wentworth Institute of Technology,Dante Strong,,,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,8,21,1145:00,95,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Western New England University,Nicholas Campagnone,,,,18,3,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,20,0,180:00,0,0,1.000,30,52,0,16,4,12,.577,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Western New England University,Joseph Bussinelli,,,,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,60:00,0,0,1.000,3,6,0,0,0,0,.500,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Western New England University,Max Rudgers,,,,19,0,0,0,0,0,1,1,7,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,16,0,00:00,0,0,1.000,19,35,0,16,5,11,.543,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mlax,Western New England University,Max Schwartz,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
