season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats,penalty_stats,misc_stats,goalie_stats,shot_stats,avg_points_game,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Finn Crowley,Finn,Crowley,,973,Finn Crowley,"CROWLEY,FINN",CROWLEYFINNBRY,4,0,,,Berry,BRY,838-3787,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,00:00,0,0,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Thomas Burgee,Thomas,Burgee,,973,Thomas Burgee,"BURGEE,THOMAS",BURGEETHOMASBRY,6,4,,,Berry,BRY,838-3282,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,238:00,53,0,1.000,0,0,0,0,0,0,.000,6,188:17,43,29,0,2,1,0,0,0,0,108,13.70,.403
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Quinton O'Connor,Quinton,O'Connor,,973,Quinton O'Connor,"O'CONNOR,QUINTON",O'CONNORQUINTONBRY,3,1,,,Berry,BRY,838-3788,,,,,,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,60:00,0,0,1.000,2,5,0,1,1,0,.400,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Griffin Smiles,Griffin,Smiles,,973,Griffin Smiles,"SMILES,GRIFFIN",SMILESGRIFFINBRY,14,13,,,Berry,BRY,838-3789,,,,,,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,0,14,27,763:00,153,0,1.000,3,3,0,1,0,1,1.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Joey Shinkel,Joey,Shinkel,,973,Joey Shinkel,"SHINKEL,JOEY",SHINKELJOEYBRY,8,1,,,Berry,BRY,838-3790,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,58:00,53,0,1.000,2,2,0,0,0,0,1.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Josip Brosovich,Josip,Brosovich,,973,Josip Brosovich,"BROSOVICH,JOSIP",BROSOVICHJOSIPBRY,12,10,,,Berry,BRY,838-3454,,,,,,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,4,10,585:00,100,0,1.000,1,2,0,1,0,1,.500,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Corey Blount,Corey,Blount,,973,Corey Blount,"BLOUNT,COREY",BLOUNTCOREYBRY,5,0,,,Berry,BRY,838-3793,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Andrew Ingram,Andrew,Ingram,,973,Andrew Ingram,"INGRAM,ANDREW",INGRAMANDREWBRY,10,5,,,Berry,BRY,838-3794,,,,,,0.90,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,10,2,295:00,46,0,1.000,12,21,0,9,2,7,.571,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Peter Balthazor,Peter,Balthazor,,973,Peter Balthazor,"BALTHAZOR,PETER",BALTHAZORPETERBRY,10,0,,,Berry,BRY,838-3281,,,,,,0.30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,00:00,0,0,1.000,4,11,0,3,1,2,.364,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Andrew Duffy,Andrew,Duffy,,973,Andrew Duffy,"DUFFY,ANDREW",DUFFYANDREWBRY,12,10,,,Berry,BRY,838-3032,,,,,,1.08,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,14,5,583:00,153,0,1.000,24,35,0,13,4,9,.686,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Tate Mack,Tate,Mack,,973,Tate Mack,"MACK,TATE",MACKTATEBRY,3,0,,,Berry,BRY,838-3795,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Christian Casanova,Christian,Casanova,,973,Christian Casanova,"CASANOVA,CHRISTIAN",CASANOVACHRISTIANBRY,1,0,,,Berry,BRY,838-3796,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,1,09:55,0,1,0,0,0,0,0,0,0,3,.00,1.000
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Sawyer Hattersley,Sawyer,Hattersley,,973,Sawyer Hattersley,"HATTERSLEY,SAWYER",HATTERSLEYSAWYERBRY,3,0,,,Berry,BRY,838-3460,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,0,00:00,0,9,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Carson Wilbur,Carson,Wilbur,,973,Carson Wilbur,"WILBUR,CARSON",WILBURCARSONBRY,2,0,,,Berry,BRY,838-3797,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Frederick Giovanelli,Frederick,Giovanelli,,973,Frederick Giovanelli,"GIOVANELLI,FREDERICK",GIOVANELLIFREDERICKBRY,1,0,,,Berry,BRY,838-3461,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,1,05:05,0,0,0,0,0,0,0,0,0,2,.00,.000
