season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,global_rank,rating
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Olaf,"Johnson, Emily",Emily,Johnson,,615,"Johnson, Emily","JOHNSON,EMILY",St. Olaf,STO,1117-5144,3,3,15,0,15,0,0,11,26,10,0,5,0,0,8.67,3.67,3.33,1.667,.000,6,0,1,0,2,2,1,.333,3,0,0,0,1.00,.00,.00,.00,0,,194:00,0,.00,.00,,,,,,,,,,,,,,,,,,29.099230000549376,1,99
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Olaf,"Anderson, Rachel",Rachel,Anderson,,615,"Anderson, Rachel","ANDERSON,RACHEL",St. Olaf,STO,1117-5289,3,3,2,0,2,0,0,9,10,4,2,1,0,0,3.33,3.00,1.33,.333,.667,8,0,0,0,0,1,1,.333,5,0,0,0,1.67,.00,.00,.00,0,,220:00,0,.00,.00,,,,,,,,,,,,,,,,,,17.993529239968154,2,99
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint Benedict,"Gower, Eva",Eva,Gower,,595,"Gower, Eva","GOWER,EVA",Saint Benedict,CSB,1111-8731,3,3,26,0,26,0,0,7,13,5,1,2,0,0,4.33,2.33,1.67,.667,.333,5,0,0,0,0,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,165:00,0,.00,.00,,,,,,,,,,,,,,,,,,17.17718174201094,3,99
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Scholastica,"Manion, Anna",Anna,Manion,,618,"Manion, Anna","MANION,ANNA",St. Scholastica,CSS,1402-7638,1,1,18,0,18,0,0,4,6,5,1,2,0,0,6.00,4.00,5.00,2.000,1.000,2,0,0,0,1,0,1,1.000,0,0,0,0,.00,.00,.00,.00,0,,59:00,0,.00,.00,,,,,,,,,,,,,,,,,,15.912704267754673,4,98
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Concordia,"Ellis, Kara",Kara,Ellis,,161,"Ellis, Kara","ELLIS,KARA",Concordia,CC,0,3,3,21,0,21,0,0,3,7,6,0,3,0,0,2.33,1.00,2.00,1.000,.000,0,1,1,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,231:00,0,.00,.00,,,,,,,,,,,,,,,,,,15.517849261216215,5,98
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint Benedict,"Warren, Veronica",Veronica,Warren,,595,"Warren, Veronica","WARREN,VERONICA",Saint Benedict,CSB,1111-8535,3,3,10,0,10,0,0,5,5,3,1,1,0,0,1.67,1.67,1.00,.333,.333,4,0,0,0,1,1,1,.333,1,0,0,0,.33,.00,.00,.00,0,,158:00,0,.00,.00,,,,,,,,,,,,,,,,,,11.229476355181877,6,98
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint Mary's,"Bradley, Hannah",Hannah,Bradley,,612,"Bradley, Hannah","BRADLEY,HANNAH",Saint Mary's,SMU,1116-6912,2,2,9,0,9,0,0,4,4,3,1,1,0,0,2.00,2.00,1.50,.500,.500,3,0,0,0,1,1,0,.000,3,0,0,0,1.50,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.80798386376312,7,97
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Gustavus,"Easley, Amara",Amara,Easley,,266,"Easley, Amara","EASLEY,AMARA",Gustavus,GAC,1108-9223,2,2,2,0,2,0,0,3,5,4,0,2,0,0,2.50,1.50,2.00,1.000,.000,1,0,0,0,1,0,1,.500,2,0,0,0,1.00,.00,.00,.00,0,,97:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.413128857224663,8,97
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Concordia,"Sheflo, Emma",Emma,Sheflo,,161,"Sheflo, Emma","SHEFLO,EMMA",Concordia,CC,0,3,3,19,0,19,0,0,3,9,3,1,1,0,0,3.00,1.00,1.00,.333,.333,2,0,0,0,0,1,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,250:00,0,.00,.00,,,,,,,,,,,,,,,,,,10.386491372344363,9,97
2026-27,wsoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Hamline,"Geary, Alexis",Alexis,Geary,,268,"Geary, Alexis","GEARY,ALEXIS",Hamline,HAM,1109-4488,2,2,23,0,23,0,0,2,4,3,1,1,0,0,2.00,1.00,1.50,.500,.500,1,0,0,0,0,1,0,.000,1,0,0,0,.50,.00,.00,.00,0,,117:00,0,.00,.00,,,,,,,,,,,,,,,,,,9.964998880925608,10,96
