season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,defense_stats,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,composite_score,global_rank,rating
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Carroll,"Banks,Cameran",Cameran,Banks,,120,"Banks,Cameran","BANKS,CAMERAN",Carroll,CAR,1094-7263,1,1,12,12,0,0,DB,0,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,5.243393034192684,11,96
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,"Makuh,Jimmy",Jimmy,Makuh,,40,"Makuh,Jimmy","MAKUH,JIMMY",Augustana,AUG,489-5539,1,1,10,10,0,QB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,10,55,69,14,2,29,5.5,55.0,,,,,,0,2,0,0,0,0,0,0,0,12,12,12,0,0,61,3,241,0,23,16,200.6,10.48,15.06,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.997686103175892,12,96
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Illinois Wesleyan,"Brown,Austin",Austin,Brown,,300,"Brown,Austin","BROWN,AUSTIN",Illinois Wesleyan,IWU,683-8277,1,0,41,41,0,0,LB,0,,,,,,,,0,2,12,14,14,1.5,.0,.0,1,1,2,0.5,0,1,1,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.904856593280294,13,95
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Illinois Wesleyan,"Griffin,Marcheon",Marcheon,Griffin,,300,"Griffin,Marcheon","GRIFFIN,MARCHEON",Illinois Wesleyan,IWU,683-7941,1,0,93,93,0,0,DL,0,,,,,,,,0,1,3,4,4,2.0,.0,.0,1,2,5,0.5,0,1,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2307121104503045,14,95
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Carthage,"Honor,Jordan",Jordan,Honor,,121,"Honor,Jordan","HONOR,JORDAN",Carthage,CAR,681-7005,1,1,29,,0,0,DB,0,,,,,,,,0,2,0,2,2,2.0,.0,.0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.693021088075624,15,95
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Carthage,"Rowlett,Jeremy",Jeremy,Rowlett,,121,"Rowlett,Jeremy","ROWLETT,JEREMY",Carthage,CAR,681-5989,1,1,45,45,0,0,DL,0,,,,,,,,0,3,3,6,6,1.0,.0,.0,1,0,7,1,1,0,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6214174258062757,16,95
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Wheaton,"Harris,Zeke",Zeke,Harris,,778,"Harris,Zeke","HARRIS,ZEKE",Wheaton,WHE,687-3553,1,1,8,8,0,0,LB,0,,,,,,,,0,3,2,5,5,1.0,.0,.0,1,0,4,1,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3717060497079845,17,94
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Carroll,"Albee,Brayden",Brayden,Albee,,120,"Albee,Brayden","ALBEE,BRAYDEN",Carroll,CAR,1094-7238,1,1,91,91,0,0,DL,0,,,,,,,,0,4,0,4,4,1.0,.0,.0,1,0,9,1,1,0,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1219946736096933,18,94
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Pradia,Kory",Kory,Pradia,,496,"Pradia,Kory","PRADIA,KORY",North Park,NPK,686-4228,1,1,20,20,0,0,LB,0,,,,,,,,0,3,1,4,4,1.0,.0,.0,1,0,6,1,1,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1219946736096933,19,94
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,Tyreon Key,Tyreon,Key,,424,Tyreon Key,"KEY,TYREON",Millikin,MILLIKIN,684-5803,1,0,11,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,142,0,39,28.4,,,,,,,,,,,4,92,0,47,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,0,26,26.0,,,,,,2.930672674400679,20,94
