season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,Seth Bivens,Seth,Bivens,,12973,Seth Bivens,0,0WILSON,17,17,,,47,7,9,4,2,0,0,6,0,1,11,4,4,1,0,1,0,0,0,1,0,3,0,0.291,11,55,5,.800,.191,.234,12,22,7,0,0,3,0,4,0,41,.829,3,1.000,,2,1,12,14,"4,12",0.33,4,12,"5,22",0.23,5,22,"3,14",0.21,3,14,"2,11",0.18,2,11,0,0,0,0,"5,15","2,4","12,26",0,0,0,0,0,0,0,0,6,7,0,,Wilson College,WILSON,1246-999,False,5,1,1,0,1,1,0,0,0,0,3.0,8,8,4,1,3,0,0,24.00,13,20,3,2,0,2,0,0,0,1,.385,4,4,0,"3,3","3,9","1,3",0,"2,6",,,,127,61,37.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Rosemont,Brody Lykes,Brody,Lykes,,15882,Brody Lykes,0,0ROSEMONT,17,14,,,46,2,10,4,0,0,0,4,1,1,23,5,4,1,1,0,0,0,0,0,0,0,0,0.294,10,52,5,.800,.217,.217,13,2,2,0,0,6,0,0,0,17,.882,6,1.000,,1,1,6,7,"2,8",0.25,2,8,"8,22",0.36,8,22,"5,14",0.36,5,14,"3,8",0.38,3,8,0,0,0,0,"2,12","2,6","12,24",46,0,0,0,33,0,0,0,1,7,0,,Rosemont,ROSEMONT,1310-2228,False,2,1,0,0,0,0,0,0,0,0,1.0,8,6,4,0,0,0,0,54.00,6,13,1,3,0,0,0,0,0,0,.333,0,3,0,"2,2","1,4","1,3",0,"0,1",,,,128,61,36.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Mj Lux,Mj,Lux,,8600,Mj Lux,0,0NOTRE DA,11,7,,,24,1,4,4,1,0,0,2,0,0,5,1,0,0,0,0,0,0,0,2,0,2,0,0.231,5,26,0,.000,.167,.208,30,2,1,0,0,0,0,3,0,33,.970,0,.000,,0,1,7,8,"3,7",0.43,3,7,"3,13",0.23,3,13,"3,11",0.27,3,11,"0,6",0,0,6,0,0,0,0,"0,6","0,3","5,13",6,0,0,0,3,0,0,0,5,6,0,,Notre Dame of Maryland,NOTRE DA,48-863,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,60,35.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Keystone College,Ian Scalabrini,Ian,Scalabrini,,30047,Ian Scalabrini,0,0KEYSTONE,9,2,,,15,5,3,4,0,0,0,2,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0.400,3,20,1,1.000,.200,.200,13,0,0,0,0,0,0,0,0,13,1.000,0,.000,,1,0,2,1,"2,4",0.50,2,4,"2,9",0.22,2,9,"2,9",0.22,2,9,"1,4",0.25,1,4,0,0,0,0,"2,4","0,2","7,11",2,0,0,0,42,0,0,0,2,2,0,,Keystone College,KEYSTONE,1242-2851,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,60,34.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,Jay Sariano,Jay,Sariano,,1305,Jay Sariano,0,0CAIRN,15,13,,,40,3,8,4,0,0,0,5,0,2,11,4,3,0,3,1,0,0,0,0,0,1,0,0.313,8,51,3,1.000,.200,.200,49,14,4,2,0,42,10,1,0,67,.940,52,.808,,1,0,7,17,"3,13",0.23,3,13,"6,22",0.27,6,22,"3,16",0.19,3,16,"2,11",0.18,2,11,0,0,0,0,"1,8","3,5","16,30",15,0,0,0,"0,1",0,0,1,8,16,0,,Cairn University,CAIRN,1236-2171,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,60,33.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Valley Forge,Braedon Tunnel,Braedon,Tunnel,,30166,Braedon Tunnel,0,0VALLEY F,15,12,,,37,6,6,4,1,0,0,8,0,3,9,4,1,0,0,2,0,0,0,0,0,0,0,0.340,7,50,1,1.000,.162,.189,25,3,0,0,0,0,0,0,0,28,1.000,0,.000,,0,2,11,13,"1,12",0.08,1,12,"2,19",0.11,2,19,"1,14",0.07,1,14,"0,10",0,0,10,0,0,0,0,"3,11","3,6","9,26",30,0,0,0,1,0,0,0,4,16,0,,Valley Forge,VALLEY F,1967-2121,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,60,32.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,Noah Steigle,Noah,Steigle,,1305,Noah Steigle,0,0CAIRN,12,12,,,37,5,7,4,0,0,0,2,0,0,8,1,0,0,2,0,0,0,0,0,0,1,0,0.231,7,41,0,.000,.189,.189,56,7,2,3,0,32,4,0,0,65,.969,36,.889,,0,1,15,9,"1,7",0.14,1,7,"3,17",0.18,3,17,"3,9",0.33,3,9,"1,9",0.11,1,9,0,0,0,0,"2,13","2,4","8,20",0,0,0,0,0,0,0,0,3,6,0,,Cairn University,CAIRN,1236-2328,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,59,31.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,Jermane Miller,Jermane,Miller,,12973,Jermane Miller,0,0WILSON,12,8,,,27,3,5,4,0,0,0,6,0,3,11,2,2,0,0,0,0,0,0,2,0,2,0,0.389,5,36,2,1.000,.185,.185,26,0,0,0,0,0,0,2,0,26,1.000,0,.000,,0,1,8,2,"3,12",0.25,3,12,"2,16",0.13,2,16,"2,12",0.17,2,12,"0,1",0,0,1,0,0,0,0,"1,2","0,1","9,22","0,1",0,0,1,4,0,0,0,2,11,0,,Wilson College,WILSON,1246-1108,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,59,30.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Rosemont,Ryan Bowman,Ryan,Bowman,,15882,Ryan Bowman,0,0ROSEMONT,17,15,,,50,3,7,3,1,0,0,3,0,0,17,3,0,0,0,1,0,0,0,0,0,0,0,0.185,8,54,0,.000,.140,.160,8,0,1,0,0,0,0,0,0,9,.889,0,.000,,3,2,16,8,"3,17",0.18,3,17,"2,23",0.09,2,23,"1,17",0.06,1,17,"3,10",0.30,3,10,0,0,0,0,"4,11","2,5","9,24",0,0,0,0,"1,1",1.00,1,1,3,11,0,,Rosemont,ROSEMONT,1310-2227,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,59,29.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Berks,Michael Derichie,Michael,Derichie,,30044,Michael Derichie,0,0PENN ST.,24,22,,,94,13,22,25,4,1,1,8,0,2,9,3,6,0,1,3,0,2,0,2,0,3,0,0.299,31,110,6,1.000,.234,.330,49,43,4,0,0,0,0,11,0,96,.958,0,.000,,9,2,28,26,"6,24",0.25,6,24,"13,51",0.25,13,51,"12,34",0.35,12,34,"3,10",0.30,3,10,0,0,0,0,"5,17","5,8","36,62",95,0,0,0,0,0,0,0,13,26,0,,Penn State Berks,PENN ST.,1243-2162,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,58,28.0,batting,,
