conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Ackerman, Zoe",0,,1,121,55,.259,162,11,53,1085,18,2732,0,74,69,488,0,0,6,0,231,51,2,48,3,154,3,0.44,8.97,1.91,0.42,0.61,1.27
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Molendyk, Natalie",0,,15,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Whitehurst, Nora",0,,16,31,8,.212,85,17,35,2,1,8,0,0,6,14,0,0,2,0,4,19,1,17,2,45.5,0,1.13,0.06,0.13,0.61,0.00,1.47
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Holm, Angelina",0,,6,106,53,.333,468,57,213,4,0,20,0,27,50,281,0,0,3,0,37,93,2,81,12,292.5,0,2.01,0.04,0.35,0.88,0.25,2.76
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Ibarra, Sofia",0,,10,35,0,.185,168,30,61,0,1,9,0,2,7,20,0,0,17,3,14,19,0,15,4,74.5,0,1.74,0.00,0.40,0.54,0.06,2.13
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Frosk, Sabina",0,,11,121,37,-.063,16,3,2,32,1,99,0,30,41,343,0,0,648,34,225,1,0,1,0,32.5,2,0.02,0.26,1.86,0.01,0.25,0.27
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Watts, Emma",0,,14,20,0,.143,14,2,4,0,0,1,0,9,12,40,0,0,18,3,10,0,0,0,0,13,0,0.20,0.00,0.50,0.00,0.45,0.65
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Wasserman, Cate",0,,17,1,0,.000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Harte, Misaki",0,,2,112,8,.000,7,1,1,15,0,52,0,48,32,443,0,0,362,45,147,0,0,0,0,49,1,0.01,0.13,1.31,0.00,0.43,0.44
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Powers, Harmony",0,,13,15,0,1.000,1,0,1,1,1,4,0,5,4,41,0,0,34,4,14,0,0,0,0,6,0,0.07,0.07,0.93,0.00,0.33,0.40
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Gony, Nyapech",0,,19,7,0,.091,11,1,2,0,1,1,0,0,1,6,0,0,0,0,0,4,0,2,2,5,0,0.29,0.00,0.00,0.57,0.00,0.71
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Munro, Ailsa",0,,20,108,49,.298,396,58,176,4,2,35,0,4,11,49,0,0,6,3,32,98,2,88,10,234,1,1.63,0.04,0.30,0.91,0.04,2.17
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Burke, Devon",0,,21,57,0,.117,333,68,107,2,0,17,0,0,1,4,0,0,9,1,21,10,0,10,0,112,0,1.88,0.04,0.37,0.18,0.00,1.96
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"May, Liberty",0,,26,83,22,.209,401,78,162,11,3,47,0,22,49,201,0,0,54,1,69,33,1,28,5,203,2,1.95,0.13,0.83,0.40,0.27,2.45
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Kane, Quinn",0,,29,25,0,.364,11,1,5,61,1,192,0,2,2,31,0,0,0,0,16,2,0,2,0,8,2,0.20,2.44,0.64,0.08,0.08,0.32
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Mancine, Vickie",0,,1,10,4,.000,1,0,0,1,0,3,0,0,1,8,0,0,20,3,6,0,0,0,0,0,0,0.00,0.10,0.60,0.00,0.00,0.00
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Baameur, Laila",0,,5,82,0,-.065,31,2,0,64,2,307,0,34,39,299,0,0,381,22,507,0,0,0,0,34,1,0.00,0.78,6.18,0.00,0.41,0.41
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Somer, Sarah",0,,16,71,42,.250,509,66,193,4,2,21,0,2,4,17,0,0,0,0,35,36,9,29,7,216.5,0,2.72,0.06,0.49,0.51,0.03,3.05
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Boose, Mack",0,,21,15,4,.208,24,4,9,1,0,7,0,0,0,0,0,0,0,0,2,6,1,5,1,12.5,0,0.60,0.07,0.13,0.40,0.00,0.83
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Delfino, Mary",0,,17,22,2,.500,2,0,1,2,0,11,0,5,7,48,0,0,67,5,26,0,0,0,0,6,1,0.05,0.09,1.18,0.00,0.23,0.27
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Gallinger, Julia",0,,9,20,5,.059,34,6,8,2,0,14,0,8,6,62,0,0,61,4,25,0,0,0,0,16,0,0.40,0.10,1.25,0.00,0.40,0.80
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Rosenburg, Sophia",0,,13,24,0,.333,6,0,2,84,6,316,0,4,14,73,0,0,0,0,34,0,0,0,0,6,1,0.08,3.50,1.42,0.00,0.17,0.25
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Schweitzer, Abigail",0,,7,72,8,.110,562,120,182,3,0,37,0,1,4,12,0,0,200,19,43,18,7,18,0,192,0,2.53,0.04,0.60,0.25,0.01,2.67
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Shire, Courtney",0,,11,81,36,.103,29,1,4,18,1,81,0,14,31,300,0,0,324,18,202,0,0,0,0,18,0,0.05,0.22,2.49,0.00,0.17,0.22
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Shirley, Eloise",0,,10,77,48,.202,252,30,81,1,0,15,0,0,1,9,0,0,12,0,17,63,9,51,12,118.5,1,1.05,0.01,0.22,0.82,0.00,1.54
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Ventimiglia, Samantha",0,,18,83,52,.379,314,30,149,4,2,33,0,23,17,291,0,0,8,0,61,60,14,45,15,209.5,0,1.80,0.05,0.73,0.72,0.28,2.52
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Elferdink, Dylan",0,,20,28,3,.139,144,30,50,1,0,9,0,1,2,7,0,0,39,4,9,7,1,5,2,55.5,1,1.79,0.04,0.32,0.25,0.04,1.98
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Matson, Amelia",0,,3,78,46,.201,730,80,227,9,1,64,0,13,15,279,0,0,428,28,197,24,5,22,2,253,0,2.91,0.12,2.53,0.31,0.17,3.24
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Samaniego, Bella",0,,2,6,0,.000,1,0,0,0,0,3,0,0,0,2,0,0,5,1,3,0,0,0,0,0,0,0.00,0.00,0.50,0.00,0.00,0.00
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Corbin, Alaina",0,,4,10,0,.133,15,4,6,9,0,20,0,0,0,8,0,0,0,0,2,1,0,1,0,6.5,0,0.60,0.90,0.20,0.10,0.00,0.65
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Oates, Maddie",0,,6,6,0,.000,1,0,0,10,0,21,0,0,2,6,0,0,0,0,4,0,0,0,0,0,0,0.00,1.67,0.67,0.00,0.00,0.00
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Davis, Holly",0,,8,49,0,.097,31,2,5,231,8,596,0,11,10,186,0,0,3,0,71,1,0,1,0,16.5,2,0.10,4.71,1.45,0.02,0.22,0.34
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Ahokovi, Ava",0,,14,84,54,.391,64,1,26,543,10,1504,0,19,17,308,0,0,1,0,173,5,2,5,0,47.5,4,0.31,6.46,2.06,0.06,0.23,0.57
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Lemmer, Corey",0,,19,82,10,.258,383,41,140,5,1,25,0,0,0,1,0,0,3,0,53,24,7,22,2,153,1,1.71,0.06,0.65,0.29,0.00,1.87
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,Abby Schweitzer,0,,7,3,0,.143,21,5,8,0,0,0,0,0,0,0,0,0,5,1,0,1.0,0,1,0,8.5,0,2.67,0.00,0.00,0.33,0.00,2.83
