rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,skyline_conference,Skyline Conference,2025-26,Yeshiva,"Samet,Zevi",0,G,28,32.0,23.25,4.11,2.36,1.54,0.14,1.5714285714285714,7.740837987424078,3.406875893720317,0.0998208299885637,0.6385658551825998,1.4637535222131306,-0.5424506277731439,0.0630449085704568
2,skyline_conference,Skyline Conference,2025-26,Maritime,"Devaney,Jake",0,F,26,31.807692307692307,18.0,7.54,1.65,1.85,1.54,2.8846153846153846,6.873460819827881,2.244319152297663,1.6417081538144376,-0.0032101471751473853,2.1142452737111146,3.354868510855968,1.8708537271231105
3,skyline_conference,Skyline Conference,2025-26,St. Joseph's-Long Island,"Rodriguez,Kenny",0,G,26,35.15384615384615,16.62,7.88,3.92,1.27,0.73,2.9615384615384617,5.984908311159324,1.9387328088379936,1.7945482967009672,2.0486652406446924,0.8971961902632734,1.0999910092205532,1.976750478000672
4,skyline_conference,Skyline Conference,2025-26,Farmingdale State,"Notias,Michael",0,G,28,29.0,14.89,3.86,4.64,1.75,0.32,1.5714285714285714,5.873213781064917,1.5556426826168142,-0.012561628016237805,2.699480341627196,1.904409224840797,-0.04136673852082957,0.0630449085704568
5,skyline_conference,Skyline Conference,2025-26,Manhattanville,"Robinson,Chris",0,G,26,31.384615384615383,14.08,5.31,3.62,2.12,0.77,2.423076923076923,5.4019720256062795,1.3762767853687474,0.6392566284116097,1.7774922819019823,2.680802605660972,1.2113429846099564,1.2354732218577424
6,skyline_conference,Skyline Conference,2025-26,St. Joseph's-Long Island,"Esposito,AJ",0,F,26,34.03846153846154,13.5,11.88,1.65,0.62,0.77,1.5769230769230769,5.324119383894195,1.2478419453639589,3.5926676247777887,-0.0032101471751473853,-0.46673812739378995,1.2113429846099564,0.0706089622045683
7,skyline_conference,Skyline Conference,2025-26,Merchant Marine,Tim Barton,0,*,23,32.391304347826086,11.96,7.65,2.83,1.43,1.43,2.0434782608695654,5.312318152192161,0.9068253012133136,1.6911564353365502,1.063403490546179,1.2329338684557811,3.048650578535109,0.7128957773097774
8,skyline_conference,Skyline Conference,2025-26,Mount Saint Vincent,"Woodberry,Eric",0,,25,32.8,18.16,6.12,2.48,1.16,0.52,2.52,5.280548822791351,2.279749452988639,1.003375792347166,0.7470350386796839,0.666376536505924,0.5153931384261864,1.36890312796347
9,skyline_conference,Skyline Conference,2025-26,Yeshiva,"Oselka,Yoav",0,G,28,27.535714285714285,14.46,8.07,3.11,1.61,0.39,2.3214285714285716,5.1640059545115715,1.460423749509816,1.8799589647846164,1.3164982520393749,1.6106387564223528,0.15349921841062605,1.0955382296266798
10,skyline_conference,Skyline Conference,2025-26,Maritime,"Williams,Zion",0,G,24,30.791666666666668,17.92,5.83,4.29,0.88,0.25,3.0416666666666665,4.984148602789828,2.226604001952175,0.8730121410615965,2.3831118897607015,0.07883559966903539,-0.23623269545228517,2.087059593498131
11,skyline_conference,Skyline Conference,2025-26,Old Westbury,"Ofori,Joel",0,F,27,31.11111111111111,12.52,9.74,1.7,1.0,1.52,2.2222222222222223,4.980267757935908,1.03083135363173,2.630673784256689,0.04198534594863767,0.3306388583134163,3.2991925231612664,0.9589650390107772
12,skyline_conference,Skyline Conference,2025-26,Farmingdale State,"Conroy,Sean",0,G,28,29.857142857142858,14.61,4.86,4.04,1.46,0.39,2.107142857142857,4.887410992963219,1.4936396564076058,0.4369682040029676,2.1571344241417765,1.2958846831168764,0.15349921841062605,0.8005401378963303
13,skyline_conference,Skyline Conference,2025-26,Purchase,"Ward,Desmond",0,F,27,31.22222222222222,12.33,8.19,1.59,1.63,0.78,2.0,4.214496805816591,0.9887578715611959,1.9339025446269207,-0.057444738923689245,1.6526059661964159,1.2391809784573073,0.6530410920311556
14,skyline_conference,Skyline Conference,2025-26,Purchase,"Rollins,Ricky",0,G,17,26.176470588235293,10.94,6.06,1.88,1.35,1.29,1.7058823529411764,3.8521579018143535,0.6809571343083405,0.9764040024260136,0.20468912119426366,1.0650650293595274,2.658918664672198,0.24814175044047987
