season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Bullert, Ava",Ava,Bullert,0,793,"Bullert, Ava","Bullert,Ava",BullertAvaWEC,28,11,7,,UW-Eau Claire,WEC,1122-5076,0,,0,1,0,1,1,1,0,1,0,6,23:00,0,0,1,0,0,1,4,4,2,6,.667,0.50,20,6,14,9,,,,,,,,,,,,,,,,,,0,51,7,3,4,0.08,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Bolt, Keira",Keira,Bolt,0,793,"Bolt, Keira","Bolt,Keira",BoltKeiraWEC,28,14,8,,UW-Eau Claire,WEC,1122-5075,0,,0,0,0,1,0,0,0,1,0,4,08:00,0,0,0,0,0,0,4,0,0,0,NaN,0,26,6,20,16,,,,,,,,,,,,,,,,,,0,64,7,5,2,0.03,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Wiltse, Kylie",Kylie,Wiltse,0,793,"Wiltse, Kylie","Wiltse,Kylie",WiltseKylieWEC,28,7,9,,UW-Eau Claire,WEC,1122-5848,0,,0,0,0,1,1,0,1,0,0,5,10:00,0,0,0,0,0,0,5,0,0,0,NaN,0,34,10,24,54,,,,,,,,,,,,,,,,,,0,57,18,13,5,0.09,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Moehle, Sam",Sam,Moehle,0,793,"Moehle, Sam","Moehle,Sam",MoehleSamWEC,28,13,10,,UW-Eau Claire,WEC,1122-5082,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,1,1,.000,0,27,4,23,22,,,,,,,,,,,,,,,,,,0,33,8,7,1,0.03,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Carstensen, Nora",Nora,Carstensen,0,793,"Carstensen, Nora","Carstensen,Nora",CarstensenNoraWEC,27,5,11,,UW-Eau Claire,WEC,1122-7896,0,,0,1,0,1,1,0,0,1,0,4,08:00,0,0,0,0,0,0,4,71,82,153,.464,1.15,18,3,15,5,,,,,,,,,,,,,,,,,,0,47,16,10,6,0.13,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Bullert, Gabi",Gabi,Bullert,0,793,"Bullert, Gabi","Bullert,Gabi",BullertGabiWEC,1,1,12,,UW-Eau Claire,WEC,1122-7577,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,1,1,1,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Ballinger, Lauren",Lauren,Ballinger,0,793,"Ballinger, Lauren","Ballinger,Lauren",BallingerLaurenWEC,28,6,13,,UW-Eau Claire,WEC,1122-7578,0,,0,0,0,1,0,0,3,1,0,1,02:00,0,0,0,0,0,0,1,246,187,433,.568,0.76,10,5,5,10,,,,,,,,,,,,,,,,,,0,57,10,5,5,0.09,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Hansen, Adrienne",Adrienne,Hansen,0,793,"Hansen, Adrienne","Hansen,Adrienne",HansenAdrienneWEC,28,12,14,,UW-Eau Claire,WEC,1122-7579,0,,0,0,0,2,0,0,1,2,0,15,30:00,0,0,0,0,0,0,15,244,158,402,.607,0.65,31,8,23,10,,,,,,,,,,,,,,,,,,0,84,23,12,11,0.13,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Sandberg, McKenna",McKenna,Sandberg,0,793,"Sandberg, McKenna","Sandberg,McKenna",SandbergMcKennaWEC,22,3,15,,UW-Eau Claire,WEC,1122-5850,0,,0,0,0,1,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,3,2,5,.600,0.67,10,5,5,9,,,,,,,,,,,,,,,,,,0,36,6,4,2,0.06,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Johansson, Ava",Ava,Johansson,0,793,"Johansson, Ava","Johansson,Ava",JohanssonAvaWEC,26,4,16,,UW-Eau Claire,WEC,1122-5851,0,,0,0,0,1,0,0,1,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,NaN,0,14,5,9,6,,,,,,,,,,,,,,,,,,0,32,9,4,5,0.16,0,0,False,,
