season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Robbins, George",George,Robbins,,807,"Robbins, George","ROBBINS,GEORGE",Wooster,WOO,1226-3091,1,0,16,0,16,0,0,1,3,0,0,0,0,0,3.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,12:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Peratopoulos, Evan",Evan,Peratopoulos,,807,"Peratopoulos, Evan","PERATOPOULOS,EVAN",Wooster,WOO,1226-3089,3,3,17,0,17,0,0,1,3,0,0,0,0,0,1.00,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,5,0,0,0,1.67,.00,.00,.00,0,,188:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Grieshop-Goodwin, Henry",Henry,Grieshop-Goodwin,,807,"Grieshop-Goodwin, Henry","GRIESHOP-GOODWIN,HENRY",Wooster,WOO,1226-3224,3,0,18,0,18,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,58:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Roel, Ben",Ben,Roel,,807,"Roel, Ben","ROEL,BEN",Wooster,WOO,1226-3225,3,0,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,39:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Murphy, Jack",Jack,Murphy,,807,"Murphy, Jack","MURPHY,JACK",Wooster,WOO,1226-3088,1,0,20,0,20,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,26:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Roth, Wyatt",Wyatt,Roth,,807,"Roth, Wyatt","ROTH,WYATT",Wooster,WOO,1226-3229,1,0,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,14:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Faber, Aiden",Aiden,Faber,,807,"Faber, Aiden","FABER,AIDEN",Wooster,WOO,1226-3227,3,0,22,0,22,0,0,1,4,1,1,0,0,0,1.33,.33,.33,.000,.333,1,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,121:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Eastgate, Owen",Owen,Eastgate,,807,"Eastgate, Owen","EASTGATE,OWEN",Wooster,WOO,1226-3484,3,0,23,0,23,0,0,2,5,4,0,2,0,0,1.67,.67,1.33,.667,.000,0,0,0,0,0,0,0,.000,5,0,2,0,1.67,.67,.00,.00,0,,87:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Pytel, Frederick",Frederick,Pytel,,807,"Pytel, Frederick","PYTEL,FREDERICK",Wooster,WOO,1226-1524,0,0,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Huguet, Marcel",Marcel,Huguet,,807,"Huguet, Marcel","HUGUET,MARCEL",Wooster,WOO,1226-3485,3,0,25,0,25,0,0,1,3,0,0,0,0,0,1.00,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,99:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Relle, Calen",Calen,Relle,,807,"Relle, Calen","RELLE,CALEN",Wooster,WOO,1226-3486,3,0,26,0,26,0,0,1,1,1,1,0,0,0,.33,.33,.33,.000,.333,1,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,95:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Mitman, Jalen",Jalen,Mitman,,807,"Mitman, Jalen","MITMAN,JALEN",Wooster,WOO,1226-3228,2,0,27,0,27,0,0,1,2,0,0,0,0,0,1.00,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,3,0,0,0,1.50,.00,.00,.00,0,,19:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"McGlone, Quinn",Quinn,McGlone,,807,"McGlone, Quinn","MCGLONE,QUINN",Wooster,WOO,1226-3487,1,0,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,20:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Shannon, Alex",Alex,Shannon,,807,"Shannon, Alex","SHANNON,ALEX",Wooster,WOO,1226-3230,2,0,29,0,29,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,17:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Belmore, Brady",Brady,Belmore,,807,"Belmore, Brady","BELMORE,BRADY",Wooster,WOO,1226-3488,1,0,30,0,30,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,12:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Snelling, Louie",Louie,Snelling,,807,"Snelling, Louie","SNELLING,LOUIE",Wooster,WOO,1226-3489,2,0,31,0,31,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,19:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Kickbush, Rohan",Rohan,Kickbush,,807,"Kickbush, Rohan","KICKBUSH,ROHAN",Wooster,WOO,1226-3490,3,1,32,0,32,0,0,1,2,2,0,1,0,0,.67,.33,.67,.333,.000,0,0,0,0,0,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,97:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Bouch, Aaron",Aaron,Bouch,,807,"Bouch, Aaron","BOUCH,AARON",Wooster,WOO,1226-3491,1,0,33,0,33,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,1,0,1.00,1.00,.00,.00,0,,12:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Vorenkamp, Quinlan",Quinlan,Vorenkamp,,807,"Vorenkamp, Quinlan","VORENKAMP,QUINLAN",Wooster,WOO,1226-3492,0,0,34,0,34,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Intrator, Riley",Riley,Intrator,,807,"Intrator, Riley","INTRATOR,RILEY",Wooster,WOO,1226-1520,0,0,35,0,35,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Ortner, Sam",Sam,Ortner,,177,"Ortner, Sam","ORTNER,SAM",DePauw,DEPAUW,1274-6239,2,2,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,13,0,0,2,1,.800,0.50,4,1,180:00,2,2,.50,0.800,.500,2.00,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Vedell, Pierce",Pierce,Vedell,,177,"Vedell, Pierce","VEDELL,PIERCE",DePauw,DEPAUW,1274-7025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Beatty, Joaquin",Joaquin,Beatty,,177,"Beatty, Joaquin","BEATTY,JOAQUIN",DePauw,DEPAUW,1274-6479,0,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Long, Linden",Linden,Long,,177,"Long, Linden","LONG,LINDEN",DePauw,DEPAUW,1274-7022,0,0,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Pierce, Logan",Logan,Pierce,,177,"Pierce, Logan","PIERCE,LOGAN",DePauw,DEPAUW,1274-6725,2,2,2,0,2,0,0,3,4,2,0,1,0,0,2.00,1.50,1.00,.500,.000,2,0,0,0,1,0,1,.500,1,0,0,0,.50,.00,.00,.00,0,,137:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Black, Joey",Joey,Black,,177,"Black, Joey","BLACK,JOEY",DePauw,DEPAUW,1274-6231,2,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,97:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Sumner, Cayden",Cayden,Sumner,,177,"Sumner, Cayden","SUMNER,CAYDEN",DePauw,DEPAUW,1274-6489,0,0,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Guadagno, Morgan",Morgan,Guadagno,,177,"Guadagno, Morgan","GUADAGNO,MORGAN",DePauw,DEPAUW,1274-7021,0,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
