season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,Centennial Conference,centennial_conference,Washington College,Pete Kokinis,Pete,Kokinis,,753,Pete Kokinis,0,0WASHINGT,19,17,,,64,22,23,21,6,2,4,12,0,2,18,4,11,3,0,1,0,0,0,1,0,1,0,0.468,45,79,14,.786,.359,.703,23,1,1,0,0,0,0,1,0,25,.960,0,.000,,2,1,5,17,"8,21",0.38,8,21,"16,41",0.39,16,41,"7,26",0.27,7,26,"4,10",0.40,4,10,0,0,0,0,"7,14","4,8","30,49",17,0,0,0,4,0,0,0,7,16,0,,Washington College,WASHINGT,672-4049,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.222798542423515,14,94,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,McDaniel,Thomas Mezzullo,Thomas,Mezzullo,,773,Thomas Mezzullo,0,0MCDANIEL,21,21,,,75,26,35,17,6,3,0,10,0,4,18,4,10,1,2,2,0,0,0,1,1,1,0,0.538,47,93,11,.909,.467,.627,32,56,3,0,0,0,0,9,0,91,.967,0,.000,,1,3,17,8,"8,21",0.38,8,21,"24,43",0.56,24,43,"14,28",0.50,14,28,"7,12",0.58,7,12,0,0,0,0,"8,19","11,14","39,54",66,0,0,0,0,0,0,0,11,10,0,,McDaniel,MCDANIEL,668-3506,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9824709222090835,15,94,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Johns Hopkins,Aaron Bock,Aaron,Bock,,322,Aaron Bock,0,0JHU,12,10,,,40,14,13,20,4,0,5,2,0,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0.413,32,46,0,.000,.325,.800,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,3,1,5,9,"2,7",0.29,2,7,"9,24",0.38,9,24,"7,19",0.37,7,19,"0,4",0,0,4,0,0,0,0,"4,9","5,8","16,28","1,1",1.00,1,1,3,0,0,0,4,6,0,,Johns Hopkins,JHU,667-6276,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90396227975952,16,93,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Washington College,Ty Everitt,Ty,Everitt,,753,Ty Everitt,0,0WASHINGT,21,21,,,75,32,32,22,10,1,0,12,0,7,7,3,25,2,0,2,0,0,0,2,0,2,0,0.531,44,96,27,.926,.427,.587,27,50,9,0,0,0,0,9,0,86,.895,0,.000,,3,0,13,22,"10,27",0.37,10,27,"18,44",0.41,18,44,"12,27",0.44,12,27,"3,13",0.23,3,13,0,0,0,0,"8,13","8,15","32,53",63,0,0,0,0,0,0,0,7,19,0,,Washington College,WASHINGT,672-3966,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.614976782168995,17,93,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Washington College,Drew Kinsey,Drew,Kinsey,,753,Drew Kinsey,0,0WASHINGT,22,22,,,75,34,24,22,7,2,4,19,0,9,12,4,18,0,0,3,0,0,0,0,1,1,0,0.491,47,106,18,1.000,.320,.627,37,24,6,0,0,0,0,5,0,67,.910,0,.000,,3,1,14,22,"4,20",0.20,4,20,"9,29",0.31,9,29,"7,22",0.32,7,22,"6,14",0.43,6,14,0,0,0,0,"20,32","8,12","25,41",13,0,0,0,0,0,0,0,3,14,0,,Washington College,WASHINGT,672-3711,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5955364382653503,18,92,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Haverford,Miles Prusek,Miles,Prusek,,276,Miles Prusek,0,0HAVERFOR,15,15,,,57,16,22,13,7,1,3,9,0,3,14,2,6,1,0,0,0,0,0,1,0,1,0,0.493,40,69,7,.857,.386,.702,3,20,3,0,0,0,0,1,0,26,.885,0,.000,,3,2,9,10,"9,20",0.45,9,20,"9,25",0.36,9,25,"7,17",0.41,7,17,"2,4",0.50,2,4,0,0,0,0,"3,15","3,5","16,29",34,0,0,0,0,0,0,0,1,11,0,,Haverford,HAVERFOR,666-2374,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5534115731120064,19,91,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,McDaniel,Shane Daly,Shane,Daly,,773,Shane Daly,0,0MCDANIEL,21,21,,,83,38,30,18,11,0,4,13,0,7,8,1,15,0,0,2,0,0,0,1,0,1,0,0.476,53,105,15,1.000,.361,.639,61,3,0,0,0,0,0,1,0,64,1.000,0,.000,,2,2,14,31,"9,31",0.29,9,31,"16,44",0.36,16,44,"10,25",0.40,10,25,"6,11",0.55,6,11,0,0,0,0,"17,32","6,7","26,52",21,0,0,0,0,0,0,0,4,30,0,,McDaniel,MCDANIEL,668-2707,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5503718610804005,20,91,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Dickinson,Johnny Bruno,Johnny,Bruno,,185,Johnny Bruno,0,0DIC,18,18,,,64,18,20,26,3,1,5,11,0,3,19,8,4,2,0,1,0,0,0,0,1,0,0,0.430,40,79,6,.667,.313,.625,12,1,2,0,0,0,0,0,0,15,.867,0,.000,,2,2,11,12,"7,19",0.37,7,19,"14,45",0.31,14,45,"11,30",0.37,11,30,"5,12",0.42,5,12,0,0,0,0,"4,13","8,17","28,52",96,0,0,0,0,0,0,0,7,11,0,,Dickinson,DIC,663-2632,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4742233572225065,21,90,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Johns Hopkins,Alex Shane,Alex,Shane,,322,Alex Shane,0,0JHU,21,21,,,75,29,29,22,8,0,2,17,0,2,10,5,5,0,1,2,0,0,0,2,0,2,0,0.500,43,97,5,1.000,.387,.573,32,1,2,0,0,0,0,0,0,35,.943,0,.000,,3,3,22,15,"5,23",0.22,5,23,"21,42",0.50,21,42,"13,29",0.45,13,29,"5,12",0.42,5,12,0,0,0,0,"8,16","9,11","40,54",78,0,0,0,0,0,0,0,16,11,0,,Johns Hopkins,JHU,667-5675,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3826851280180814,22,90,batting,,,
2026-27,baseball,Centennial Conference,centennial_conference,Gettysburg,Jack Amirata,Jack,Amirata,,258,Jack Amirata,0,0GETTYSBU,20,20,,,70,21,27,21,8,1,1,21,0,3,14,5,0,0,0,1,0,0,0,1,0,1,0,0.537,40,95,0,.000,.386,.571,171,10,1,0,0,0,0,20,0,182,.995,0,.000,,0,1,10,20,"10,25",0.40,10,25,"17,44",0.39,17,44,"11,30",0.37,11,30,"7,16",0.44,7,16,0,0,0,0,"8,15","7,10","32,57","0,1",0,0,1,0,0,0,0,3,16,0,,Gettysburg,GETTYSBU,665-5874,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3466120420872927,23,89,batting,,,
