season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Bridget Tiffey,Bridget,Tiffey,,753,Bridget Tiffey,"TIFFEY,BRIDGET",TIFFEYBRIDGETWC,6,0,,,Washington College,WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Cate Manos,Cate,Manos,,753,Cate Manos,"MANOS,CATE",MANOSCATEWC,0,0,,,Washington College,WC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Tobin Chambers,Tobin,Chambers,,753,Tobin Chambers,"CHAMBERS,TOBIN",CHAMBERSTOBINWC,17,17,,,Washington College,WC,0,0,5,0,0,0,1,7,3,6,3,0,0,0,3,1,0,0,0,0,0,0,0,0,16,4,13,3,1035:00,36,0,1.000,,49,68,12,34,3,31,.721,2.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Alina Maciorowski,Alina,Maciorowski,,753,Alina Maciorowski,"MACIOROWSKI,ALINA",MACIOROWSKIALINAWC,4,0,,,Washington College,WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Anna Wilson,Anna,Wilson,,753,Anna Wilson,"WILSON,ANNA",WILSONANNAWC,17,17,,,Washington College,WC,0,0,5,0,0,0,0,8,0,7,0,0,0,0,2,4,0,0,0,0,0,0,0,0,26,62,19,13,1035:00,36,0,1.000,,50,66,10,34,5,29,.758,2.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Peyton Baldwin,Peyton,Baldwin,,753,Peyton Baldwin,"BALDWIN,PEYTON",BALDWINPEYTONWC,17,17,,,Washington College,WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,1,8,6,1035:00,36,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Lexi Vennera,Lexi,Vennera,,753,Lexi Vennera,"VENNERA,LEXI",VENNERALEXIWC,17,4,,,Washington College,WC,0,0,5,0,0,0,0,8,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,13,7,23,3,240:00,0,0,1.000,,12,19,5,15,5,10,.632,0.88,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Madison Maguire,Madison,Maguire,,753,Madison Maguire,"MAGUIRE,MADISON",MAGUIREMADISONWC,17,17,,,Washington College,WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,22,23,7,9,975:00,0,0,1.000,,3,4,0,1,0,1,.750,0.06,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Gabby Drusano,Gabby,Drusano,,753,Gabby Drusano,"DRUSANO,GABBY",DRUSANOGABBYWC,15,15,,,Washington College,WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,3,2,915:00,36,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Gianna Maggi,Gianna,Maggi,,753,Gianna Maggi,"MAGGI,GIANNA",MAGGIGIANNAWC,0,0,,,Washington College,WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,MaryCate Anson,MaryCate,Anson,,753,MaryCate Anson,"ANSON,MARYCATE",ANSONMARYCATEWC,17,17,,,Washington College,WC,0,0,5,0,0,0,0,5,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,48,94,18,12,1035:00,36,0,1.000,,17,20,14,16,7,9,.850,0.94,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Malery Andrews,Malery,Andrews,,753,Malery Andrews,"ANDREWS,MALERY",ANDREWSMALERYWC,3,0,,,Washington College,WC,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00:00,0,0,1.000,,4,4,1,4,0,4,1.000,1.33,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Mia Salvatierra,Mia,Salvatierra,,753,Mia Salvatierra,"SALVATIERRA,MIA",SALVATIERRAMIAWC,17,17,,,Washington College,WC,0,0,22,0,0,0,2,38,0,12,2,0,0,0,9,6,0,0,0,0,0,0,0,0,16,20,44,12,1035:00,36,0,1.000,,97,137,43,85,32,53,.708,5.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Valerie Rock,Valerie,Rock,,753,Valerie Rock,"ROCK,VALERIE",ROCKVALERIEWC,8,4,,,Washington College,WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,240:00,0,0,1.000,,1,2,1,3,3,0,.500,0.38,,,,,,,,,,,,,,,,,,
2025-26,wlax,Centennial Conference,centennial_conference,Washington College,Maddy Kissinger,Maddy,Kissinger,,753,Maddy Kissinger,"KISSINGER,MADDY",KISSINGERMADDYWC,2,0,,,Washington College,WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,2,62:00,10,5,0,0,1,0,0,0,0,21,9.68,.333
