conference,season,school,school_url,overall,overall_pct,conf,conf_pct,streak
CNE,2025-26,Endicott College,https://cnesports.org/schedule.aspx?schedule=3913,Endicott College,16-0,25-1,25-1,.962
CNE,2025-26,Western New England University,https://cnesports.org/schedule.aspx?schedule=3917,Western New England University,14-2,21-5,21-5,.808
CNE,2025-26,Suffolk University,https://cnesports.org/schedule.aspx?schedule=3920,Suffolk University,11-5,16-11,16-11,.593
CNE,2025-26,Nichols College,https://cnesports.org/schedule.aspx?schedule=3914,Nichols College,9-7,15-12,15-12,.556
CNE,2025-26,Roger Williams University,https://cnesports.org/schedule.aspx?schedule=3921,Roger Williams University,8-8,12-14,12-14,.462
CNE,2025-26,University of New England,https://cnesports.org/schedule.aspx?schedule=3923,University of New England,8-8,12-14,12-14,.462
CNE,2025-26,University of Hartford,https://cnesports.org/schedule.aspx?schedule=3918,University of Hartford,7-9,13-12,13-12,.520
CNE,2025-26,Gordon College,https://cnesports.org/schedule.aspx?schedule=3919,Gordon College,6-10,7-18,7-18,.280
CNE,2025-26,Wentworth Institute of Technology,https://cnesports.org/schedule.aspx?schedule=3915,Wentworth Institute of Technology,4-12,6-19,6-19,.240
CNE,2025-26,Curry College,https://cnesports.org/schedule.aspx?schedule=3916,Curry College,3-13,7-18,7-18,.280
CNE,2025-26,Johnson & Wales University,https://cnesports.org/schedule.aspx?schedule=3922,Johnson & Wales University,2-14,3-22,3-22,.120
